True Strain,True Stress (MPa),Lower Bound (MPa),Upper Bound (MPa)
-0.0006306738329400226,-0.3551788440127812,-0.3551788440127812,-0.3551788440127812
-0.0005522965817771186,-0.440704304785078,-0.440704304785078,-0.440704304785078
-0.0004739254731262845,7.228774358212007,7.228774358212007,7.228774358212007
-0.0003955605060248046,6.183742036784388,6.183742036784388,6.183742036784388
-0.0003172016795101898,3.881764007881741,-0.2713686335211575,8.034896649284638
-0.0002388489926202881,0.04391985375574465,-0.3920735062934667,0.47991321380495605
-0.0001605024443928407,6.417614436755374,-2.0584077422061755,14.89363661571692
-8.21620338661479e-05,1.1914445386429702,0.3645181702425249,2.018370907043415
-3.827760078625078e-06,0.48827197730032973,-0.29688392504449024,1.2734278796451497
7.450037793097548e-05,7.089467177261278,-4.6475959428710665,18.82653029739362
0.00015282238112411962,10.558264994197186,-7.6722789459224074,28.788808934316776
0.0002311382504612703,24.17914523220265,5.320669976584659,43.03762048782064
0.0003094479869035528,45.524295233222546,18.73603862605433,72.31255184039077
0.00038775159141097876,43.07549992054854,20.345398264738844,65.80560157635823
0.0004660490649442221,60.75991761292798,31.76507377354448,89.75476145231147
0.0005443404084628432,71.54624855357704,47.63500756582511,95.45748954132898
0.0006226256229268433,79.3756505536059,64.05017758158841,94.70112352562337
0.0007009047092959977,84.51483172270561,68.24352768331883,100.78613576209239
0.0007791776685291908,88.97415773337417,71.03015373451855,106.91816173222978
0.0008574445015859695,96.19021985585577,76.56720181624819,115.81323789546336
0.000935705209424768,97.15867043265276,80.10798516549903,114.2093556998065
0.0010139597930046826,105.61846254496344,90.70010173879132,120.53682335113554
0.0010922082532836973,107.61435507833949,91.93908317877249,123.28962697790648
0.0011704505912204584,116.55334147525363,107.6161358318829,125.49054711862435
0.0012486868077725003,121.24329991093207,111.76706868554382,130.7195311363203
0.0013269169038977978,126.46902969383368,116.45014836235869,136.48791102530868
0.0014051408805541008,129.8250587307117,119.40164040502296,140.24847705640042
0.0014833587386982694,132.61747357830097,119.88784126962608,145.34710588697584
0.0015615704792878258,140.83695141067724,127.80337420673844,153.870528614616
0.0016397761032791811,145.98372587851202,132.5172263816405,159.45022537538352
0.0017179756116294089,153.72362460563667,138.93395231079694,168.51329690047643
0.0017961690052944708,159.10388203046017,148.4123127792751,169.79545128164523
0.0018743562852307702,165.57743143960212,155.77803686330222,175.37682601590203
0.001952537452394485,175.16404883862023,166.2712710642806,184.0568266129599
0.0020307125077409054,183.60492787058556,172.02630440736272,195.18355133380842
0.0021088814522259823,178.76771277573934,169.19215902119473,188.34326653028398
0.002187044286804558,185.88850816983728,172.79203249145928,198.98498384821528
0.0022652010124321353,198.3295651511613,187.22748617229894,209.43164413002364
0.0023433516300631085,200.54621063494383,187.03805732003894,214.05436394984872
0.0024214961406523114,211.71865512958547,206.07157660956028,217.36573364961066
0.002499634545154355,211.6870465352731,200.55379567901443,222.8202973915318
0.0025777668445229607,217.93648014553995,210.33246331278679,225.5404969782931
0.002655893039712514,229.95385308637694,214.1247276024308,245.78297857032305
0.0027340131316762896,234.43377769822484,217.64901362427855,251.2185417721711
0.0028121271213682256,235.11499075231978,225.81658647050276,244.4133950341368
0.0028902350097411494,244.60879428013203,225.55607306585486,263.6615154944092
0.0029683367977483307,251.56808145416585,231.44225609028288,271.69390681804884
0.003046432486342816,255.50384635397285,237.02820467923806,273.97948802870764
0.0031245220764767627,263.5467932412637,247.3319595178685,279.76162696465883
0.003202605569102992,266.2656209036506,253.0897853152925,279.44145649200874
0.003280682965173217,269.18407984352314,257.0311171778344,281.3370425092119
0.0033587542656398116,273.73475419346306,261.1630203914252,286.30648799550085
0.003436819471454043,279.0105044955131,263.63289016395976,294.3881188270665
0.0035148785835676186,283.008628064358,267.5146455268474,298.5026106018685
0.003592931602932023,286.566657037553,272.14846724079916,300.9848468343068
0.003670978530497854,292.2287110033639,279.6919318785938,304.7654901281341
0.003749019367216373,296.1544498834103,284.1868748955384,308.12202487128224
0.0038270541140377323,300.93602093190617,285.786585067003,316.0854567968094
0.003905082771912748,300.41728599207084,290.81920688173614,310.0153651024055
0.003983105341791127,304.442882531443,295.68522634864024,313.20053871424574
0.004061121824623021,308.6958340986462,299.7032311509856,317.6884370463068
0.004139132221358355,311.91726466922165,301.38492663248314,322.44960270596016
0.00421713653294617,313.3753210730569,301.3432914487826,325.4073506973312
0.004295134760336171,315.298759096304,304.0076457888977,326.5898724037104
0.004373126904476954,319.50872556480857,310.17585629516736,328.8415948344497
0.004451112966317779,321.4434811854559,312.96246786638,329.9244945045318
0.0045290929468068,323.4239620445302,315.1749104520916,331.6730136369688
0.004607066846892609,324.8278632584864,316.93874893010485,332.71697758686787
0.004685034667523581,326.5246120734558,319.13563625819296,333.9135878887186
0.0047629964096472036,329.17694850133336,321.82525756542344,336.52863943724327
0.0048409520742116255,330.9706328740883,322.88675841021444,339.0545073379622
0.004918901662163892,332.07477765019075,324.8413932327609,339.30816206762063
0.00499684517445171,332.7334487278118,326.35570352828506,339.1111939273385
0.0050747826120216815,333.8382015736061,326.76459334831935,340.9118097988928
0.005152713975820848,335.84470489115546,328.57698541526446,343.1124243670465
0.005230639266796034,336.4627177756254,329.6578015398595,343.2676340113912
0.0053085584858931735,337.217731354792,330.8030381397224,343.63242456986166
0.00538647163405887,338.33648360078405,331.1869281760309,345.4860390255372
0.005464378712238616,338.9536944575738,332.0444022843076,345.86298663084006
0.00554227972137857,339.43263824954613,332.6299328344116,346.23534366468067
0.005620174662423787,340.2762165685306,333.88610691654293,346.66632622051816
0.005698063536319981,340.7671771512818,334.74400906646184,346.7903452361018
0.005775946344011764,341.1959935788201,335.51265382375993,346.87933333388025
0.0058538230864441905,341.66318816604087,336.2875200980092,347.03885623407245
0.005931693764562091,342.84106537031494,335.91305583322406,349.7690749074058
0.006009558379309415,342.941988259601,336.9730841600089,348.9108923591931
0.006087416931630777,343.2909505787941,337.7058081458469,348.87609301174126
0.0061652694224696835,344.33145450942493,337.9388207523673,350.7240882664826
0.006243115852770305,344.9468641659371,338.05307775533834,351.84065057653584
0.006320956223475711,345.124198624478,338.4975318291459,351.7508654198101
0.00639879053552941,345.5232255047115,339.2812383027663,351.76521270665665
0.00647661878987469,345.9074763764348,339.9070518767975,351.9079008760721
0.0065544409874539605,346.53223525939586,339.8958009769402,353.16866954185144
0.00663225712921029,347.137164438575,339.8527533392028,354.4215755379471
0.006710067216085645,347.2527363711162,339.964279579707,354.54119316252536
0.006787871249022656,347.3827924006949,340.31208792577667,354.45349687561315
0.006865669228962849,347.63722169959226,340.8448584087669,354.4295849904176
0.006943461156848195,347.7862134142039,341.27760714094325,354.29481968746467
0.007021247033620441,347.96573169841065,341.88385869993806,354.04760469688324
0.007099026860220456,348.1291583937527,342.45633633924973,353.8019804482557
0.0071768006375897715,348.74965530931286,342.4246917404695,355.0746188781562
0.007254568366668815,349.4039716531805,342.25515798554096,356.5527853208201
0.007332330048398679,349.44824724010516,342.6080551821757,356.2884392980347
0.007410085683719352,349.5154853805804,342.99254055225833,356.03843020890247
0.007487835273571268,349.9104041850249,343.1361544538007,356.6846539162491
0.007565578818894639,350.0641272974111,343.3879673749984,356.7402872198238
0.007643316320628797,350.6700742403483,343.4002371248119,357.9399113558847
0.007721047779713736,351.1947159127095,343.50799775418227,358.88143407123675
0.007798773197088352,351.4091502158853,343.88215362255147,358.9361468092191
0.0078764925736922,351.5317102472984,344.1311721312659,358.9322483633309
0.007954205910463738,351.65740880562015,344.38904284111095,358.9257747701293
0.008031913208341863,351.77755293497916,344.64357004259176,358.91153582736655
0.008109614468265254,351.90785399478403,344.90944390602215,358.90626408354586
0.008187309691171712,352.0165178138895,345.132447694853,358.90058793292604
0.0082649988779997,352.21321792015743,345.5506921240674,358.87574371624754
0.00834268202968658,352.09750648186935,346.0288786468792,358.1661343168595
0.008420359147170375,352.33332631800045,346.0602605021709,358.60639213383
0.008498030231388015,353.4335097839656,346.0444851570953,360.82253441083583
0.008575695283276867,353.83524638117217,346.35062901424385,361.3198637481005
0.008653354303774077,353.9740917617239,346.6518534702401,361.2963300532077
0.00873100729381592,354.0967675673825,346.9335401135283,361.2599950212367
0.008808654254339326,353.98578578124983,347.18189943563607,360.7896721268636
0.008886295186280134,353.8569381949001,347.51649811705795,360.1973782727423
0.008963930090574838,353.924020404712,347.6584109909328,360.18962981849126
0.009041558968158836,354.13790162085206,347.7854945144404,360.4903087272637
0.00911918181996797,354.37322350932874,347.9450817385403,360.8013652801172
0.009196798646937863,354.9065507615463,347.8966158270455,361.9164856960471
0.009274409450003263,355.50125871330465,347.83424418811836,363.16827323849094
0.009352014230099572,355.4939480851375,348.2130093227894,362.77488684748556
0.009429612988161104,355.2445980597701,348.59553011616464,361.8936660033756
0.009507205725122831,355.4098231408837,348.684016576357,362.1356297054104
0.009584792441918627,356.2506899199175,348.32874552183085,364.1726343180041
0.009662373139483028,356.76073059803366,348.2228678148136,365.29859338125374
0.009739947818749475,356.81135955999736,348.5175394816934,365.10517963830125
0.009817516480651852,357.0395997129596,349.07224727563994,365.0069521502793
0.009895079126123823,357.3129144524913,349.68656767898324,364.9392612259994
0.009972635756098174,357.47508894157045,350.1393090925865,364.81086879055437
0.010050186371508361,357.5182584675996,350.55756153497754,364.4789554002217
0.010127730973286734,357.32921500580863,350.7950431889919,363.86338682262544
0.010205269562366311,357.39875495768655,350.8104195574834,363.9870903578897
0.010282802139679014,357.58670471812644,350.7767461357729,364.39666330047993
0.010360328706157204,357.8947199942109,350.91436016582605,364.8750798225957
0.010437849262733029,358.3326192920308,350.9904679012005,365.6747706828612
0.010515363810337757,358.7762184870717,351.07478718601726,366.47764978812614
0.010592872349903321,359.1832279684274,351.17603628384217,367.1904196530126
0.010670374882360561,359.28322004520567,351.43790511066993,367.1285349797414
0.010747871408640973,359.3967794166651,351.71924504550765,367.0743137878225
0.010825361929674962,359.523547034209,352.0203473861564,367.02674668226166
0.010902846446393376,359.65032998137144,352.32130425034455,366.97935571239833
0.010980324959726846,359.7227045954142,352.5463087118517,366.8991004789768
0.011057797470605125,360.52913793424096,352.1576904299682,368.90058543851376
0.011135263979958633,360.63999990719367,352.25885300596866,369.02114680841873
0.01121272448871669,360.64118923203944,352.4336949894655,368.8486834746134
0.011290178997809286,360.65985004190634,352.5674393144828,368.7522607693299
0.01136762750816531,360.6873944096608,352.7124938158042,368.6622950035174
0.011445070020714095,360.78887315014754,352.9629216203096,368.61482467998553
0.01152250653638476,360.72913932061334,353.48473904297384,367.9735395982529
0.011599937056105548,361.0994551150125,353.6928960993235,368.5060141307016
0.011677361580805366,361.4773403981396,353.9167307465582,369.03795004972096
0.011754780111412028,361.771116429946,354.0267952554993,369.5154376043928
0.011832192648854005,361.976205566712,354.0074246360454,369.94498649737864
0.011909599194058682,362.1846292102556,353.98595865003534,370.3832997704759
0.011986999747953883,362.44840712473456,354.044330520455,370.8524837290141
0.012064394311467214,362.6657633654472,354.3123063882265,371.01922034266795
0.012141782885525414,362.77819817959426,354.70136245807186,370.85503390111666
0.012219165471055877,362.86051440678534,355.04558173124656,370.6754470823241
0.012296542068984912,362.93718250067406,355.36902826486124,370.5053367364869
0.012373912680239485,363.00592513298375,355.6657637918684,370.34608647409914
0.01245127730574547,363.06053472894297,355.93914744998375,370.1819220079022
0.012528635946429187,363.11375739192613,356.2094118870257,370.0181028968266
0.012605988603216737,363.6752770127062,356.04511142287384,371.3054426025385
0.012683335277033352,364.39320997752594,355.6722250159732,373.1141949390787
0.012760675968804924,364.4669451483601,355.75966929999385,373.1742209967263
0.012838010679456254,364.4738668126154,355.9142345619857,373.0334990632451
0.012915339409912805,364.30805607813136,356.180956640639,372.43515551562376
0.012992662161098949,364.3219720658046,356.31696286534554,372.3269812662636
0.013069978933939502,364.5673856578187,356.2851072316681,372.8496640839693
0.013147289729359062,364.82879821072896,356.27996541676623,373.37763100469175
0.01322459454828136,365.23150859380155,356.49057670998354,373.9724404776195
0.013301893391630787,365.5815739943667,356.77854918355786,374.3845988051755
0.013379186260330642,365.2367171754363,357.38763692574344,373.0857974251291
0.013456473155304887,365.71442356636095,357.41840130136933,374.0104458313526
0.013533754077476395,366.0651623188547,357.49608449094745,374.6342401467619
0.013611029027768699,366.39267952903134,357.53931026654334,375.24604879151934
0.013688298007104246,366.62479184212634,357.4327703892513,375.8168132950014
0.013765561016405919,367.0155819543756,357.56623478520123,376.46492912354995
0.013842818056596392,367.4041700399584,357.6955804864726,377.1127595934442
0.013920069128597471,367.48720032710605,358.00245440181453,376.9719462523976
0.013997314233331618,367.52489511556894,358.27778549429235,376.7720047368456
0.014074553371720207,367.55255260319046,358.53790401304894,376.567201193332
0.014151786544685279,367.55867210968785,358.764325887095,376.3530183322806
0.014229013753147779,367.56478817653164,358.9900575315457,376.1395188215176
0.014306234998029101,367.3228625498353,359.2751378365881,375.3705872630825
0.01438345028025042,367.2819687438713,359.6026671118438,374.9612703758988
0.01446065960073205,367.708983094793,359.57912779748864,375.83883839209733
0.014537862960394955,368.0953193355372,359.4815625932848,376.7090760777896
0.014615060360159018,368.49543308030087,359.40334403154634,377.58752212905534
0.014692251800944786,368.63778616203626,359.49891425468326,377.7766580693892
0.014769437283671711,368.73696072497756,359.61243255835996,377.86148889159523
0.014846616809259696,368.83039978068575,359.717240493567,377.94355906780453
0.014923790378628423,368.94997030177694,359.8634819478467,378.0364586557072
0.015000957992696712,369.1146641957662,360.0810684974576,378.1482598940747
0.015078119652384042,369.1221510286501,360.41319225933023,377.83110979796993
0.015155275358608803,369.04501880799484,360.86960936190803,377.2204282540816
0.01523242511229005,369.37100859579255,360.94787161625555,377.79414557532954
0.015309568914345748,369.96905039713965,360.67574509654264,379.26235569773667
0.015386706765694307,370.56718006898797,360.4022932890662,380.73206684890977
0.015463838667253925,370.5864150663353,360.609334813343,380.5634953193276
0.015540964619941932,370.5678236180829,360.9305465035167,380.2051007326491
0.015618084624676317,370.52020563555305,361.2032134428408,379.83719782826535
0.015695198682373988,370.47238586982263,361.81202666426805,379.1327450753772
0.015772306793952508,370.3061243198866,362.2505665805622,378.361682059211
0.015849408960328357,370.66291893142517,362.3050605528973,379.020777309953
0.015926505182418463,371.0013528697963,362.32809980096664,379.6746059386259
0.016003595461139532,371.279481448604,362.2996712439019,380.2592916533061
0.016080679797407415,371.4078022802242,362.2472576332033,380.56834692724516
0.016157758192138615,371.53613848185273,362.1943574552974,380.8779195084081
0.01623483064624855,371.6928430560137,362.1883494841625,381.19733662786496
0.01631189716065331,371.83018515008365,362.15446227166814,381.50590802849916
0.016388957736267883,372.12765331606647,362.36453691549184,381.89076971664116
0.01646601237400772,372.40197080695174,362.53716823438833,382.2667733795152
0.01654306107478804,372.0217062768314,363.1323069088811,380.9111056447817
0.016620103839523215,371.8842628095471,363.5403221577064,380.2282034613879
0.016697140669128266,372.59437315164575,363.3160546221679,381.8726916811236
0.016774171564517135,373.32621022995977,363.13334497112874,383.51907548879086
0.01685119652660442,373.58913133346107,363.2783278580269,383.8999348088953
0.016928215556303642,373.6077998239861,363.6007432559395,383.6148563920328
0.01700522865452876,373.5417279298319,363.78632908881906,383.29712677084467
0.017082235822193526,373.34286000196715,363.9979558862255,382.68776411770887
0.017159237060210827,373.1221463796151,364.2250320646763,382.01926069455396
0.017236232369494207,373.6831301395496,363.8809952994609,383.4852649796382
0.017313221750956127,374.1930690864054,363.7178317722099,384.66830640060084
0.017390205205509712,374.31894067800397,363.8577264280678,384.78015492794015
0.017467182734067006,374.5207150750219,364.11515389693477,384.92627625310894
0.017544154337540495,374.74344311664527,364.40413255506616,385.0827536782244
0.017621120016842448,374.85398465058256,364.5225956788552,385.1853736223099
0.017698079772884276,374.8680865288176,364.75689492465625,384.97927813297895
0.017775033606578054,374.7080661673489,365.1187482099777,384.2973841247201
0.01785198151883477,374.49260280830265,365.52090603263923,383.4642995839661
0.017928923510566068,374.8095623961205,365.4108059711205,384.2083188211205
0.018005859582682523,375.11105536901596,365.27432188437524,384.9477888536567
0.018082789736095364,375.32976958755904,365.01086964499694,385.64866953012114
0.018159713971714734,375.72525277544787,365.0206242941839,386.4298812567118
0.018236632290451225,376.1554157611701,365.08393562827496,387.22689589406525
0.018313544693215226,376.29543317732845,365.39727816289246,387.19358819176443
0.018390451180916246,376.1923573938199,365.9096265266238,386.4750882610161
0.018467351754464467,376.05543765421356,366.36770276916235,385.7431725392648
0.018544246414768987,375.8645437696736,366.7392378048337,384.98984973451354
0.018621135162739565,376.19156214841394,366.7138036123902,385.6693206844377
0.01869801799928488,376.75896587770626,366.5059104415007,387.0120213139119
0.018774894925314055,376.9210624718957,366.5823289027043,387.25979604108704
0.018851765941736,377.1855969722671,366.5582987563763,387.8128951881578
0.018928631049458768,377.41584256824433,366.4974863492653,388.3341987872234
0.01900549024939107,377.1183280802073,366.73257626866314,387.5040798917514
0.01908234354244053,376.8347813326091,366.9895639352581,386.6799987299601
0.019159190929515454,377.0320690822939,367.0127285129801,387.0514096516076
0.01923603241152304,377.26019354839127,367.0129510199964,387.5074360767861
0.01931286798937095,377.470124126791,367.0636316968122,387.8766165567698
0.019389697663966636,377.77056606118026,367.2560512651673,388.2850808571932
0.019466521436216674,378.04423879383177,367.4051667298748,388.68331085778874
0.01954333930702832,378.1986310866283,367.36974196401445,389.02752020924214
0.01962015127730773,378.3510606251433,367.3303255762963,389.37179567399033
0.01969695734796174,378.51255530220135,367.30438648033504,389.7207241240676
0.019773757519896098,378.67842343146543,367.28457584284735,390.0722710200835
0.019850551794017,378.66075508962825,367.3908266610885,389.93068351816794
0.019927340171230424,378.57338512869205,367.5476649017328,389.5991053556513
0.020004122652441496,378.5315806083622,367.77697916238685,389.28618205433753
0.020080899238556004,378.9426036937132,367.713066587079,390.1721408003474
0.020157669930478652,378.4474744150044,368.31239606223494,388.5825527677739
0.020234434729114806,378.8913228574616,368.5934168453349,389.1892288695883
0.02031119363536876,379.45828273506646,368.6955894487827,390.2209760213503
0.020387946650145244,379.73220899499523,368.6087782656845,390.85563972430595
0.020464693774348786,379.81404907499126,368.6614136185205,390.966684531462
