"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (N)","Rotation(8800 (0,3):Rotary Position Encoder) (deg)","Torque(8800 (0,3):Torque) (N·m)",
0,0,1,1,1,0,0,-3.74983889643943,-33.0036506056786,0,1.12375989556313,
0.1,0.1,1,1,1,0,0,-3.74986273829768,-33.8460085913539,0,1.12872943282127,
0.2,0.2,1,1,1,0,0,-3.74984895472338,-34.6129760146141,0,1.14037841558456,
0.3,0.3,1,1,1,0,0,-3.75010152940915,-35.3236682713032,0,1.14224851131439,
0.4,0.4,1,1,1,0,0,-3.75088756567313,-35.7020413503051,0,1.15357572212815,
0.5,0.5,1,1,1,0,0,-3.75086074358261,-34.1231469064951,0,1.14705832675099,
0.6,0.6,1,1,1,0,0,-3.75068975275551,-34.0988393872976,0,1.14295212551951,
0.7,0.7,1,1,1,0,0,-3.75084211713085,-34.9047128111124,0,1.14704482257366,
0.8,0.8,1,1,1,0,0,-3.75097399240927,-35.7200857251883,0,1.14642176777124,
0.9,0.9,1,1,1,0,0,-3.76121928593153,-39.7752970457077,0,1.13064423203468,
1,1,1,1,1,0,0,-3.76231563888172,-39.5527109503746,0,1.13230058923364,
1.1,1.1,1,1,1,0,0,-3.7631463786299,-40.0546006858349,0,1.13315414637327,
1.2,1.2,1,1,1,0,0,-3.76395141387467,-40.281773544848,0,1.12740648910403,
1.3,1.3,1,1,1,0,0,-3.76450908984016,-40.4726713895798,0,1.13118346780539,
1.4,1.4,1,1,1,0,0,-3.76548362579588,-40.9882050007582,0,1.13043794408441,
1.5,1.5,1,1,1,0,0,-3.76679269282509,-41.5279297158122,0,1.13799190148711,
1.6,1.6,1,1,1,0,0,-3.76775083750326,-41.5008515119553,0,1.13703776150942,
1.7,1.7,1,1,1,0,0,-3.76818222612587,-41.8181298300624,0.01494568772614,1.15030398592353,
1.8,1.8,1,1,1,0,0,-3.76904016049361,-42.2147568315268,0.0257195346057415,1.15889636799693,
1.9,1.9,1,1,1,0,0,-3.77088566933331,-42.9016537964344,0.0257062492892146,1.19778420776129,
2,2,1,1,1,0,0,-3.77301951564614,-43.0463813245296,0.0506641203537583,1.30265252664685,
2.1,2.1,1,1,1,0,0,-3.77309364892412,-42.6672166213393,0.0514133786782622,1.30776548758149,
2.2,2.2,1,1,1,0,0,-3.77293718672939,-42.882957495749,0.0514174019917846,1.3116616755724,
2.3,2.3,1,1,1,0,0,-3.77321919120893,-42.8596045821905,0.0514174019917846,1.31425261497498,
2.4,2.4,1,1,1,0,0,-3.77303329922044,-43.1799562647939,0.0514174019917846,1.31345866248012,
2.5,2.5,1,1,1,0,0,-3.77365914799934,-43.8854563981295,0.0514174019917846,1.31529197096825,
2.6,2.6,1,1,1,0,0,-3.77573301713753,-44.3179858848453,0.0514174019917846,1.32570695132017,
2.7,2.7,1,1,1,0,0,-3.77717172427094,-44.6842052042484,0.0514174019917846,1.3239118270576,
2.8,2.8,1,1,1,0,0,-3.77745559139565,-44.9012266471982,0.0514174019917846,1.32963433861732,
2.9,2.9,1,1,1,0,0,-3.78001747356977,-45.6047942861915,0.0514174019917846,1.32972095161676,
3,3,1,1,1,0,0,-3.78019479739046,-45.3984132036567,0.0514174019917846,1.33274216204882,
3.1,3.1,1,1,1,0,0,-3.78095922697041,-46.0407231003046,0.0514174019917846,1.33537501096725,
3.2,3.2,1,1,1,0,0,-3.78182088662851,-46.1956951767206,0.0514174019917846,1.33891589939594,
3.3,3.3,1,1,1,0,0,-3.78298690250825,-46.5153949335217,0.0514174019917846,1.33754452690482,
3.4,3.4,1,1,1,0,0,-3.78425275616939,-46.8078535050154,0.0514174019917846,1.34344305843115,
3.5,3.5,1,1,1,0,0,-3.78491026991627,-47.1374252811074,0.0514174019917846,1.34257460013032,
3.6,3.6,1,1,1,0,0,-3.78655982848352,-47.3097432404757,0.0514174019917846,1.34657649323344,
3.7,3.7,1,1,1,0,0,-3.78731829759891,-47.3859952762723,0.0514174019917846,1.34205538779497,
3.8,3.8,1,1,1,0,0,-3.78764910338204,-47.70178347826,0.0514174019917846,1.34230311959982,
3.9,3.9,1,1,1,0,0,-3.78946294725376,-48.205372877419,0.0514174019917846,1.33776245638728,
4,4,1,1,1,0,0,-3.78968869984901,-48.3836280182004,0.0514174019917846,1.33814150467515,
4.1,4.1,1,1,1,0,0,-3.79104619565277,-48.8519901409745,0.0514174019917846,1.33643671870232,
4.2,4.2,1,1,1,0,0,-3.79280974810475,-49.4280364364386,0.0256927125155926,1.27485720440745,
4.3,4.3,1,1,1,0,0,-3.79521181532283,-48.8893361762166,0.000531706027686596,1.16410106420517,
4.4,4.4,1,1,1,0,0,-3.79521814831643,-48.2860254123807,1.67638063430786E-06,1.15277618169785,
4.5,4.5,1,1,1,0,0,-3.7952188933745,-49.025472253561,0,1.15465326234698,
4.6,4.6,1,1,1,0,0,-3.79543980309229,-49.0040751174092,0,1.15980068221688,
4.7,4.7,1,1,1,0,0,-3.7954632724215,-49.2498511448503,0,1.15577364340425,
4.8,4.8,1,1,1,0,0,-3.79733001541619,-49.7072003781796,0,1.15625932812691,
4.9,4.9,1,1,1,0,0,-3.79779455912291,-49.8822657391429,0,1.15076545625925,
5,5,1,1,1,0,0,-3.79936886682508,-50.3503484651446,0,1.14946160465479,
5.1,5.1,1,1,1,0,0,-3.80006363347547,-50.7188262417912,0,1.14434212446213,
5.2,5.2,1,1,1,0,0,-3.80145800965371,-50.8966622874141,0,1.1475863866508,
5.3,5.3,1,1,1,0,0,-3.80197917777376,-51.0211568325758,0,1.14801991730928,
5.4,5.4,1,1,1,0,0,-3.80313997824701,-51.5020918101072,0,1.14927347749472,
5.5,5.5,1,1,1,0,0,-3.8052499827016,-51.952269859612,0,1.14448182284832,
5.6,5.6,1,1,1,0,0,-3.80570409559534,-52.0238885655999,0,1.14732654765248,
5.7,5.7,1,1,1,0,0,-3.80642531180722,-52.1982321515679,0,1.14326970651746,
5.8,5.8,1,1,1,0,0,-3.80783756937914,-52.2730639204383,0,1.1447318829596,
5.9,5.9,1,1,1,0,0,-3.80850812164225,-52.2890593856573,0,1.14562967792153,
6,6,1,1,1,0,0,-3.80925839511886,-52.8666190803051,0,1.14674400538206,
6.1,6.1,1,1,1,0,0,-3.8107961949756,-52.8258504346013,0,1.15119852125645,
6.2,6.2,1,1,1,0,0,-3.81164742382071,-53.0048040673137,0,1.15581974387169,
6.3,6.3,1,1,1,0,0,-3.81269236776406,-53.2679725438356,0,1.1600824072957,
6.4,6.4,1,1,1,0,0,-3.81403272723221,-53.3124664798379,0,1.16612808778882,
6.5,6.5,1,1,1,0,0,-3.81523562348643,-53.7271378561854,0.0250968430191278,1.1776564642787,
6.6,6.6,1,1,1,0,0,-3.81641542294047,-54.1339861229062,0.0257033575326204,1.20667507871985,
6.7,6.7,1,1,1,0,0,-3.81969405097804,-54.7637464478612,0.0541709829121828,1.32592674344778,
6.8,6.8,1,1,1,0,0,-3.81929395479439,-53.3380312845111,0.0514132948592305,1.33530469611287,
6.9,6.9,1,1,1,0,0,-3.81956217569963,-53.6201288923621,0.0514174019917846,1.33875524625182,
7,7,1,1,1,0,0,-3.81962066275814,-53.2917678356171,0.0514174019917846,1.3459250330925,
7.1,7.1,1,1,1,0,0,-3.81978420300453,-53.2115111127496,0.0514174019917846,1.34090427309275,
7.2,7.2,1,1,1,0,0,-3.82009749992301,-53.5787083208561,0.0514174019917846,1.3445857912302,
7.3,7.3,1,1,1,0,0,-3.82250254737337,-54.0175009518862,0.0514174019917846,1.34736718609929,
7.4,7.4,1,1,1,0,0,-3.82330124962454,-54.2107969522476,0.0514174019917846,1.35275302454829,
7.5,7.5,1,1,1,0,0,-3.824570456047,-54.3534057214856,0.0514174019917846,1.35702500119805,
7.6,7.6,1,1,1,0,0,-3.82596781245752,-54.4444425031543,0.0514174019917846,1.36324670165777,
7.7,7.7,1,1,1,0,0,-3.82675794654088,-54.9698481336236,0.0514174019917846,1.36289419606328,
7.8,7.8,1,1,1,0,0,-3.8281564205385,-54.5049319043756,0.0514174019917846,1.36882066726685,
7.9,7.9,1,1,1,0,0,-3.82814338202228,-54.65152207762,0.0514174019917846,1.36291002854705,
8,8,1,1,1,0,0,-3.82978437242172,-54.5518239960074,0.0514174019917846,1.37095339596272,
8.1,8.1,1,1,1,0,0,-3.8308136701456,-54.9790449440479,0.0514174019917846,1.37153640389442,
8.2,8.2,1,1,1,0,0,-3.83192939460561,-54.8020005226135,0.0514174019917846,1.37645378708839,
8.3,8.3,1,1,1,0,0,-3.83270649017274,-54.991221986711,0.0514174019917846,1.37678161263466,
8.4,8.4,1,1,1,0,0,-3.83406361344747,-54.7141535207629,0.0514174019917846,1.37637369334698,
8.5,8.5,1,1,1,0,0,-3.8342912286879,-54.713967256248,0.0514174019917846,1.37421954423189,
8.6,8.6,1,1,1,0,0,-3.83587708479015,-54.9624441191554,0.0514174019917846,1.37274572625756,
8.7,8.7,1,1,1,0,0,-3.83672533340299,-54.7140138223767,0.0514174019917846,1.37298321351409,
