"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (N)","Rotation(8800 (0,3):Rotary Position Encoder) (deg)","Torque(8800 (0,3):Torque) (N·m)",
0,0,1,1,1,0,0,-3.75017864291941,-0.251270830631256,0.0257062492892146,1.12178595736623,
0.1,0.1,1,1,1,0,0,-3.74998828058249,-0.957283191382885,0.0257062492892146,1.11795729026198,
0.2,0.2,1,1,1,0,0,-3.74996965413074,-3.43078281730413,0.0257062492892146,1.12520903348923,
0.3,0.3,1,1,1,0,0,-3.75014586036432,-3.83271835744381,0.0257062492892146,1.13522075116634,
0.4,0.4,1,1,1,0,0,-3.75168664045334,-3.89551278203726,0.0257062492892146,1.13789970055223,
0.5,0.5,1,1,1,0,0,-3.75187253244183,-2.59012449532747,0.0257062492892146,1.1312747374177,
0.6,0.6,1,1,1,0,0,-3.75171905047939,-2.47547868639231,0.0257062492892146,1.12826190888882,
0.7,0.7,1,1,1,0,0,-3.75198950655884,-2.80393287539482,0.0257062492892146,1.13095156848431,
0.8,0.8,1,1,1,0,0,-3.75199509449437,-3.79604753106833,0.0257062492892146,1.12747773528099,
0.9,0.9,1,1,1,0,0,-3.75766759411125,-5.42078632861376,0.0257062492892146,1.13337626680732,
1,1,1,1,1,0,0,-3.76192187569166,-4.60993032902479,0.0257062492892146,1.13140512257814,
1.1,1.1,1,1,1,0,0,-3.76203661463445,-4.76276036351919,0.0257062492892146,1.13006541505456,
1.2,1.2,1,1,1,0,0,-3.7633535047734,-4.70136292278767,0.0257062492892146,1.12782698124647,
1.3,1.3,1,1,1,0,0,-3.76396407986186,-4.41067386418581,0.000766357406973839,1.1058016680181,
1.4,1.4,1,1,1,0,0,-3.76737011282943,-4.07160259783268,-0.0277730170637369,1.02771632373333,
1.5,1.5,1,1,1,0,0,-3.7670840105305,-3.97693365812302,-0.0257119070738554,1.03496154770255,
1.6,1.6,1,1,1,0,0,-3.76755637734696,-4.11462970077991,-0.02571702003479,1.04190455749631,
1.7,1.7,1,1,1,0,0,-3.76763982385082,-3.96645627915859,-0.02571702003479,1.04938028380275,
1.8,1.8,1,1,1,0,0,-3.76750943868854,-4.0379585698247,-0.02571702003479,1.05036376044154,
1.9,1.9,1,1,1,0,0,-3.76824369341665,-4.37526032328606,-0.02571702003479,1.05580873787403,
2,2,1,1,1,0,0,-3.77055896136956,-4.38548158854246,-0.02571702003479,1.05946511030197,
2.1,2.1,1,1,1,0,0,-3.77120231901311,-4.49200160801411,-0.02571702003479,1.06025161221623,
2.2,2.2,1,1,1,0,0,-3.77209564363919,-4.30953223258257,-0.02571702003479,1.05515960603952,
2.3,2.3,1,1,1,0,0,-3.77354887940496,-4.51677478849888,-0.02571702003479,1.05692725628614,
2.4,2.4,1,1,1,0,0,-3.77429281988798,-4.41218726336956,-0.02571702003479,1.06324395164847,
2.5,2.5,1,1,1,0,0,-3.77521482924976,-4.99531161040068,-0.02571702003479,1.06378411874175,
2.6,2.6,1,1,1,0,0,-3.77622810822513,-4.74783591926098,-0.02571702003479,1.06100272387266,
2.7,2.7,1,1,1,0,0,-3.7771702341548,-4.55412082374096,-0.02571702003479,1.05906510725617,
2.8,2.8,1,1,1,0,0,-3.77794993742518,-4.57137357443571,-0.02571702003479,1.06373149901628,
2.9,2.9,1,1,1,0,0,-3.77921728120246,-4.73377294838429,-0.02571702003479,1.06388749554753,
3,3,1,1,1,0,0,-3.77993588971109,-4.66117635369301,-0.02571702003479,1.06730917468667,
3.1,3.1,1,1,1,0,0,-3.78070925998788,-4.98860608786345,-0.02571702003479,1.06763746589422,
3.2,3.2,1,1,1,0,0,-3.78241805067171,-4.93074767291546,-0.02571702003479,1.07389688491821,
3.3,3.3,1,1,1,0,0,-3.78290941646896,-4.49439976364374,-0.02571702003479,1.06200482696295,
3.4,3.4,1,1,1,0,0,-3.7841976218722,-5.07687218487263,-0.02571702003479,1.06855016201735,
3.5,3.5,1,1,1,0,0,-3.78469532066304,-4.98215667903423,-0.02571702003479,1.07960775494576,
3.6,3.6,1,1,1,0,0,-3.78658925827729,-5.58104366064072,0.000133942812681198,1.10137835144997,
3.7,3.7,1,1,1,0,0,-3.78929456412991,-4.98669687658548,0.0252239545807242,1.17137981578708,
3.8,3.8,1,1,1,0,0,-3.7895866268934,-5.13631384819746,0.0257058721035719,1.15950871258974,
3.9,3.9,1,1,1,0,0,-3.78940110743394,-5.11903781443834,0.0257062492892146,1.15224625915289,
4,4,1,1,1,0,0,-3.78958439171919,-5.03654591739178,0.0257062492892146,1.14974146708846,
4.1,4.1,1,1,1,0,0,-3.78947039783446,-4.60597220808268,0.0257062492892146,1.14820152521133,
4.2,4.2,1,1,1,0,0,-3.78965368211971,-4.69707883894444,0.0257062492892146,1.14148715510964,
4.3,4.3,1,1,1,0,0,-3.79297589605439,-5.34320715814829,0.0257062492892146,1.14976521581411,
4.4,4.4,1,1,1,0,0,-3.79423392660579,-4.90986276417971,0.0257062492892146,1.14917336031795,
4.5,4.5,1,1,1,0,0,-3.79440901525227,-5.39571046829224,0.0257062492892146,1.13805430009961,
4.6,4.6,1,1,1,0,0,-3.79673061619878,-4.64222393929958,0.0257062492892146,1.14025408402085,
4.7,4.7,1,1,1,0,0,-3.79662519048185,-4.54999972134829,0.0257062492892146,1.13575020805001,
4.8,4.8,1,1,1,0,0,-3.7978496934201,-4.84283082187176,0.0257062492892146,1.14256097003818,
4.9,4.9,1,1,1,0,0,-3.79907605900352,-5.49997203052044,0.0257062492892146,1.1359304189682,
5,5,1,1,1,0,0,-3.79974921896988,-4.97116707265377,0.0257062492892146,1.13871553912759,
5.1,5.1,1,1,1,0,0,-3.80107132451531,-4.93116676807404,0.0257062492892146,1.13770086318254,
5.2,5.2,1,1,1,0,0,-3.8014431084923,-5.27543015778065,0.0257062492892146,1.13285146653652,
5.3,5.3,1,1,1,0,0,-3.80296600718764,-5.16513828188181,0.0257062492892146,1.13647617399693,
5.4,5.4,1,1,1,0,0,-3.8034756269076,-5.53808640688658,0.0257062492892146,1.13220326602459,
5.5,5.5,1,1,1,0,0,-3.80460811517419,-5.580042488873,0.0257062492892146,1.13105308264494,
5.6,5.6,1,1,1,0,0,-3.80585385226743,-5.41685149073601,0.0257062492892146,1.12721836194396,
5.7,5.7,1,1,1,0,0,-3.80624090993486,-5.30646648257971,0.0257062492892146,1.1320891790092,
5.8,5.8,1,1,1,0,0,-3.80769638087485,-5.15105202794075,0.0256686564534903,1.12491333857179,
5.9,5.9,1,1,1,0,0,-3.81044266492132,-5.51200937479734,5.29317185282707E-05,1.0512275621295,
6,6,1,1,1,0,0,-3.81152039141976,-4.41845040768385,-0.0256580952554941,1.0338849388063,
6.1,6.1,1,1,1,0,0,-3.81170181305983,-4.74296975880861,-0.02571702003479,1.03646935895085,
6.2,6.2,1,1,1,0,0,-3.81191750737113,-4.72788233309984,-0.02571702003479,1.04168336838484,
6.3,6.3,1,1,1,0,0,-3.81219429644418,-4.70655504614115,-0.02571702003479,1.04488851502538,
6.4,6.4,1,1,1,0,0,-3.81217268976015,-4.76532150059938,-0.02571702003479,1.04835024103522,
6.5,6.5,1,1,1,0,0,-3.81296803925001,-5.35654835402966,-0.02571702003479,1.05423992499709,
6.6,6.6,1,1,1,0,0,-3.81610845901558,-5.47883100807667,-0.02571702003479,1.05780502781272,
6.7,6.7,1,1,1,0,0,-3.81661584356133,-5.17363660037518,-0.02571702003479,1.05791818350554,
6.8,6.8,1,1,1,0,0,-3.81760379056231,-5.56688755750656,-0.02571702003479,1.06005929410458,
6.9,6.9,1,1,1,0,0,-3.81889125090748,-5.35778235644102,-0.02571702003479,1.05769513174891,
7,7,1,1,1,0,0,-3.82009861751012,-5.40330074727535,-0.02571702003479,1.05855707079172,
7.1,7.1,1,1,1,0,0,-3.82002858205153,-5.52178826183081,-0.02571702003479,1.05781061574817,
7.2,7.2,1,1,1,0,0,-3.82121136173785,-5.47673553228378,-0.02571702003479,1.06152705848217,
7.3,7.3,1,1,1,0,0,-3.82231963561716,-5.63522335141897,-0.02571702003479,1.06466375291348,
7.4,7.4,1,1,1,0,0,-3.82335936415401,-5.42302150279284,-0.02571702003479,1.06743117794394,
7.5,7.5,1,1,1,0,0,-3.8251303671867,-5.52840065211058,-0.02571702003479,1.06388702988625,
7.6,7.6,1,1,1,0,0,-3.82556324592544,-5.54998405277729,-0.02571702003479,1.06422603130341,
7.7,7.7,1,1,1,0,0,-3.8272500573962,-5.7487515732646,-0.02571702003479,1.07257906347513,
7.8,7.8,1,1,1,0,0,-3.82756633454696,-5.22618647664785,-0.02571702003479,1.06955831870437,
7.9,7.9,1,1,1,0,0,-3.82845965917304,-5.89755363762379,-0.02571702003479,1.07128778472543,
8,8,1,1,1,0,0,-3.82948076125815,-5.86532987654209,-0.02571702003479,1.07175763696432,
8.1,8.1,1,1,1,0,0,-3.83073655663534,-5.96458557993174,0.0026355218142271,1.08702015131712,
8.2,8.2,1,1,1,0,0,-3.83457695845779,-6.39331992715597,0.0100656598806381,1.17143569514155,
8.3,8.3,1,1,1,0,0,-3.83512755637161,-5.79424668103457,0.0257134577259421,1.16512179374695,
8.4,8.4,1,1,1,0,0,-3.83496103589294,-5.59294130653143,0.0257062492892146,1.15707842633128,
8.5,8.5,1,1,1,0,0,-3.83512308602319,-5.06553333252668,0.0257062492892146,1.15099502727389,
8.6,8.6,1,1,1,0,0,-3.83506981437118,-5.0343107432127,0.0257062492892146,1.14570837467909,
8.7,8.7,1,1,1,0,0,-3.83525570635967,-5.30662946403027,0.0257062492892146,1.14595657214522,
8.8,8.8,1,1,1,0,0,-3.83516555433319,-5.03191258758307,0.0257062492892146,1.14205572754145,
8.9,8.9,1,1,1,0,0,-3.83891394148398,-6.31483271718025,0.0257062492892146,1.1462140828371,
9,9,1,1,1,0,0,-3.83979907047128,-5.80830965191126,0.0257062492892146,1.14257680252194,
9.1,9.1,1,1,1,0,0,-3.84095800829936,-5.84186054766178,0.0257062492892146,1.1389022693038,
9.2,9.2,1,1,1,0,0,-3.8419444651842,-5.66707458347082,0.0257062492892146,1.14032439887524,
9.3,9.3,1,1,1,0,0,-3.84286163166852,-6.22568186372519,0.0257062492892146,1.1429525911808,
9.4,9.4,1,1,1,0,0,-3.84386112706959,-5.95634337514639,0.0257062492892146,1.1409823782742,
9.5,9.5,1,1,1,0,0,-3.84473396259874,-5.81888016313314,0.0257062492892146,1.13574834540486,
9.6,9.6,1,1,1,0,0,-3.84607916494435,-6.20884820818901,0.0257062492892146,1.13649480044842,
9.7,9.7,1,1,1,0,0,-3.84675940296237,-6.19916245341301,0.0257062492892146,1.13707594573498,
9.8,9.8,1,1,1,0,0,-3.84806325458509,-6.1235623434186,0.0257062492892146,1.136374194175,
9.9,9.9,1,1,1,0,0,-3.84864812517014,-6.05091918259859,0.0257062492892146,1.13314110785723,
10,10,1,1,1,0,0,-3.84971542085559,-5.57180028408766,0.0257062492892146,1.13084120675921,
10.1,10.1,1,1,1,0,0,-3.85136684206801,-5.80467749387026,0.0257062492892146,1.13189173862338,
10.2,10.2,1,1,1,0,0,-3.8517736437743,-6.35453034192324,0.0257062492892146,1.13382237032056,
10.3,10.3,1,1,1,0,0,-3.85333826572156,-6.22225925326347,0.0257062492892146,1.12838298082352,
10.4,10.4,1,1,1,0,0,-3.8544107768135,-6.09576236456633,0.000656931661069393,1.09583744779229,
10.5,10.5,1,1,1,0,0,-3.85739473438435,-5.43557107448578,-0.0255201291292906,1.02739408612251,
10.6,10.6,1,1,1,0,0,-3.85774416661923,-5.24912029504776,-0.0257127452641726,1.03278830647469,
10.7,10.7,1,1,1,0,0,-3.8574569467332,-5.56597951799631,-0.02571702003479,1.03972060605884,
10.8,10.8,1,1,1,0,0,-3.85764954424433,-5.25894574820995,-0.02571702003479,1.04210758581758,
10.9,10.9,1,1,1,0,0,-3.85779781080028,-4.99940942972898,-0.02571702003479,1.04935932904482,
11,11,1,1,1,0,0,-3.85798370278878,-5.4934760555625,-0.02571702003479,1.04999449104071,
