"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (N)","Rotation(8800 (0,3):Rotary Position Encoder) (deg)","Torque(8800 (0,3):Torque) (N·m)",
0,0,1,1,1,0,0,-3.74994730238864,-6.49639405310154,-0.02571702003479,1.04867201298475,
0.1,0.1,1,1,1,0,0,-3.74994730238864,-6.91211316734552,-0.02571702003479,1.04960054159164,
0.2,0.2,1,1,1,0,0,-3.75004602258293,-7.1497168391943,-0.02571702003479,1.05490162968636,
0.3,0.3,1,1,1,0,0,-3.75011084263503,-7.32108019292355,-0.02571702003479,1.06263719499111,
0.4,0.4,1,1,1,0,0,-3.75176189131842,-7.42829870432615,-0.02571702003479,1.0650553740561,
0.5,0.5,1,1,1,0,0,-3.7526988018416,-6.17960467934608,-0.02571702003479,1.06278201565146,
0.6,0.6,1,1,1,0,0,-3.7525468099953,-6.26405235379934,-0.02571702003479,1.06014870107174,
0.7,0.7,1,1,1,0,0,-3.75274089762256,-6.47392589598894,-0.02571702003479,1.06403371319175,
0.8,0.8,1,1,1,0,0,-3.75294616112088,-7.1678077802062,-0.02571702003479,1.06398900970817,
0.9,0.9,1,1,1,0,0,-3.75284706839755,-7.25435093045235,-0.000951136462390423,1.07346242293715,
1,1,1,1,1,0,0,-3.75597482217593,-8.20939894765615,1.1734664440155E-05,1.07883429154754,
1.1,1.1,1,1,1,0,0,-3.76277533971098,-8.23044683784246,0,1.11273908987641,
1.2,1.2,1,1,1,0,0,-3.76423192823807,-7.38210510462523,0.0256486656144261,1.15781370550394,
1.3,1.3,1,1,1,0,0,-3.76409297490799,-6.08875416219234,0.0257061654701829,1.14925112575293,
1.4,1.4,1,1,1,0,0,-3.76411309147589,-6.81979581713676,0.0257062492892146,1.14192813634872,
1.5,1.5,1,1,1,0,0,-3.76465698386708,-7.58576206862926,0.0257062492892146,1.14207388833165,
1.6,1.6,1,1,1,0,0,-3.76661611406247,-8.13044607639313,0.0257062492892146,1.13872298970819,
1.7,1.7,1,1,1,0,0,-3.76719502418295,-7.6312804594636,0.0257062492892146,1.13648874685168,
1.8,1.8,1,1,1,0,0,-3.76822320431972,-7.8774057328701,0.0257062492892146,1.13589223474264,
1.9,1.9,1,1,1,0,0,-3.76917613359141,-7.61379487812519,0.0257062492892146,1.13355601206422,
2,2,1,1,1,0,0,-3.77005269441091,-7.96257518231869,0.0257062492892146,1.13137997686863,
2.1,2.1,1,1,1,0,0,-3.7706103703764,-7.93589279055595,0.0257062492892146,1.13148521631956,
2.2,2.2,1,1,1,0,0,-3.77204945003884,-8.08273907750845,0.0257062492892146,1.12965889275074,
2.3,2.3,1,1,1,0,0,-3.77261755681731,-7.81465787440538,0.0257062492892146,1.13240256905556,
