"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (N)","Rotation(8800 (0,3):Rotary Position Encoder) (deg)","Torque(8800 (0,3):Torque) (N·m)",
0,0,1,1,1,0,0,-3.74985268001373,-3.01976688206196,0.0257062492892146,1.08082825317979,
0.1,0.1,1,1,1,0,0,-3.749781154439,-3.2615615054965,0.0257062492892146,1.07733067125082,
0.2,0.2,1,1,1,0,0,-3.75001994555047,-4.51498199254274,0.0257062492892146,1.07561564072967,
0.3,0.3,1,1,1,0,0,-3.75147094614204,-4.48697246611118,0.0257062492892146,1.07935490086675,
0.4,0.4,1,1,1,0,0,-3.75181739814464,-3.46896704286337,0.0257062492892146,1.07766594737768,
0.5,0.5,1,1,1,0,0,-3.7519146282228,-3.47623135894537,0.0257062492892146,1.07584474608302,
0.6,0.6,1,1,1,0,0,-3.7519146282228,-3.50871123373508,0.0257062492892146,1.07643706724048,
0.7,0.7,1,1,1,0,0,-3.75180473215745,-3.68584878742695,0.0257062492892146,1.0731304064393,
0.8,0.8,1,1,1,0,0,-3.75192543156481,-4.39477153122425,0.0257062492892146,1.07297534123063,
0.9,0.9,1,1,1,0,0,-3.75762438074318,-6.23827800154686,0.0257062492892146,1.09520182013512,
1,1,1,1,1,0,0,-3.76224299571988,-5.44141512364149,0.0257062492892146,1.09109142795205,
1.1,1.1,1,1,1,0,0,-3.7620466729184,-5.29722310602665,0.0257062492892146,1.09122414141893,
1.2,1.2,1,1,1,0,0,-3.76319145464315,-5.53398858755827,0.0257062492892146,1.09205069020391,
1.3,1.3,1,1,1,0,0,-3.76386275196433,-5.27901574969292,0.0257062492892146,1.09295453876257,
1.4,1.4,1,1,1,0,0,-3.76464692558313,-5.58688770979643,0.0257062492892146,1.08779827132821,
1.5,1.5,1,1,1,0,0,-3.76598989275453,-5.38653694093227,0.0257062492892146,1.08548300340772,
1.6,1.6,1,1,1,0,0,-3.76658407656545,-5.52658457309008,0.0257062492892146,1.08110532164574,
1.7,1.7,1,1,1,0,0,-3.76777914970993,-5.34199643880129,0.0257062492892146,1.07948575168848,
1.8,1.8,1,1,1,0,0,-3.76922679754018,-5.67035749554634,-2.39303335547447E-05,1.04495463892817,
1.9,1.9,1,1,1,0,0,-3.77167729353281,-4.75116539746523,-0.0274172052741051,0.944426283240318,
2,2,1,1,1,0,0,-3.77158639644826,-4.52662352472544,-0.0257220910862088,0.938205048441887,
2.1,2.1,1,1,1,0,0,-3.7716538242036,-4.33193054050207,-0.02571702003479,0.943397171795368,
2.2,2.2,1,1,1,0,0,-3.77188367461824,-4.39912546426058,-0.02571702003479,0.94272056594491,
2.3,2.3,1,1,1,0,0,-3.77191310441201,-4.53419052064419,-0.02571702003479,0.951540190726519,
2.4,2.4,1,1,1,0,0,-3.77284442699966,-5.23920170962811,-0.02571702003479,0.959742814302444,
2.5,2.5,1,1,1,0,0,-3.77470111171041,-5.27836382389069,-0.02571702003479,0.953800976276398,
2.6,2.6,1,1,1,0,0,-3.77568160813069,-5.19729219377041,-0.02571702003479,0.956186093389988,
2.7,2.7,1,1,1,0,0,-3.77665130120896,-5.41189219802618,-0.02571702003479,0.954389106482267,
2.8,2.8,1,1,1,0,0,-3.77812614365876,-5.44586218893528,-0.02571702003479,0.956011470407248,
2.9,2.9,1,1,1,0,0,-3.77887678966441,-5.30020333826542,-0.02571702003479,0.956975389271975,
3,3,1,1,1,0,0,-3.77975931094847,-5.47680538147688,-0.02571702003479,0.955047551542521,
3.1,3.1,1,1,1,0,0,-3.78097003031242,-5.49235846847296,-0.02571702003479,0.955625902861357,
3.2,3.2,1,1,1,0,0,-3.78146735657423,-5.74479345232248,-0.02571702003479,0.954304356127977,
3.3,3.3,1,1,1,0,0,-3.78303793898605,-5.77331520617008,-0.02571702003479,0.952604226768017,
3.4,3.4,1,1,1,0,0,-3.78366118006171,-5.9081707149744,-0.02571702003479,0.957042444497347,
3.5,3.5,1,1,1,0,0,-3.78512037629205,-5.48714306205511,-0.02571702003479,0.955004245042801,
3.6,3.6,1,1,1,0,0,-3.78523325258967,-5.78276813030243,-0.02571702003479,0.959485769271851,
3.7,3.7,1,1,1,0,0,-3.78681948122096,-5.77750615775585,-0.02571702003479,0.964316073805094,
