"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (N)","Rotation(8800 (0,3):Rotary Position Encoder) (deg)","Torque(8800 (0,3):Torque) (N·m)",
0,0,1,1,1,0,0,-3.74978301708417,-1.37870665639639,-4.1155144572258E-05,1.1098263785243,
0.1,0.1,1,1,1,0,0,-3.74969286505769,-3.49788460880518,-0.0255927164107561,1.04478746652603,
0.2,0.2,1,1,1,0,0,-3.74977072362602,-4.9961032345891,-0.0257127452641726,1.04975420981646,
0.3,0.3,1,1,1,0,0,-3.75032765453343,-5.50190452486277,-0.02571702003479,1.0555274784565,
0.4,0.4,1,1,1,0,0,-3.75169632620825,-5.4328003898263,-0.02571702003479,1.05395866557956,
0.5,0.5,1,1,1,0,0,-3.75166130847895,-4.5115826651454,-0.02571702003479,1.05497799813747,
0.6,0.6,1,1,1,0,0,-3.75172165818263,-4.94038686156273,-0.02571702003479,1.05732958763838,
0.7,0.7,1,1,1,0,0,-3.75190792270016,-5.39340544492006,-0.02571702003479,1.06423860415816,
0.8,0.8,1,1,1,0,0,-3.75177418477658,-5.3871888667345,-0.02571702003479,1.06427259743214,
0.9,0.9,1,1,1,0,0,-3.75895915227581,-6.8944413214922,-0.02571702003479,1.06065673753619,
1,1,1,1,1,0,0,-3.7619457175499,-6.08779955655336,-0.02571702003479,1.05821061879396,
1.1,1.1,1,1,1,0,0,-3.76225379906189,-6.26684632152319,-0.02571702003479,1.06006395071745,
1.2,1.2,1,1,1,0,0,-3.76369474136951,-6.08055852353573,-0.02571702003479,1.05967605486512,
1.3,1.3,1,1,1,0,0,-3.76467561031883,-6.1393016949296,-0.02571702003479,1.06020551174879,
1.4,1.4,1,1,1,0,0,-3.76535249557554,-6.27192202955484,-0.02571702003479,1.0643657296896,
1.5,1.5,1,1,1,0,0,-3.76674910692798,-6.12155999988317,-0.02571702003479,1.064442563802,
1.6,1.6,1,1,1,0,0,-3.76693648903262,-6.39650970697403,-0.02571702003479,1.06645422056317,
1.7,1.7,1,1,1,0,0,-3.76823959559726,-6.1951344832778,-0.02571702003479,1.06127560138702,
1.8,1.8,1,1,1,0,0,-3.76860281140645,-6.13697338849306,-0.02571702003479,1.06419809162617,
1.9,1.9,1,1,1,0,0,-3.76999010953302,-6.23469240963459,-0.02571702003479,1.06823304668069,
2,2,1,1,1,0,0,-3.77077987108735,-6.44780229777098,-0.02571702003479,1.07147032395005,
2.1,2.1,1,1,1,0,0,-3.77193471109604,-6.47746492177248,-0.02571702003479,1.06791127473116,
2.2,2.2,1,1,1,0,0,-3.77258104897187,-6.58284407109022,-0.02571702003479,1.08339264988899,
2.3,2.3,1,1,1,0,0,-3.77340135790708,-6.63932878524065,-3.39886173605919E-05,1.09259458258748,
2.4,2.4,1,1,1,0,0,-3.77712292296734,-6.61558005958796,0.0269938353449106,1.22280465438962,
2.5,2.5,1,1,1,0,0,-3.77711249215436,-6.14514574408531,0.0257124518975616,1.21363718062639,
2.6,2.6,1,1,1,0,0,-3.77730434460742,-5.79287298023701,0.0257062492892146,1.21346255764365,
2.7,2.7,1,1,1,0,0,-3.77742914183416,-5.71676064282656,0.0257062492892146,1.20610650628805,
2.8,2.8,1,1,1,0,0,-3.77737810535636,-5.94081357121468,0.0257062492892146,1.19945453479886,
2.9,2.9,1,1,1,0,0,-3.777501784996,-5.71832060813904,0.0257062492892146,1.19777675718069,
3,3,1,1,1,0,0,-3.77751147075091,-5.81664498895407,0.0257062492892146,1.19170546531677,
3.1,3.1,1,1,1,0,0,-3.77861490175277,-6.78040087223053,0.0257062492892146,1.18518061935902,
3.2,3.2,1,1,1,0,0,-3.78208836247568,-6.55441544950008,0.0257062492892146,1.19922962039709,
3.3,3.3,1,1,1,0,0,-3.78250708511109,-6.69900327920914,0.0257062492892146,1.1933958157897,
3.4,3.4,1,1,1,0,0,-3.78398528032221,-6.69180881232023,0.0257062492892146,1.19954440742731,
3.5,3.5,1,1,1,0,0,-3.78461261921726,-6.83565158396959,0.0257062492892146,1.19473040103912,
3.6,3.6,1,1,1,0,0,-3.78581700558761,-6.97351060807705,0.0257062492892146,1.19650876149535,
3.7,3.7,1,1,1,0,0,-3.7870280974806,-6.69129658490419,0.0257062492892146,1.19999935850501,
3.8,3.8,1,1,1,0,0,-3.78759285149775,-7.13644549250603,0.0257062492892146,1.20006361976266,
3.9,3.9,1,1,1,0,0,-3.78876035749363,-7.00124073773623,0.0257062492892146,1.19756814092398,
4,4,1,1,1,0,0,-3.79011636318126,-6.88061118125916,0.0257062492892146,1.19477929547429,
4.1,4.1,1,1,1,0,0,-3.79073401632139,-6.74871262162924,0.0257062492892146,1.19451433420181,
4.2,4.2,1,1,1,0,0,-3.79175437334842,-6.79874792695045,0.0257062492892146,1.19080161675811,
4.3,4.3,1,1,1,0,0,-3.79326050823718,-7.22622498869896,0.0257062492892146,1.18720531463623,
4.4,4.4,1,1,1,0,0,-3.79404132909467,-6.99199736118317,0.0257062492892146,1.19224470108747,
4.5,4.5,1,1,1,0,0,-3.79548636922167,-7.17281363904476,0.0257062492892146,1.18580786511302,
4.6,4.6,1,1,1,0,0,-3.79661028932045,-7.11579341441393,-0.000240141525864601,1.14748021587729,
4.7,4.7,1,1,1,0,0,-3.79970786824699,-6.40624202787876,-0.0282336864620447,1.03383790701628,
4.8,4.8,1,1,1,0,0,-3.79968104615646,-6.6142063587904,-0.0257129967212677,1.04180769994855,
4.9,4.9,1,1,1,0,0,-3.79969930007918,-6.52680173516274,-0.02571702003479,1.04523357003927,
5,5,1,1,1,0,0,-3.79992617026153,-6.18139747530222,-0.02571702003479,1.04667525738478,
5.1,5.1,1,1,1,0,0,-3.79997832432644,-6.51220325380564,-0.02571702003479,1.0529076680541,
5.2,5.2,1,1,1,0,0,-3.80019848898616,-6.62524253129959,-0.02571702003479,1.05841038748622,
5.3,5.3,1,1,1,0,0,-3.80039145902633,-6.81334640830755,-0.02571702003479,1.06241181492805,
5.4,5.4,1,1,1,0,0,-3.80372298618688,-7.22070690244436,-0.02571702003479,1.05964159592986,
5.5,5.5,1,1,1,0,0,-3.8042363311972,-6.93039037287235,-0.02571702003479,1.05652213096619,
5.6,5.6,1,1,1,0,0,-3.80519931875283,-7.12492037564516,-0.02571702003479,1.05762900784612,
5.7,5.7,1,1,1,0,0,-3.80717297758059,-7.06871505826712,-0.02571702003479,1.05821480974555,
5.8,5.8,1,1,1,0,0,-3.80732124413654,-7.18848314136267,-0.02571702003479,1.0630814358592,
5.9,5.9,1,1,1,0,0,-3.8093895253392,-7.31972977519035,-0.02571702003479,1.05778640136123,
6,6,1,1,1,0,0,-3.80959106354717,-7.2504160925746,-0.02571702003479,1.06145814061165,
6.1,6.1,1,1,1,0,0,-3.81108863026812,-7.28636514395475,-0.02571702003479,1.05758337303996,
6.2,6.2,1,1,1,0,0,-3.81174390884079,-7.20266252756119,-0.02571702003479,1.0626926086843,
6.3,6.3,1,1,1,0,0,-3.81274303171283,-7.38347880542278,-0.02571702003479,1.05690816417336,
6.4,6.4,1,1,1,0,0,-3.81358196709979,-7.29085877537727,-0.02571702003479,1.06095755472779,
6.5,6.5,1,1,1,0,0,-3.81481131291549,-7.54478387534618,-0.02571702003479,1.06498179957271,
6.6,6.6,1,1,1,0,0,-3.81581527866498,-7.52045307308435,-0.02571702003479,1.06773665174842,
6.7,6.7,1,1,1,0,0,-3.81673356273641,-7.71968625485897,-0.02571702003479,1.06770545244217,
6.8,6.8,1,1,1,0,0,-3.81778148691204,-7.5542600825429,-0.02571702003479,1.07466988265514,
6.9,6.9,1,1,1,0,0,-3.81910769027686,-7.56683293730021,0.000622859224677086,1.09197711572051,
7,7,1,1,1,0,0,-3.82303749906772,-7.61235132813454,0.0267532328143716,1.2185163795948,
7.1,7.1,1,1,1,0,0,-3.82307028162281,-7.14031048119068,0.0257131224498153,1.21377315372229,
7.2,7.2,1,1,1,0,0,-3.82363354552382,-7.10098538547754,0.0257062492892146,1.20419031009078,
7.3,7.3,1,1,1,0,0,-3.82341561603831,-6.90023880451918,0.0257062492892146,1.19804264977574,
7.4,7.4,1,1,1,0,0,-3.82330013203744,-6.58524222671986,0.0257062492892146,1.19444821029902,
7.5,7.5,1,1,1,0,0,-3.82357766616856,-6.82966783642769,0.0257062492892146,1.19062839075923,
7.6,7.6,1,1,1,0,0,-3.82343983042559,-6.66691921651363,0.0257062492892146,1.18954479694366,
7.7,7.7,1,1,1,0,0,-3.82361566413014,-6.95749185979366,0.0257062492892146,1.18389213457704,
7.8,7.8,1,1,1,0,0,-3.82800927156965,-7.9994322732091,0.0257062492892146,1.19751086458564,
7.9,7.9,1,1,1,0,0,-3.82884001131784,-7.60287512093782,0.0257062492892146,1.19402445852757,
8,8,1,1,1,0,0,-3.82967335876927,-7.90499616414309,0.0257062492892146,1.19581492617726,
8.1,8.1,1,1,1,0,0,-3.83083974717805,-7.72059429436922,0.0257062492892146,1.19532039389014,
