"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (N)","Rotation(8800 (0,3):Rotary Position Encoder) (deg)","Torque(8800 (0,3):Torque) (N·m)",
0,0,1,1,1,0,0,-3.74996257607907,0.0238185748457909,-0.0255309417843819,1.10648851841688,
0.1,0.1,1,1,1,0,0,-3.74996257607907,-0.540586188435555,-4.66452911496162E-05,1.11513724550605,
0.2,0.2,1,1,1,0,0,-3.74996257607907,-1.73081643879414,4.19095158576965E-08,1.11677777022123,
0.3,0.3,1,1,1,0,0,-3.75009445135748,-1.8575694411993,0,1.15740718320012,
0.4,0.4,1,1,1,0,0,-3.75098777598356,-1.92823354154825,0.0269126985222101,1.22979376465082,
0.5,0.5,1,1,1,0,0,-3.75229833312891,-2.21861992031336,0.0257004238665104,1.23995961621404,
0.6,0.6,1,1,1,0,0,-3.75250694938854,-0.968156382441521,0.0257062492892146,1.22941611334682,
0.7,0.7,1,1,1,0,0,-3.75220743604435,-0.458094291388988,0.0257062492892146,1.22511480003595,
0.8,0.8,1,1,1,0,0,-3.75250396915626,-0.222236849367619,0.0257062492892146,1.21997855603695,
0.9,0.9,1,1,1,0,0,-3.75231807716777,-0.738888047635555,0.0257062492892146,1.21280271559954,
1,1,1,1,1,0,0,-3.75262727626687,-1.88390258699656,0.0257062492892146,1.2145908549428,
1.1,1.1,1,1,1,0,0,-3.76304914855175,-2.91131436824799,0.0257062492892146,1.22998841106892,
1.2,1.2,1,1,1,0,0,-3.76332072221831,-2.87643633782864,0.0257062492892146,1.22677674517035,
1.3,1.3,1,1,1,0,0,-3.76437646950368,-2.79298983514309,0.0257062492892146,1.22110499069095,
1.4,1.4,1,1,1,0,0,-3.76510550882529,-2.6424415409565,0.0257062492892146,1.21903512626886,
1.5,1.5,1,1,1,0,0,-3.76577382591419,-2.63282563537359,0.0257062492892146,1.21550122275949,
1.6,1.6,1,1,1,0,0,-3.76667087583062,-2.74195335805416,0.0257062492892146,1.21797807514668,
1.7,1.7,1,1,1,0,0,-3.7682399681263,-2.69471202045679,0.0257062492892146,1.22184166684747,
1.8,1.8,1,1,1,0,0,-3.76836737305629,-2.84528359770775,0.0257062492892146,1.21925259009004,
1.9,1.9,1,1,1,0,0,-3.7696689895048,-2.95366626232862,0.0257062492892146,1.22142676264048,
2,2,1,1,1,0,0,-3.77044496748483,-2.81475950032473,0.0257062492892146,1.20948627591133,
2.1,2.1,1,1,1,0,0,-3.77133084153021,-2.89510935544968,0.0257062492892146,1.20768463239074,
2.2,2.2,1,1,1,0,0,-3.77256614781047,-2.73245386779308,0.0257062492892146,1.20954541489482,
2.3,2.3,1,1,1,0,0,-3.7731189808985,-2.91289761662483,0.0257062492892146,1.20890932157636,
2.4,2.4,1,1,1,0,0,-3.77442096987604,-2.7995090931654,3.38209792971611E-05,1.18864793330431,
2.5,2.5,1,1,1,0,0,-3.77708641512191,-2.87853181362152,-8.80099833011627E-07,1.10694160684943,
2.6,2.6,1,1,1,0,0,-3.77798495515448,-1.16974115371704,-0.0256793852895498,1.06794526800513,
2.7,2.7,1,1,1,0,0,-3.7779119394636,-1.99191272258759,-0.02571702003479,1.07530457898974,
2.8,2.8,1,1,1,0,0,-3.77804977520658,-2.01794318854809,-0.02571702003479,1.0814405977726,
2.9,2.9,1,1,1,0,0,-3.77840926572541,-2.2033927962184,-0.02571702003479,1.08629511669278,
3,3,1,1,1,0,0,-3.77864060625618,-2.59124208241701,-0.02571702003479,1.09003391116858,
3.1,3.1,1,1,1,0,0,-3.78087540793752,-2.73680780082941,-0.02571702003479,1.09062343835831,
3.2,3.2,1,1,1,0,0,-3.782070481082,-2.79324594885111,-0.02571702003479,1.08776008710265,
3.3,3.3,1,1,1,0,0,-3.7828546547008,-2.89804302155972,-0.02571702003479,1.08772702515125,
3.4,3.4,1,1,1,0,0,-3.78393722407669,-2.69496813416481,-0.02571702003479,1.08807720243931,
3.5,3.5,1,1,1,0,0,-3.78478398257339,-2.90651805698872,-0.02571702003479,1.08868442475796,
3.6,3.6,1,1,1,0,0,-3.78585425849112,-2.81839165836573,-0.02571702003479,1.09148537740111,
3.7,3.7,1,1,1,0,0,-3.78707578119708,-2.83760018646717,-0.02571702003479,1.09072867780924,
3.8,3.8,1,1,1,0,0,-3.78803467093333,-3.08339949697256,-0.02571702003479,1.09004508703947,
3.9,3.9,1,1,1,0,0,-3.78877861141635,-2.9267743229866,-0.02571702003479,1.09301600605249,
4,4,1,1,1,0,0,-3.78952217937033,-2.89275776594877,-0.02571702003479,1.09056755900383,
4.1,4.1,1,1,1,0,0,-3.79057978930087,-2.99836974591017,-0.02571702003479,1.09179085120559,
4.2,4.2,1,1,1,0,0,-3.79165192786378,-3.26328445225954,-0.02571702003479,1.09789194539189,
4.3,4.3,1,1,1,0,0,-3.79237686936601,-2.93306075036526,-0.02571702003479,1.0987538844347,
4.4,4.4,1,1,1,0,0,-3.79379024452503,-3.13501805067062,-0.02571702003479,1.10160233452916,
4.5,4.5,1,1,1,0,0,-3.79465972729287,-3.28896567225456,-0.02571702003479,1.1058310046792,
4.6,4.6,1,1,1,0,0,-3.79588050494077,-3.15357465296984,-2.51457095146179E-07,1.11941900104284,
4.7,4.7,1,1,1,0,0,-3.79679692636702,-3.1864270567894,8.38190317153931E-07,1.12514523789287,
4.8,4.8,1,1,1,0,0,-3.80023872212195,-3.59220430254936,6.02239742875099E-05,1.21564278379083,
4.9,4.9,1,1,1,0,0,-3.80041083053615,-1.99826899915934,0.0256534013897181,1.23613653704524,
5,5,1,1,1,0,0,-3.80069544271894,-2.38760840147734,0.0257062492892146,1.2331735342741,
5.1,5.1,1,1,1,0,0,-3.8006939526028,-2.13212333619595,0.0257062492892146,1.2275050394237,
5.2,5.2,1,1,1,0,0,-3.80050098256263,-2.35808547586203,0.0257062492892146,1.21578015387058,
5.3,5.3,1,1,1,0,0,-3.80059895769886,-2.64630652964115,0.0257062492892146,1.2174230068922,
5.4,5.4,1,1,1,0,0,-3.80120468990987,-3.05201392620802,0.0257062492892146,1.21228350326419,
5.5,5.5,1,1,1,0,0,-3.80449859163788,-3.05299181491137,0.0257062492892146,1.22408522292972,
5.6,5.6,1,1,1,0,0,-3.80538930856071,-3.09611205011606,0.0257062492892146,1.2217634357512,
5.7,5.7,1,1,1,0,0,-3.80636198187126,-3.21562401950359,0.0257062492892146,1.22074456885457,
5.8,5.8,1,1,1,0,0,-3.80717744792901,-3.26749868690968,0.0257062492892146,1.22000696137547,
5.9,5.9,1,1,1,0,0,-3.80854947236514,-3.234320320189,0.0257062492892146,1.21763627976179,
6,6,1,1,1,0,0,-3.80949048070771,-3.0699884518981,0.0257062492892146,1.21553661301732,
6.1,6.1,1,1,1,0,0,-3.8109843221383,-3.16344667226076,0.0257062492892146,1.21760135516524,
6.2,6.2,1,1,1,0,0,-3.81135610611529,-3.14328353852034,0.0257062492892146,1.21736060827971,
6.3,6.3,1,1,1,0,0,-3.8125716683567,-3.46247106790543,0.0257062492892146,1.21580762788653,
6.4,6.4,1,1,1,0,0,-3.81346350286664,-3.30887269228697,0.0257062492892146,1.215401571244,
6.5,6.5,1,1,1,0,0,-3.81439333533815,-3.28589230775833,0.0257062492892146,1.20859593153,
6.6,6.6,1,1,1,0,0,-3.81581714131016,-3.75206582248211,0.0257062492892146,1.20911840349436,
6.7,6.7,1,1,1,0,0,-3.81655139603826,-3.61669808626175,0.0257062492892146,1.20544340461493,
6.8,6.8,1,1,1,0,0,-3.81775578240862,-3.6042183637619,0.0257062492892146,1.20151415467262,
6.9,6.9,1,1,1,0,0,-3.81930736583965,-3.64508014172316,-0.000191610306501389,1.17616076022387,
7,7,1,1,1,0,0,-3.82159469411493,-3.50025948137045,-0.00297716818749905,1.08291814103723,
7.1,7.1,1,1,1,0,0,-3.82237476991435,-2.26437114179134,-0.0256998790428042,1.06671173125505,
7.2,7.2,1,1,1,0,0,-3.82240755246943,-2.73154582828283,-0.02571702003479,1.07005285099149,
7.3,7.3,1,1,1,0,0,-3.82259344445793,-2.81056854873896,-0.02571702003479,1.07647106051445,
7.4,7.4,1,1,1,0,0,-3.82277933644642,-2.83820554614067,-0.02571702003479,1.08405016362667,
7.5,7.5,1,1,1,0,0,-3.82354451108444,-3.27788293361664,-0.02571702003479,1.08729489147663,
7.6,7.6,1,1,1,0,0,-3.82587803296007,-3.402354195714,-0.02571702003479,1.0870979167521,
7.7,7.7,1,1,1,0,0,-3.82664507024326,-3.49464826285839,-0.02571702003479,1.08867743983865,
