"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (N)","Rotation(8800 (0,3):Rotary Position Encoder) (deg)","Torque(8800 (0,3):Torque) (N·m)",
0,0,1,1,1,0,0,-3.75022260134555,6.36209733784199,-0.00266766641288996,1.03113008663058,
0.1,0.1,1,1,1,0,0,-3.74975656752268,6.03992957621813,-0.0012918608263135,0.959882978349924,
0.2,0.2,1,1,1,0,0,-3.74961314384419,3.32733616232872,-0.0256866356357932,0.951569993048906,
0.3,0.3,1,1,1,0,0,-3.74995289032416,2.7551082894206,-0.02571702003479,0.960545614361763,
0.4,0.4,1,1,1,0,0,-3.75068341976192,2.05379910767078,-0.02571702003479,0.96784345805645,
0.5,0.5,1,1,1,0,0,-3.75237321146496,3.10111790895462,-0.02571702003479,0.967221334576607,
0.6,0.6,1,1,1,0,0,-3.75202117152682,2.35687475651503,-0.02571702003479,0.972762238234282,
0.7,0.7,1,1,1,0,0,-3.75223500319295,2.19685025513172,-0.02571702003479,0.970341265201569,
0.8,0.8,1,1,1,0,0,-3.75212845988892,2.09014397114515,-0.02571702003479,0.976646319031715,
0.9,0.9,1,1,1,0,0,-3.75231435187742,2.01696529984474,-0.02571702003479,0.980811193585396,
1,1,1,1,1,0,0,-3.7616938879222,1.02939084172249,-0.02571702003479,0.974277965724468,
1.1,1.1,1,1,1,0,0,-3.7621837636033,0.928109511733055,-0.02571702003479,0.980869401246309,
1.2,1.2,1,1,1,0,0,-3.76363476419487,1.08627136796713,-0.02571702003479,0.978658907115459,
1.3,1.3,1,1,1,0,0,-3.76400841081704,1.04049686342478,-0.02571702003479,0.979996286332607,
1.4,1.4,1,1,1,0,0,-3.76501125897942,0.867666676640511,-0.02571702003479,0.97779743373394,
1.5,1.5,1,1,1,0,0,-3.7663434228088,1.2013828381896,-0.02571702003479,0.98068593069911,
1.6,1.6,1,1,1,0,0,-3.76677406637333,1.19521282613277,-0.02571702003479,0.979919917881489,
1.7,1.7,1,1,1,0,0,-3.76766143053485,0.757677480578423,-0.02571702003479,0.980321783572435,
1.8,1.8,1,1,1,0,0,-3.76922120960465,0.984943471848965,-0.02571702003479,0.986041501164436,
1.9,1.9,1,1,1,0,0,-3.77014061126318,1.1875294148922,-0.02571702003479,0.985683873295784,
2,2,1,1,1,0,0,-3.77032650325168,0.984943471848965,-0.02571702003479,0.988832674920559,
2.1,2.1,1,1,1,0,0,-3.77194514190902,0.914814881980419,-0.02571702003479,0.993489753454924,
2.2,2.2,1,1,1,0,0,-3.77296661652316,1.46259553730488,-0.02571702003479,0.99885044619441,
2.3,2.3,1,1,1,0,0,-3.77333840050015,0.988924875855446,7.70296901464462E-05,1.0129758156836,
2.4,2.4,1,1,1,0,0,-3.77647099715599,1.331209205091,0.0278096878901124,1.10488710924983,
2.5,2.5,1,1,1,0,0,-3.77668818158343,2.20683868974447,0.0257010944187641,1.10013969242573,
2.6,2.6,1,1,1,0,0,-3.77646764439467,2.16162297874689,0.0257062492892146,1.09623791649938,
2.7,2.7,1,1,1,0,0,-3.77653544467905,1.88481062650681,0.0257062492892146,1.09624909237027,
2.8,2.8,1,1,1,0,0,-3.77684315366201,1.97736080735922,0.0257062492892146,1.08854100108147,
2.9,2.9,1,1,1,0,0,-3.77722648603909,1.30652915686369,0.0257062492892146,1.0836380533874,
3,3,1,1,1,0,0,-3.77963786648304,0.89558307081461,0.0257062492892146,1.08270812779665,
3.1,3.1,1,1,1,0,0,-3.78146437634195,0.83304475992918,0.0257062492892146,1.08740897849202,
3.2,3.2,1,1,1,0,0,-3.78146437634195,0.827689655125141,0.0257062492892146,1.08117656782269,
3.3,3.3,1,1,1,0,0,-3.78254955342109,0.836979597806931,0.0257062492892146,1.08125107362866,
3.4,3.4,1,1,1,0,0,-3.78398155503186,0.800145789980888,0.0257062492892146,1.08148669824004,
3.5,3.5,1,1,1,0,0,-3.7869781785899,0.188802368938923,0.0257062492892146,1.08612375333905,
3.6,3.6,1,1,1,0,0,-3.78869777261574,0.219745561480522,0.0257062492892146,1.08389742672443,
3.7,3.7,1,1,1,0,0,-3.78933628738184,1.09414104372263,0.0257062492892146,1.07970228418708,
3.8,3.8,1,1,1,0,0,-3.78933442473666,3.8970960304141,0.0257062492892146,1.07350666075945,
3.9,3.9,1,1,1,0,0,-3.78914368987071,2.57114879786968,0.0257062492892146,1.07512623071671,
4,4,1,1,1,0,0,-3.78909749627036,1.40017364174128,0.0257062492892146,1.07695255428553,
4.1,4.1,1,1,1,0,0,-3.79351457303909,-0.0961823388934135,0.0257062492892146,1.08032999560237,
4.2,4.2,1,1,1,0,0,-3.79416500873431,0.765384174883366,0.0257062492892146,1.07328174635768,
4.3,4.3,1,1,1,0,0,-3.79416538126334,0.634579919278622,0.0257062492892146,1.07594905421138,
4.4,4.4,1,1,1,0,0,-3.79421977050246,0.546546652913094,0.0257062492892146,1.07184052467346,
4.5,4.5,1,1,1,0,0,-3.79689192127096,0.131921842694283,0.00776021741330624,1.06387911364436,
4.6,4.6,1,1,1,0,0,-3.79876201702697,0.700261443853378,-1.59256160259247E-05,0.979444943368435,
4.7,4.7,1,1,1,0,0,-3.79953613236182,1.59482005983591,-0.0256582628935575,0.952402129769325,
4.8,4.8,1,1,1,0,0,-3.79988444700961,1.34359579533339,-0.02571702003479,0.961666461080313,
4.9,4.9,1,1,1,0,0,-3.799984284791,1.14720314741135,-0.02571702003479,0.963553786277771,
5,5,1,1,1,0,0,-3.80001222446863,1.07849482446909,-0.02571702003479,0.968418549746275,
5.1,5.1,1,1,1,0,0,-3.80052407936281,0.508502125740051,-0.02571702003479,0.97793759778142,
5.2,5.2,1,1,1,0,0,-3.80291944105825,0.436394475400448,-0.02571702003479,0.971015077084303,
5.3,5.3,1,1,1,0,0,-3.80359558125689,0.483030453324318,-0.02571702003479,0.978478696197271,
5.4,5.4,1,1,1,0,0,-3.80428774020404,0.523240305483341,-0.02571702003479,0.975971110165119,
5.5,5.5,1,1,1,0,0,-3.80507414899705,0.396533869206905,-0.02571702003479,0.975346192717552,
5.6,5.6,1,1,1,0,0,-3.80664659405405,0.339699909090996,-0.02571702003479,0.972581095993519,
5.7,5.7,1,1,1,0,0,-3.80714690054813,0.272830948233604,-0.02571702003479,0.977278221398592,
5.8,5.8,1,1,1,0,0,-3.80867799488224,0.280770473182201,-0.02571702003479,0.979518983513117,
5.9,5.9,1,1,1,0,0,-3.80944652228157,0.255205668509007,-0.02571702003479,0.981176737695932,
6,6,1,1,1,0,0,-3.8106740054521,0.179791823029518,-0.02571702003479,0.972537323832512,
6.1,6.1,1,1,1,0,0,-3.81184262903508,0.370084308087826,-0.02571702003479,0.977304298430681,
6.2,6.2,1,1,1,0,0,-3.81264058622819,0.167055986821651,-0.02571702003479,0.978033058345318,
6.3,6.3,1,1,1,0,0,-3.81351789210576,0.173458829522133,-0.02571702003479,0.979122240096331,
6.4,6.4,1,1,1,0,0,-3.81501396871056,0.178581103682518,-0.02571702003479,0.987977255135775,
