Test_1,Test_2,Test_3,Test_4,Test_5
-9.489472050115897e-05,0.003649201244115828,-0.025347001345984024,0.005492855204766493,0.0009931653384634624
0.0021536440318535317,0.0062417536217004525,-0.024062505781515198,0.01393524006535668,0.0037835784806248174
0.006895408305621849,0.008040251837869205,-0.013255791252654157,0.019903207850327065,0.01355987042924837
0.007400085416298701,0.009284822679874329,-0.010975652495500756,0.02191819187659457,0.015147886955354557
0.007681287262670797,0.004799646856460305,-0.00818181462700494,0.021642036369463016,0.015395458175067225
0.008838066845848544,0.0057453845747135945,-0.012353574907200812,0.01797156893381692,0.01023602788226158
0.0038565821480302785,0.006216421748395737,-0.009388817099609727,0.019678896082703564,0.009782954024629743
0.0018247133694044531,0.008533957737060907,-0.008750996873532984,0.021482535827770495,0.011080548806144319
0.000885229433848313,0.011830366633935252,-0.008325939974287563,0.021456919849980088,0.015000582988494151
0.0029430735586535293,0.011278775969114531,-0.008034117904181398,0.027460235478122434,0.02142095285155204
0.00750349538772677,0.012071699971896426,-0.00410034193078068,0.02424645354689087,0.01821602848628755
0.011595628184362886,0.012230521926267045,-0.003696763768553553,0.024958565938600463,0.018819189045041842
0.011456254332597738,0.01243662723099964,-0.004326740093870509,0.024215685079791837,0.018575854134053774
0.011123461050392648,0.012976993935960891,-0.00414425006342765,0.024448654752616778,0.017427294101646885
0.01052388203813971,0.013388902469685953,-0.0034558755591688017,0.024976791165444785,0.016086932429208535
0.010485167803160455,0.012644444827268892,-0.004784860754299824,0.02437703090109577,0.015712273944620995
0.010919331599913026,0.01283231057652659,-0.0047602868652730996,0.025470910313280096,0.01625629054869389
0.010731201546958663,0.012076640906230418,-0.003017553389535318,0.024668051617734336,0.015670260268483685
0.011330374313904707,0.013525717796877858,-0.003922671041654248,0.024435490298598685,0.01595211381434322
0.011761503055503603,0.014264460795453382,-0.004729308701283155,0.02482457658624165,0.017284637630016433
0.011208376141140964,0.007940518153317595,-0.003922514822178276,0.025672090690281014,0.017324332735018013
