Engineering Strain,Engineering Stress (MPa),Lower Bound (MPa),Upper Bound (MPa)
-0.00023532,2.2653708333333333,2.2653708333333333,2.2653708333333333
-0.00015289925925925926,-0.12519786497894617,-0.2585951439128286,0.008199413954936285
-7.047851851851853e-05,-0.3388554066926312,-0.37331602349946774,-0.30439478988579466
1.1942222222222234e-05,3.646021521446406,-1.1021559176483078,8.39419896054112
9.436296296296294e-05,5.888368216868516,-2.264866762147813,14.041603195884845
0.00017678370370370364,1.897069865268442,-2.571720454787642,6.365860185324526
0.00025920444444444443,11.582258817256186,-3.007055389990164,26.171573024502536
0.00034162518518518514,20.365973556575693,3.1196363325825303,37.612310780568855
0.00042404592592592584,29.37113975091213,4.8867273536978075,53.85555214812645
0.0005064666666666665,44.46648655399078,23.853900338768234,65.07907276921333
0.0005888874074074073,50.70618330030803,36.574998587935696,64.83736801268036
0.0006713081481481481,52.495188294495826,39.15850273653468,65.83187385245697
0.0007537288888888889,60.78321846171252,52.90813948505057,68.65829743837448
0.0008361496296296295,66.58931280363859,56.24320575552333,76.93541985175386
0.0009185703703703703,70.66630015977714,63.151487110802066,78.18111320875221
0.0010009911111111109,81.96338406673547,67.06231398847943,96.86445414499151
0.0010834118518518517,90.53474586960093,79.59900728880494,101.47048445039691
0.0011658325925925925,99.95535054819558,94.43375642447825,105.47694467191292
0.001248253333333333,100.81235426587108,91.20415503012678,110.42055350161537
0.001330674074074074,109.17134004758536,102.00219400327447,116.34048609189625
0.0014130948148148145,115.19335308788682,108.19353198137685,122.19317419439679
0.0014955155555555553,124.68295078630612,117.33681447760661,132.02908709500562
0.0015779362962962961,133.7641421314312,128.16326551675218,139.36501874611025
0.0016603570370370367,140.22148058109556,135.4838962370547,144.95906492513643
0.0017427777777777778,144.7760895878957,139.77686734887513,149.7753118269163
0.0018251985185185184,151.28310211009676,143.22625423698298,159.33994998321054
0.001907619259259259,154.93082863111061,143.54123746148105,166.32041980074018
0.0019900399999999998,159.19600593594106,148.49333866445699,169.89867320742513
0.002072460740740741,167.17452825024372,156.72460989169946,177.624446608788
0.0021548814814814814,177.4477581969755,167.96922438139757,186.92629201255346
0.002237302222222222,188.52599420757525,184.09611643962532,192.95587197552518
0.002319722962962963,192.0453918775741,187.78011646743767,196.31066728771054
0.0024021437037037036,196.29301036558155,191.39007598345898,201.19594474770412
0.0024845644444444442,203.87022385387303,192.45303439247303,215.28741331527303
0.0025669851851851853,205.82028439032374,198.3715595196001,213.26900926104736
0.002649405925925926,212.61726559628647,199.93850458655385,225.2960266060191
0.0027318266666666664,218.1566468118378,206.8435606857965,229.4697329378791
0.0028142474074074075,223.9173252326854,213.50245759233877,234.33219287303206
0.002896668148148148,233.24236084613636,224.6818521158842,241.80286957638853
0.0029790888888888887,238.58547480640692,231.71747271935502,245.45347689345883
0.0030615096296296293,242.46987327367725,235.8739230168154,249.0658235305391
0.0031439303703703703,247.61350008837516,240.1418181125044,255.0851820642459
0.003226351111111111,253.82540920839074,246.45436934207962,261.1964490747019
0.0033087718518518515,258.9028803885117,254.00932415749068,263.79643661953264
0.0033911925925925925,267.64318281139083,258.3342023741118,276.9521632486699
0.003473613333333333,268.1165368212851,262.0567588298353,274.17631481273486
0.0035560340740740737,274.4035624992777,266.43572409576205,282.37140090279337
0.0036384548148148147,278.056141297258,270.1582359783523,285.95404661616374
0.0037208755555555558,283.1796149618377,274.59088286122994,291.7683470624454
0.003803296296296296,285.58030010369305,277.65120568127304,293.50939452611306
0.003885717037037037,292.7889036292904,283.7434892405412,301.83431801803965
0.003968137777777777,296.17713123850865,291.75123265475355,300.60302982226375
0.004050558518518518,300.55486222843575,295.94699685709384,305.16272759977767
0.004132979259259259,300.6336315929538,298.4559165984978,302.8113465874098
0.004215399999999999,306.549274710185,303.51178024985535,309.58676917051463
0.00429782074074074,309.20205717132114,304.93592207865845,313.46819226398384
0.004380241481481481,314.11045330529737,310.0098057291703,318.21110088142444
0.004462662222222222,315.5626060653034,310.8653762304528,320.259835900154
0.004545082962962963,319.3272209558901,317.2639207628466,321.39052114893354
0.004627503703703704,321.61216294727336,318.7225387483244,324.50178714622234
0.004709924444444444,323.29598914521387,320.0539126050066,326.53806568542115
