strain,stress (MPa)
4.3261203003002996e-05,3.1196403938920922
0.000145564606006006,12.039209538990692
0.00024786800900900897,18.43766517344344
0.000350171412012012,26.090707422491146
0.000452474815015015,33.17291177058069
0.0005547782180180179,38.80234608100727
0.000657081621021021,47.95575167974217
0.000759385024024024,54.76638856703456
0.000861688427027027,61.72634042220644
0.00096399183003003,68.95262048684779
0.0010662952330330328,76.7656732697739
0.0011685986360360358,83.81048860288814
0.001270902039039039,91.17162964002986
0.0013732054420420418,100.97086864176998
0.001475508845045045,108.19144817402301
0.0015778122480480479,115.41425140205905
0.0016801156510510508,122.36021730158718
0.001782419054054054,128.3626426911883
0.0018847224570570568,135.37090689415973
0.00198702586006006,142.71134978689463
0.0020893292630630627,150.4643406555122
0.002191632666066066,155.8503510915516
0.002293936069069069,162.5005685067567
0.0023962394720720716,170.685030470012
0.0024985428750750748,180.01841772959554
0.002600846278078078,187.67612167100515
0.002703149681081081,195.86142110422443
0.0028054530840840837,201.58833616709796
0.002907756487087087,208.3372330899837
0.00301005989009009,214.33709460051134
0.0031123632930930927,221.14412502693742
0.003214666696096096,227.77119219280576
0.003316970099099099,232.99088055557633
0.0034192735021021017,238.4654605907156
0.003521576905105105,243.46673571558438
0.003623880308108108,248.77581639145905
0.0037261837111111106,254.35260345903802
0.0038284871141141138,258.8093130055954
0.003930790517117117,261.8791401277634
0.0040330939201201205,264.43177632732574
0.004135397323123124,266.6834740399531
0.004237700726126126,268.070007937709
0.004340004129129129,269.7194208783814
0.004442307532132132,271.3050804228566
0.004544610935135135,272.86619808051665
0.004646914338138138,274.1114776486124
0.0047492177411411415,275.1272980198447
0.004851521144144144,276.4239010400232
0.004953824547147147,277.3394788633496
0.00505612795015015,278.4648262567854
0.005158431353153153,279.35099491539495
0.005260734756156156,280.39748763859905
0.0053630381591591595,281.1880961929055
0.005465341562162163,282.33713765053415
0.005567644965165165,283.1973592358999
0.005669948368168168,283.81977520713576
0.005772251771171171,284.6114107394313
0.005874555174174174,285.5826899770694
0.005976858577177177,286.03659165386426
0.0060791619801801805,286.6638635764847
0.006181465383183183,287.3113311961923
0.006283768786186186,288.14635857706963
0.006386072189189189,288.6230479606399
0.006488375592192192,289.26786999171225
0.006590678995195195,289.6311525744989
0.0066929823981981985,290.37166285783655
0.006795285801201202,290.8084359646301
0.006897589204204204,291.34077091712413
0.006999892607207207,291.78754097313293
0.00710219601021021,292.29722410752134
0.007204499413213213,292.6816415736488
0.007306802816216216,293.28536397677647
0.0074091062192192195,294.0524691049283
0.007511409622222222,294.28706524348723
0.007613713025225225,294.4542410474826
0.007716016428228228,294.7269310387308
0.00781831983123123,295.2170589524084
0.007920623234234234,295.85925812377724
0.008022926637237237,296.13294892555666
0.00812523004024024,296.2665578534608
0.008227533443243243,296.5725454135713
0.008329836846246247,296.93184526134166
0.00843214024924925,297.1121485330633
0.008534443652252251,297.3981205510518
0.008636747055255255,297.66752017640334
0.008739050458258258,297.96627230923593
0.008841353861261262,298.36473824076916
0.008943657264264264,298.6093853093892
0.009045960667267268,298.9048677515999
0.00914826407027027,299.15234072948266
0.009250567473273272,299.2659002552281
0.009352870876276276,299.3932470639978
0.009455174279279279,299.80798535481085
0.009557477682282283,299.88788259028416
0.009659781085285285,300.01998117106746
0.009762084488288287,300.30076320514405
0.009864387891291291,300.5384544593163
0.009966691294294294,300.9130152902702
0.010068994697297298,301.05530011507926
0.0101712981003003,301.2060083288908
0.010273601503303304,301.2118239865149
0.010375904906306306,301.23221597482905
0.010478208309309308,301.3794148633058
0.010580511712312312,301.82872341532885
0.010682815115315315,302.0868053206639
0.010785118518318319,302.2932914490079
0.010887421921321321,302.2598132200577
0.010989725324324325,302.1826204768872
0.011092028727327327,302.2885246212263
0.01119433213033033,302.5041803081831
0.011296635533333333,302.77296001010416
0.011398938936336336,303.1945912440842
0.01150124233933934,303.0893299318441
0.011603545742342342,303.08680294878656
0.011705849145345346,303.19398267998764
0.011808152548348348,303.2462208147134
0.01191045595135135,303.58220117420245
0.012012759354354354,303.8355220538171
0.012115062757357357,303.98090073472537
0.01221736616036036,304.05320803567884
0.012319669563363363,304.0020374126452
0.012421972966366365,304.1017910149199
0.01252427636936937,304.1752396047076
0.012626579772372372,304.3591239306483
0.012728883175375376,304.51877272169133
0.012831186578378378,304.63710454749645
0.012933489981381382,304.52760563788
0.013035793384384384,304.68542475226934
0.013138096787387386,304.8548723693906
0.01324040019039039,305.1846891574621
0.013342703593393393,305.20318134556106
0.013445006996396397,305.24156158242033
0.013547310399399399,305.2519422070882
0.013649613802402403,305.45633828884297
0.013751917205405405,305.5222918059191
0.013854220608408407,305.4505501641756
0.013956524011411411,305.6194393412515
0.014058827414414414,305.81501137735034
0.014161130817417418,305.9648358143438
0.01426343422042042,305.92380610844185
0.014365737623423422,306.0070726548657
0.014468041026426426,306.22959389736707
0.014570344429429428,306.2970660390542
0.014672647832432432,306.3528767307786
0.014774951235435435,306.4156501328875
0.014877254638438439,306.54076409040727
0.014979558041441441,306.52716222752684
0.015081861444444443,306.64166714306106
0.015184164847447447,306.8098556728991
0.01528646825045045,306.85516392990417
0.015388771653453454,306.792374583465
0.015491075056456456,306.8442145797862
0.01559337845945946,307.03947904215846
0.01569568186246246,307.19764609553073
0.015797985265465463,307.3511712001414
0.015900288668468467,307.4150598549293
0.01600259207147147,307.28983968398586
0.01610489547447447,307.3208893598901
0.016207198877477475,307.4358207381102
0.01630950228048048,307.6165134039491
0.01641180568348348,307.68388751068983
0.016514109086486484,307.80651605277103
