Engineering Strain,Engineering Stress (MPa),Lower Bound (MPa),Upper Bound (MPa)
-0.000386139,2.0850416666666667,2.0850416666666667,2.0850416666666667
-0.00020462034234234236,0.6430434766131974,-0.8610032666722229,2.147090219898618
-2.310168468468469e-05,0.6347142889519589,-0.6485148256527441,1.917943403556662
0.00015841697297297295,15.57261831913724,-0.9902842663028917,32.13552090457737
0.00033993563063063065,27.863777620082242,11.43263922302188,44.294916017142604
0.0005214542882882884,42.35489880261736,26.378150050486525,58.3316475547482
0.000702972945945946,58.32846975124344,42.32481629902581,74.33212320346107
0.0008844916036036038,73.45890047096597,58.12354080075447,88.79426014117747
0.0010660102612612614,85.89287843278055,70.25910571130932,101.52665115425178
0.001247528918918919,101.75012091892562,86.85435719242355,116.64588464542769
0.0014290475765765768,116.01435226717658,100.62221140831294,131.40649312604023
0.0016105662342342346,126.8950971470335,109.45562631451915,144.33456797954784
0.001792084891891892,138.27956577681175,124.74446573389945,151.81466581972407
0.0019736035495495495,150.1520716617753,140.96786382127362,159.33627950227697
0.0021551222072072073,161.5953574869158,152.16692868706986,171.02378628676172
0.0023366408648648647,176.52599753210052,159.83707489316674,193.2149201710343
0.0025181595225225225,190.36249660936244,178.11933388696497,202.6056593317599
0.0026996781801801803,202.4903389551999,191.2543954977714,213.72628241262836
0.0028811968378378377,213.9486315937454,202.83517552629047,225.06208766120034
0.0030627154954954955,227.7190739336574,213.15948567277397,242.27866219454083
0.0032442341531531533,241.92165624492924,228.49328776764332,255.35002472221515
0.0034257528108108106,256.12291464579175,239.47606238185648,272.769766909727
0.003607271468468469,264.47948345160364,248.08057138506314,280.87839551814415
0.003788790126126126,273.4898414535188,259.4900389521827,287.4896439548549
0.003970308783783784,285.1943045422229,276.8244688901865,293.56414019425927
0.004151827441441442,290.3535132320486,282.41936489373836,298.28766157035886
0.0043333460990991,293.9826992706537,286.00389246215957,301.96150607914785
0.0045148647567567575,298.27231106309154,293.3224611626049,303.2221609635782
0.004696383414414415,302.7110019535582,299.3075774851307,306.1144264219857
0.004877902072072072,305.26976211229976,301.60030487400155,308.93921935059797
0.00505942072972973,307.29121825253117,304.1916566106476,310.3907798944147
0.005240939387387388,309.4471120068447,306.95041346593683,311.94381054775255
0.005422458045045046,310.9606169502874,308.7194249807448,313.20180891982994
0.005603976702702703,312.0953800016459,310.1822156124466,314.00854439084515
0.005785495360360361,313.2194980999792,311.1538857344795,315.2851104654789
0.005967014018018019,314.16313696384805,312.11638402588267,316.2098899018134
0.006148532675675676,315.0486026209658,312.95595078993637,317.1412544519953
0.006330051333333334,315.76386750727164,313.60877333832724,317.91896167621604
0.0065115699909909916,316.56962277862795,314.43143122431206,318.7078143329438
0.006693088648648649,317.20133630401494,315.111334630546,319.29133797748386
0.006874607306306307,317.81591903404035,315.77304064976204,319.85879741831866
0.007056125963963965,318.3253398792889,316.265991781901,320.3846879766768
0.007237644621621622,318.80967950705286,316.8738010045721,320.7455580095336
0.00741916327927928,319.2074257622597,317.33847505416094,321.0763764703584
0.007600681936936938,319.58614763698716,317.6727724880489,321.4995227859254
0.0077822005945945944,319.99050899965124,318.0569707439473,321.92404725535516
0.007963719252252251,320.3094637687581,318.37251156054396,322.2464159769723
0.00814523790990991,320.5557194116058,318.6015063182736,322.50993250493804
0.008326756567567567,320.8165699368545,318.94448647237454,322.6886534013344
0.008508275225225225,321.05035539361234,319.1355232982325,322.96518748899217
0.008689793882882883,321.32760492505287,319.3220079332061,323.3332019168996
0.00887131254054054,321.5791036622773,319.5778920162618,323.5803153082928
