Engineering Strain,Engineering Stress (MPa),Lower Bound (MPa),Upper Bound (MPa)
-0.000306477,12.388250000000001,12.388250000000001,12.388250000000001
-0.00012620925525525526,1.4542191264415318,-0.7394999583630109,3.6479382112460748
5.405848948948947e-05,1.276504021878608,-0.5979832621772072,3.150991305934423
0.0002343262342342342,1.8679469470687384,0.23274544061001556,3.5031484535274613
0.00041459397897897893,34.31167937639485,19.358332358646383,49.26502639414332
0.0005948617237237237,49.26735783513478,39.78976216545862,58.744953504810944
0.0007751294684684684,59.70522845501208,55.13346941123564,64.27698749878853
0.0009553972132132132,73.40884470076777,66.94007351248294,79.8776158890526
0.001135664957957958,86.40837544430293,78.87552299295166,93.94122789565421
0.0013159327027027026,102.37534361619228,88.01058303588688,116.74010419649768
0.0014962004474474472,118.47014670640174,111.66998902615423,125.27030438664924
0.0016764681921921923,127.61028756467958,123.34438788996333,131.87618723939582
0.0018567359369369369,139.5122918910692,137.51617081176283,141.50841297037556
0.0020370036816816815,154.82874356343004,146.25252344405837,163.4049636828017
0.0022172714264264265,169.52558407694403,158.1557359461077,180.89543220778035
0.002397539171171171,174.7520167034359,165.3740472272771,184.12998617959474
0.002577806915915916,194.68004745000312,189.35690015033734,200.0031947496689
0.0027580746606606604,209.54842899543132,203.0450499950321,216.05180799583056
0.002938342405405405,221.13151137466988,214.7230136121924,227.54000913714736
0.00311861015015015,232.72691343032943,226.70651666686567,238.7473101937932
0.0032988778948948947,241.83625386874328,235.46186902395436,248.2106387135322
0.0034791456396396393,255.61514093153104,248.643261076406,262.58702078665607
0.0036594133843843844,263.65165833844264,256.2754857272405,271.0278309496448
0.003839681129129129,273.7615189682803,268.22124682661166,279.30179110994897
0.004019948873873873,282.90637842959393,279.15652669449065,286.6562301646972
0.004200216618618618,289.9549425390628,286.7214984312821,293.1883866468435
0.004380484363363362,295.3713217531841,293.3147591248759,297.4278843814923
0.004560752108108107,300.42352227805526,298.3081221198696,302.5389224362409
0.0047410198528528525,303.7727751401947,301.6779639190381,305.8675863613513
0.004921287597597597,306.2897966154327,304.3772570802342,308.2023361506312
0.005101555342342342,308.9248536422325,306.765522964561,311.084184319904
0.005281823087087086,310.59924326428995,308.1582395172346,313.0402470113453
0.005462090831831831,311.8674338174943,309.5702997012554,314.1645679337332
0.005642358576576576,313.39646340703234,311.06145431424295,315.73147249982173
0.00582262632132132,314.21454634582176,312.0134674822974,316.4156252093461
0.006002894066066065,315.41504072356906,313.2697508903081,317.56033055683
0.0061831618108108095,316.02883189996066,313.74371679485074,318.3139470050706
0.006363429555555555,316.79692268446956,314.64839882293154,318.9454465460076
0.0065436973003003,317.2901335111641,315.0921422593471,319.48812476298104
0.006723965045045044,317.8920170556984,315.6155585160358,320.168475595361
0.006904232789789789,318.36990835919653,316.129480914176,320.6103358042171
0.0070845005345345335,318.9038373840363,316.6617705161309,321.1459042519417
0.007264768279279278,319.28880509719164,317.1820284084242,321.3955817859591
0.007445036024024023,319.6264984706239,317.5109065374987,321.7420904037491
0.007625303768768768,320.01615885215324,317.8130817550049,322.2192359493016
0.007805571513513513,320.28003398390626,318.1065757902566,322.4534921775559
0.007985839258258258,320.52831212491503,318.3640675611323,322.6925566886978
0.008166107003003003,320.86566652590517,318.68058449772576,323.0507485540846
0.008346374747747748,321.095437819382,318.9182744081698,323.27260123059426
0.008526642492492492,321.3910726417728,319.27736254476156,323.504782738784
0.008706910237237237,321.5856738652738,319.51087102758675,323.66047670296086
0.008887177981981981,321.7259153897168,319.58809055324195,323.8637402261917
0.009067445726726726,321.8952292311839,319.7178559265525,324.07260253581535
0.00924771347147147,322.0461711964591,319.8692769535582,324.22306543936
0.009427981216216215,322.1343044275419,320.02784562102335,324.24076323406047
0.00960824896096096,322.3517389002339,320.24311215324343,324.46036564722436
0.009788516705705706,322.6140000962458,320.47592951100756,324.752070681484
0.009968784450450451,322.7725210044983,320.65940318910873,324.88563881988784
0.010149052195195195,322.9172702338291,320.79584795536124,325.0386925122969
0.01032931993993994,323.0046620872352,320.86280359175623,325.1465205827142
0.010509587684684685,323.0807563400635,320.9427781541064,325.21873452602057
0.01068985542942943,323.2104428717214,321.08306006513254,325.33782567831025
0.010870123174174174,323.373397698359,321.27488101745615,325.4719143792618
0.011050390918918919,323.50992354157296,321.4150253604476,325.6048217226983
0.011230658663663663,323.5908948065894,321.45241219983154,325.72937741334727
0.011410926408408408,323.7044138599273,321.5722035852783,325.83662413457625
0.011591194153153152,323.810234335675,321.8166345060369,325.80383416531305
0.011771461897897897,323.8977490483963,321.99156956644714,325.80392853034544
0.011951729642642642,324.00562298593314,321.996732069526,326.0145139023403
0.012131997387387386,324.14059226298883,322.0028360238871,326.2783485020906
0.012312265132132131,324.2098836444748,321.7818820304461,326.6378852585035
0.012492532876876876,324.34124573132874,321.9343135853835,326.748177877274
0.01267280062162162,324.46640014000536,322.35988198656764,326.5729182934431
0.012853068366366367,324.51121357963024,322.4787176079683,326.5437095512922
0.013033336111111111,324.5754038087199,322.50591786916425,326.64488974827555
0.013213603855855856,324.6296785581118,322.47919034130933,326.7801667749142
0.0133938716006006,324.7155946519977,322.4825601878924,326.94862911610306
0.013574139345345345,324.8296510107337,322.5733441317724,327.085957889695
0.01375440709009009,324.9571642169832,322.7062603832024,327.208068050764
0.013934674834834834,325.1291014006799,322.9546620439836,327.30354075737614
0.014114942579579579,325.2288198862137,323.09495134015367,327.3626884322738
0.014295210324324324,325.2722413473853,323.1567577749822,327.3877249197884
0.014475478069069068,325.34245975396004,323.2175736725329,327.46734583538716
0.014655745813813813,325.34377121834495,323.2064921229142,327.4810503137757
0.014836013558558557,325.4307654546045,323.30230356058973,327.5592273486193
0.015016281303303302,325.59998365873435,323.4562058466202,327.7437614708485
0.015196549048048047,325.7261883701527,323.58442163366675,327.8679551066387
0.015376816792792791,325.824624551021,323.70299865594603,327.9462504460959
0.015557084537537538,325.91698344905416,323.7840113920929,328.0499555060154
0.01573735228228228,326.065068215847,323.940803539349,328.189332892345
0.015917620027027027,326.1392619832547,324.05013066116635,328.22839330534305
0.01609788777177177,326.1923951271627,324.13838161335497,328.2464086409704
0.016278155516516516,326.29337403203795,324.24227634127453,328.34447172280136
0.01645842326126126,326.4121719038293,324.29634628083454,328.52799752682404
0.016638691006006005,326.4990171766564,324.3061193717099,328.69191498160296
0.016818958750750748,326.59091115552485,324.33917457550723,328.84264773554247
0.016999226495495495,326.6435781993025,324.40512454295003,328.882031855655
0.01717949424024024,326.685332475122,324.48324517501476,328.8874197752292
0.017359761984984984,326.7349928051487,324.5926392566115,328.8773463536859
0.01754002972972973,326.7939977769379,324.66347490762627,328.9245206462495
0.017720297474474473,326.87407579328976,324.7489599711672,328.9991916154123
0.01790056521921922,326.98538278327794,324.90007277721014,329.07069278934574
0.018080832963963962,327.1581430738055,325.10552271387303,329.21076343373795
0.01826110070870871,327.2752954395688,325.2054747121273,329.34511616701036
0.01844136845345345,327.3694191301382,325.2529630035505,329.48587525672593
0.018621636198198198,327.4931289746727,325.27171127682374,329.71454667252164
0.01880190394294294,327.60573765226775,325.3118333281066,329.8996419764289
0.018982171687687687,327.7212944543593,325.46688770336266,329.9757012053559
0.01916243943243243,327.8168607348141,325.5971692622094,330.0365522074188
0.019342707177177176,327.83694348892584,325.6724333054689,330.00145367238275
0.01952297492192192,327.84965363499,325.7106368154291,329.98867045455086
0.019703242666666666,327.87171205760006,325.6861577952254,330.0572663199747
0.019883510411411412,327.9693853662035,325.78253588880466,330.1562348436023
0.020063778156156155,328.1592009721385,325.97807099353975,330.3403309507372
0.0202440459009009,328.2918823354255,326.12578051459116,330.45798415625984
0.020424313645645644,328.41347683255316,326.26057482111554,330.5663788439908
0.02060458139039039,328.52546922017007,326.3797019741429,330.67123646619723
0.020784849135135133,328.6429556174027,326.4958626362065,330.79004859859896
0.02096511687987988,328.69191503490924,326.5253909115876,330.8584391582309
0.021145384624624623,328.7239193239931,326.5551757902016,330.89266285778456
0.02132565236936937,328.90508528078647,326.72276480388683,331.0874057576861
0.021505920114114112,329.0133921379519,326.80597797444676,331.220806301457
0.021686187858858858,328.98853009410163,326.8122061803323,331.164854007871
0.0218664556036036,329.0414478281622,326.8689018690223,331.21399378730206
0.022046723348348347,329.0893647104589,326.89800392965583,331.28072549126193
0.02222699109309309,329.1556102226479,326.97243271878983,331.338787726506
0.022407258837837837,329.3644389190141,327.18631037729324,331.542567460735
0.02258752658258258,329.56377802881497,327.39198696149094,331.735569096139
0.022767794327327326,329.7053689030638,327.5527033222198,331.8580344839078
0.022948062072072072,329.7333575499603,327.60113729335245,331.8655778065682
0.023128329816816815,329.76318138385585,327.62506827857754,331.90129448913416
0.02330859756156156,329.80032892040504,327.62243660646965,331.9782212343404
0.023488865306306304,329.87731739412004,327.6727292253705,332.08190556286957
