Time;Image index (Image index);Distance L(t) (Extensometer 1);Change in distance (Extensometer 1);Strain - RC (Extensometer 1);Distance x L(t) (Extensometer 1);Distance y L(t) (Extensometer 1);Distance z L(t) (Extensometer 1);Change in distance x (Extensometer 1);Change in distance y (Extensometer 1);Change in distance z (Extensometer 1);X-displacement (Strain Gauge 1);Y-displacement (Strain Gauge 1);Z-displacement (Strain Gauge 1);Displacement (Strain Gauge 1);Height (Strain Gauge 1);Exx - RC (Strain Gauge 1);Exy - RC (Strain Gauge 1);Eyy - RC (Strain Gauge 1);Max. principal strain - RC (Strain Gauge 1);Min. principal strain - RC (Strain Gauge 1);Max. shear strain - RC (Strain Gauge 1);Poisson ratio -Exx/Eyy (Strain Gauge 1);Poisson ratio -Eyy/Exx (Strain Gauge 1);Von Mises - RC (Strain Gauge 1);Tresca - RC (Strain Gauge 1);Poisson ratio -strain max/min (Strain Gauge 1);Poisson ratio -strain min/max (Strain Gauge 1);Max. strain angle (Strain Gauge 1);Max. shear angle (Strain Gauge 1);Vorticity-z (Strain Gauge 1);du/dx (Strain Gauge 1);du/dy (Strain Gauge 1);dv/dx (Strain Gauge 1);dv/dy (Strain Gauge 1);dw/dx (Strain Gauge 1);dw/dy (Strain Gauge 1);Ezz plane stress state (Strain Gauge 1);Stereo reconstruction error (Strain Gauge 1);X-displacement (Strain Gauge 2);Y-displacement (Strain Gauge 2);Z-displacement (Strain Gauge 2);Displacement (Strain Gauge 2);Height (Strain Gauge 2);Exx - RC (Strain Gauge 2);Exy - RC (Strain Gauge 2);Eyy - RC (Strain Gauge 2);Max. principal strain - RC (Strain Gauge 2);Min. principal strain - RC (Strain Gauge 2);Max. shear strain - RC (Strain Gauge 2);Poisson ratio -Exx/Eyy (Strain Gauge 2);Poisson ratio -Eyy/Exx (Strain Gauge 2);Von Mises - RC (Strain Gauge 2);Tresca - RC (Strain Gauge 2);Poisson ratio -strain max/min (Strain Gauge 2);Poisson ratio -strain min/max (Strain Gauge 2);Max. strain angle (Strain Gauge 2);Max. shear angle (Strain Gauge 2);Vorticity-z (Strain Gauge 2);du/dx (Strain Gauge 2);du/dy (Strain Gauge 2);dv/dx (Strain Gauge 2);dv/dy (Strain Gauge 2);dw/dx (Strain Gauge 2);dw/dy (Strain Gauge 2);Ezz plane stress state (Strain Gauge 2);Stereo reconstruction error (Strain Gauge 2);Load ADC 1 channel 1;Position ADC 1 channel 2
ms;;mm;mm;S;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;kN;mm
0.02515;1;25.7459;0;0;-2.66921;25.5918;-0.886487;0;0;0;0;0;0;0;-4.98605;-2.22045e-16;7.63278e-17;0;2.37066e-17;-2.45751e-16;1.34729e-16;;;1.72281e-16;1.79639e-16;;;0;45;0;-2.22045e-16;8.32667e-17;6.93889e-17;0;0;0;0;0;0;0;0;0;-5.86888;0;6.245e-17;0;6.245e-17;-6.245e-17;6.245e-17;;;7.21111e-17;8.32667e-17;;;0;45;0;0;5.55112e-17;6.93889e-17;0;0;0;0;0;-0.0261098;-1.00664
1000.03;2;25.7456;-0.000263234;-1.02243e-05;-2.67149;25.5914;-0.883978;-0.00227429;-0.000415346;0.00250888;0.000274752;-0.00119865;-0.00379753;0.00399168;-4.98984;0.000135603;-0.000126123;0.000603584;0.00063541;0.000103777;0.000265817;-0.224664;-4.4511;0.000393602;0.000354422;-6.12285;-0.163323;122.236;167.236;0.00112769;0.000135533;0.000144036;-0.000396156;0.000603581;-0.00426625;0.000223687;0;0.0116413;3.99483e-05;-0.000750715;-0.00243252;0.00254604;-5.87131;-4.80984e-05;0.000149886;7.96947e-07;0.000128216;-0.000175517;0.000151867;;;0.000176068;0.000202489;0.730503;1.36892;121.735;166.735;-0.0016829;-4.8096e-05;0.00016694;0.000132833;7.94246e-07;0.00291136;0.000994468;0;0.0210456;-0.0259905;-1.00649
2000.03;3;25.7442;-0.00168721;-6.55332e-05;-2.67317;25.5896;-0.888545;-0.00395882;-0.00218199;-0.00205803;0.000407586;-0.0122683;-0.00822022;0.0147733;-4.99427;0.000145194;-0.000161701;0.00052535;0.000584825;8.57191e-05;0.000249553;-0.276376;-3.61826;0.000364684;0.000332737;-6.82258;-0.146572;134.782;179.782;0.000108831;0.000145056;0.00022668;-0.000549934;0.000525337;-0.00225326;-0.00176476;0;0.0170433;-0.000451439;-0.0119177;-0.00738306;0.0140266;-5.87626;4.84741e-05;0.000101751;8.35965e-05;0.00016929;-3.72196e-05;0.000103255;-0.579859;-1.72456;0.000127097;0.000137673;4.54841;0.219857;16.2929;61.2929;-0.00137856;4.84458e-05;-5.54335e-05;0.000258929;8.36001e-05;0.00232014;0.00117894;0;0.0207642;-0.0258572;-0.992187
3000.03;4;25.7423;-0.00355149;-0.000137944;-2.67493;25.5873;-0.894104;-0.00571256;-0.00443444;-0.00761666;-0.000159131;-0.0223105;-0.00950806;0.0242526;-4.99555;0.00012409;0.000155196;0.00019433;0.00031833;8.98778e-08;0.00015912;-0.638551;-1.56605;0.00021219;0.00021216;;;78.428;123.428;2.75456e-05;0.0001241;0.000375252;-6.48443e-05;0.000194272;-0.00201862;-0.00106583;0;0.0134169;-0.000940996;-0.0218405;-0.00941374;0.0238015;-5.8783;-0.000271851;0.000210302;3.5661e-05;0.000142419;-0.00037861;0.000260515;7.6232;0.131178;0.000310948;0.000347353;0.376165;2.65841;116.428;161.428;-0.00160599;-0.000271846;0.000604047;-0.000183322;3.55007e-05;0.00198262;0.00103058;0;0.0212983;-0.0255792;-0.984551
4000.03;5;25.7405;-0.00537312;-0.000208698;-2.67651;25.5849;-0.906038;-0.00729529;-0.00685248;-0.0195513;-0.000743421;-0.0319082;-0.00926536;0.0332345;-4.99531;0.000266186;0.000113111;-2.80423e-05;0.000304643;-6.64992e-05;0.000185571;9.49233;0.105348;0.00022851;0.000247428;4.58116;0.218285;45.2837;90.2837;0.000418128;0.000266192;0.000271206;-4.5031e-05;-2.80726e-05;-0.00169939;-0.00224589;0;0.0130897;-0.0017132;-0.031097;-0.0116973;0.0332683;-5.88058;-0.000188809;0.000141147;-2.24567e-05;5.81981e-05;-0.000269464;0.000163831;-8.40769;-0.118939;0.000201858;0.000218442;0.215977;4.63012;115.472;160.472;-0.00178083;-0.000188809;0.000424572;-0.000142231;-2.25369e-05;0.00222052;0.00193741;0;0.0214593;-0.0257494;-0.977128
5000.03;6;25.7438;-0.00210182;-8.16371e-05;-2.67633;25.5886;-0.895601;-0.00711545;-0.00317502;-0.00911356;-0.000975958;-0.0403806;-0.0128217;0.0423785;-4.99887;0.000345632;0.000215944;-0.000187826;0.000422089;-0.000264283;0.000343186;1.84017;0.543428;0.000399753;0.000457581;1.59711;0.626131;49.0604;94.0604;0.000578992;0.000345652;0.000347913;8.39045e-05;-0.000187864;-0.00210492;-0.000948256;0;0.0132576;-0.00195229;-0.0399612;-0.0161409;0.0431421;-5.88502;-0.000275099;0.000122221;-8.15748e-06;3.93481e-05;-0.000322605;0.000180976;;;0.000229314;0.000241302;0.12197;8.19874;123.117;168.117;-0.00168499;-0.000275135;0.000540041;-0.000295487;-8.29584e-06;0.00360767;-0.000837636;0;0.0216652;-0.025556;-0.969599
6000.03;7;25.7428;-0.00311118;-0.000120842;-2.67553;25.5876;-0.897408;-0.00631515;-0.00417016;-0.0109215;-0.00080716;-0.0432148;-0.0138722;0.0453939;-4.99992;0.000394661;0.000294755;0.000235981;0.000620568;1.00744e-05;0.000305247;-1.67242;-0.597935;0.000410395;0.000406995;-61.5988;-0.0162341;51.8286;96.8286;0.000424847;0.000394697;0.000467599;0.000121885;0.000235915;-0.00170402;-0.000821504;0;0.0138919;-0.00194194;-0.0420158;-0.0176919;0.04563;-5.88657;-0.000494736;0.000108623;-9.86415e-05;-7.0809e-05;-0.000522569;0.00022588;-5.0155;-0.199382;0.000327339;0.000301173;-0.135502;-7.37998;142.114;7.11357;-0.00168303;-0.000494753;0.000427025;-0.000209653;-9.87267e-05;0.00290887;-0.00070267;0;0.0195543;-0.0254186;-0.963325
7000.03;8;25.7448;-0.0010568;-4.10473e-05;-2.67273;25.59;-0.895484;-0.00351257;-0.00174305;-0.00899752;-0.00103985;-0.0507997;-0.0183469;0.0540213;-5.00439;0.000297365;3.40746e-05;2.99312e-05;0.000301638;2.56579e-05;0.00013799;-9.93497;-0.100655;0.000193109;0.000183987;-11.7562;-0.0850617;12.0715;57.0715;0.000163346;0.000297366;6.248e-05;5.66165e-06;2.99298e-05;-0.00166264;0.00156278;0;0.0125454;-0.00212652;-0.0502716;-0.0219127;0.054881;-5.89079;-0.000257258;9.50818e-05;-7.38346e-06;2.4682e-05;-0.000289324;0.000157003;;;0.000201614;0.000209337;0.0853093;11.7221;124.723;169.723;-0.00149138;-0.000257313;0.000535316;-0.000345042;-7.52222e-06;0.00196307;0.000820892;0;0.0196866;-0.0254727;-0.957429
8000.03;9;25.7453;-0.000538853;-2.09297e-05;-2.6726;25.5907;-0.890718;-0.00338232;-0.00104201;-0.00423076;-0.002042;-0.0607466;-0.0252581;0.0658202;-5.0113;0.000332115;0.000147959;0.000453892;0.000553001;0.000233006;0.000159997;-0.731704;-1.36667;0.000320589;0.00021333;-2.37334;-0.421348;69.7043;114.704;0.000403174;0.000332124;0.000348653;-5.27116e-05;0.000453842;-0.00152808;-0.000148515;0;0.0127448;-0.00358079;-0.0597586;-0.0311846;0.067501;-5.90007;-0.000117351;4.7517e-05;8.22738e-05;9.30073e-05;-0.000128084;0.000110546;1.42635;0.701093;0.000128182;0.000147394;0.726141;1.37714;126.447;171.447;-0.0020201;-0.000117352;0.000166951;-7.18928e-05;8.2261e-05;0.00346707;0.00327604;0;0.019673;-0.0255633;-0.94822
