Time;Image index (Image index);Distance L(t) (Extensometer 1);Change in distance (Extensometer 1);Strain - RC (Extensometer 1);Distance x L(t) (Extensometer 1);Distance y L(t) (Extensometer 1);Distance z L(t) (Extensometer 1);Change in distance x (Extensometer 1);Change in distance y (Extensometer 1);Change in distance z (Extensometer 1);X-displacement (Strain Gauge 1);Y-displacement (Strain Gauge 1);Z-displacement (Strain Gauge 1);Displacement (Strain Gauge 1);Height (Strain Gauge 1);Exx - RC (Strain Gauge 1);Exy - RC (Strain Gauge 1);Eyy - RC (Strain Gauge 1);Max. principal strain - RC (Strain Gauge 1);Min. principal strain - RC (Strain Gauge 1);Max. shear strain - RC (Strain Gauge 1);Poisson ratio -Exx/Eyy (Strain Gauge 1);Poisson ratio -Eyy/Exx (Strain Gauge 1);Von Mises - RC (Strain Gauge 1);Tresca - RC (Strain Gauge 1);Poisson ratio -strain max/min (Strain Gauge 1);Poisson ratio -strain min/max (Strain Gauge 1);Max. strain angle (Strain Gauge 1);Max. shear angle (Strain Gauge 1);Vorticity-z (Strain Gauge 1);du/dx (Strain Gauge 1);du/dy (Strain Gauge 1);dv/dx (Strain Gauge 1);dv/dy (Strain Gauge 1);dw/dx (Strain Gauge 1);dw/dy (Strain Gauge 1);Ezz plane stress state (Strain Gauge 1);Stereo reconstruction error (Strain Gauge 1);X-displacement (Strain Gauge 2);Y-displacement (Strain Gauge 2);Z-displacement (Strain Gauge 2);Displacement (Strain Gauge 2);Height (Strain Gauge 2);Exx - RC (Strain Gauge 2);Exy - RC (Strain Gauge 2);Eyy - RC (Strain Gauge 2);Max. principal strain - RC (Strain Gauge 2);Min. principal strain - RC (Strain Gauge 2);Max. shear strain - RC (Strain Gauge 2);Poisson ratio -Exx/Eyy (Strain Gauge 2);Poisson ratio -Eyy/Exx (Strain Gauge 2);Von Mises - RC (Strain Gauge 2);Tresca - RC (Strain Gauge 2);Poisson ratio -strain max/min (Strain Gauge 2);Poisson ratio -strain min/max (Strain Gauge 2);Max. strain angle (Strain Gauge 2);Max. shear angle (Strain Gauge 2);Vorticity-z (Strain Gauge 2);du/dx (Strain Gauge 2);du/dy (Strain Gauge 2);dv/dx (Strain Gauge 2);dv/dy (Strain Gauge 2);dw/dx (Strain Gauge 2);dw/dy (Strain Gauge 2);Ezz plane stress state (Strain Gauge 2);Stereo reconstruction error (Strain Gauge 2);Load ADC 1 channel 1;Position ADC 1 channel 2
ms;;mm;mm;S;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;kN;mm
9000.03;10;24.1871;-0.00702384;-0.000290312;-2.17;24.0887;-0.199003;0.00240017;-0.00716777;-0.0452986;-0.00925646;-0.146716;0.0228514;0.148773;-5.38467;0.000275717;0.000367975;0.000830304;0.00101377;9.22526e-05;0.000460757;-0.332067;-3.01144;0.000647289;0.000614343;-10.989;-0.0909998;46.9411;91.9411;0.000432084;0.000275519;6.87862e-06;0.000728872;0.000830371;-0.00117605;-0.00477025;0;0.0198459;-0.00986621;-0.142726;-0.0113382;0.143516;-5.58981;0.000244439;2.09472e-05;-0.000488644;0.000245037;-0.000489242;0.000367139;0.50024;1.99904;0.00043168;0.000489519;0.500851;1.9966;52.9216;97.9216;0.00111547;0.000244301;0.0005675;-0.000526007;-0.000488804;-0.00257248;0.000755265;0;0.0210026;-0.025181;-0.947715
10000;11;24.1876;-0.0064812;-0.000267883;-2.17112;24.0892;-0.199642;0.00127629;-0.00672947;-0.0459377;-0.0104539;-0.155278;0.0236791;0.15742;-5.38384;0.000390182;0.000229303;0.000135131;0.000525035;2.77509e-07;0.000262379;-2.88744;-0.346328;0.000349931;0.000349838;;;179.152;44.1518;0.00144767;0.000389937;-0.000278078;0.000736813;0.000135118;-0.00267892;-0.00269588;0;0.0202648;-0.0112927;-0.151343;-0.0119283;0.152232;-5.5904;0.000268072;-0.000107374;-0.000604929;0.000281085;-0.000617941;0.000449513;0.443147;2.25659;0.000531059;0.00059935;0.454873;2.19842;49.7319;94.7319;0.00129567;0.000267954;0.000283608;-0.000498697;-0.000604963;-0.000834971;0.00296218;0;0.0202582;-0.0251618;-0.940242
11000;12;24.1881;-0.00598216;-0.000247257;-2.17136;24.0896;-0.206576;0.00103844;-0.0063083;-0.0528716;-0.0113284;-0.162597;0.0237573;0.164713;-5.38376;0.000525488;0.000515364;0.000641978;0.00110238;6.50874e-05;0.000518645;-0.818545;-1.22168;0.000714212;0.000691527;-16.9369;-0.0590427;30.8449;75.8449;0.00117082;0.000525197;0.000109972;0.00092071;0.000642104;-0.0020063;-0.0038078;0;0.020081;-0.0120795;-0.159968;-0.0127295;0.160927;-5.5912;0.000188414;1.44071e-06;-0.000542606;0.000188417;-0.000542609;0.000365513;0.347238;2.87987;0.00043826;0.000487351;0.347242;2.87984;57.9056;102.906;0.00100455;0.000188346;0.000370967;-0.000368356;-0.000542675;-0.00133762;-0.000436325;0;0.0216348;-0.0252672;-0.935786
12000;13;24.1925;-0.00163443;-6.75548e-05;-2.17144;24.094;-0.198738;0.000957173;-0.00188418;-0.0450343;-0.0108467;-0.175636;0.0258678;0.177862;-5.38165;0.000390267;0.000206545;0.000591993;0.000720987;0.000261273;0.000229857;-0.659242;-1.51689;0.000421485;0.000306476;-2.75952;-0.362382;44.309;89.309;0.00129165;0.000390181;-4.83065e-05;0.000461345;0.000592013;-0.00282849;-0.00307665;0;0.0244092;-0.0117938;-0.176477;-0.0115024;0.177244;-5.58998;-8.17083e-05;-0.000109865;-0.000406311;-4.80198e-05;-0.000439999;0.00019599;-0.201098;-4.9727;0.000278709;0.00026132;-0.109136;-9.16287;44.4317;89.4317;0.000210992;-8.18204e-05;0.000266216;-0.000486068;-0.00040634;-0.0020363;0.00138821;0;0.0331739;-0.0251822;-0.925859
13000;14;24.1913;-0.00281582;-0.000116385;-2.17088;24.0928;-0.204366;0.00151666;-0.00306707;-0.0506623;-0.0119437;-0.181986;0.0173563;0.183201;-5.39016;0.000451398;0.000360972;0.0009634;0.00114993;0.000264863;0.000442535;-0.468547;-2.13426;0.000695358;0.000590047;-4.34161;-0.230329;53.5687;98.5687;0.000164929;0.000451287;0.000128065;0.000593761;0.000963457;-1.33118e-05;-0.00424562;0;0.0242643;-0.0129975;-0.182494;-0.0229818;0.184394;-5.60146;0.000216605;-0.000191913;-0.0002473;0.000285705;-0.0003164;0.000301053;0.875879;1.14171;0.000347776;0.000401403;0.902986;1.10744;37.1332;82.1332;0.00071674;0.000216598;-0.000157241;-0.000226602;-0.000247294;-0.0041923;0.000829374;0;0.0210565;-0.0248711;-0.92208
14000;15;24.1887;-0.00538143;-0.000222427;-2.17006;24.0903;-0.202776;0.00233892;-0.00555564;-0.0490721;-0.0141046;-0.194636;0.0186794;0.196038;-5.38884;0.000215468;0.000187797;0.00101503;0.00105694;0.000173556;0.000441692;-0.212278;-4.7108;0.000654491;0.000588923;-6.08991;-0.164206;61.043;106.043;9.9199e-05;0.000215315;-0.000208427;0.000583705;0.00101502;0.000305721;-0.00545324;0;0.0287443;-0.0148876;-0.192673;-0.0223297;0.194533;-5.6008;0.000319884;-0.000104217;-0.000477939;0.000333273;-0.000491328;0.0004123;0.669299;1.4941;0.00047899;0.000549734;0.678311;1.47425;46.1213;91.1213;0.000925139;0.000319823;0.000155916;-0.000364557;-0.000477946;-0.00218756;0.00207079;0;0.0210718;-0.024885;-0.91763
15000;16;24.187;-0.00713759;-0.000295014;-2.1741;24.0881;-0.215635;-0.00169876;-0.00779474;-0.0619312;-0.0189869;-0.217063;0.0236015;0.219167;-5.38392;0.00030559;0.000500912;0.00045507;0.000886787;-0.000126127;0.000506457;-0.671522;-1.48916;0.000637407;0.000675276;7.03089;0.14223;29.2956;74.2956;0.00146731;0.00030538;0.000182775;0.000819002;0.000455179;-0.00235381;-0.00402539;0;0.0234396;-0.0233737;-0.212514;-0.0249277;0.215244;-5.6034;0.000211773;6.49354e-05;-0.00058777;0.000217012;-0.000593009;0.000405011;0.360299;2.77547;0.000484169;0.000540014;0.365951;2.7326;57.9834;102.983;0.000590302;0.000211619;0.000688937;-0.000559566;-0.000588005;-0.000529393;0.00159691;0;0.022999;-0.0185205;-0.909899
16000;17;24.1941;2.66923e-05;1.10326e-06;-2.18436;24.0945;-0.197307;-0.0119623;-0.00137227;-0.0436034;-0.04384;-0.219944;0.0200594;0.225166;-5.38746;0.000175367;-0.000326058;-0.000418345;0.000319462;-0.00056244;0.000440951;0.419193;2.38554;0.000515568;0.000587934;0.567993;1.76059;31.327;76.327;2.47833e-05;0.000175207;1.41908e-06;-0.00065373;-0.000418292;-0.00119239;-0.00155359;0;0.0216485;-0.0572234;-0.217716;-0.027676;0.226805;-5.60615;0.00025288;-0.000100375;-0.000393988;0.000268097;-0.000409205;0.000338651;0.641847;1.558;0.000393859;0.000451535;0.655166;1.52633;38.7008;83.7008;-0.000301256;0.00025242;0.000763448;-0.000964758;-0.000394274;-0.00133048;-0.00112144;0;0.0323072;-0.0157931;-0.902785
17000;18;24.1954;0.00126049;5.20988e-05;-2.18415;24.0958;-0.195316;-0.0117504;-9.79549e-05;-0.0416121;-0.0452089;-0.219773;0.0155018;0.224909;-5.39202;0.000342891;0.000113904;-5.94247e-05;0.000372901;-8.94348e-05;0.000231168;5.77017;0.173305;0.00028316;0.000308224;4.16953;0.239835;45.309;90.309;-4.65344e-05;0.000342887;0.000370673;-0.000142968;-5.94869e-05;-0.000918475;-0.00112792;0;0.0194071;-0.058254;-0.218738;-0.0311093;0.22849;-5.60958;0.00014861;-9.41344e-05;-0.000531105;0.000161405;-0.000543901;0.000352653;0.279812;3.57383;0.000426702;0.000470204;0.296755;3.36978;43.5557;88.5557;-0.000977821;0.000148164;0.000759847;-0.000948697;-0.000531389;-0.000587421;-0.000155355;0;0.028099;-0.017694;-0.896951
18000;19;24.1943;0.000191048;7.89648e-06;-2.18349;24.0947;-0.20063;-0.0110892;-0.00115555;-0.0469264;-0.0457376;-0.220669;0.0176698;0.226051;-5.38985;0.000358352;9.22286e-05;0.000126785;0.000390595;9.45414e-05;0.000148027;-2.82646;-0.353799;0.000235302;0.000197369;-4.13147;-0.242044;40.638;85.638;0.000577575;0.000358348;0.000316402;-0.000131997;0.000126739;-0.00351466;-0.00247656;0;0.0219779;-0.0585555;-0.219689;-0.0295134;0.229266;-5.60799;0.000221795;-9.4096e-05;-0.000492836;0.000233977;-0.000505018;0.000369497;0.450038;2.22204;0.00043612;0.000492663;0.463304;2.15841;43.2294;88.2294;-0.000669992;0.000221498;0.000588055;-0.000776735;-0.000493004;-0.000599897;0.000333843;0;0.0242975;-0.018067;-0.890039
