Time;Image index (Image index);Distance L(t) (Extensometer 1);Change in distance (Extensometer 1);Strain - RC (Extensometer 1);Distance x L(t) (Extensometer 1);Distance y L(t) (Extensometer 1);Distance z L(t) (Extensometer 1);Change in distance x (Extensometer 1);Change in distance y (Extensometer 1);Change in distance z (Extensometer 1);X-displacement (Strain Gauge 1);Y-displacement (Strain Gauge 1);Z-displacement (Strain Gauge 1);Displacement (Strain Gauge 1);Height (Strain Gauge 1);Exx - RC (Strain Gauge 1);Exy - RC (Strain Gauge 1);Eyy - RC (Strain Gauge 1);Max. principal strain - RC (Strain Gauge 1);Min. principal strain - RC (Strain Gauge 1);Max. shear strain - RC (Strain Gauge 1);Poisson ratio -Exx/Eyy (Strain Gauge 1);Poisson ratio -Eyy/Exx (Strain Gauge 1);Von Mises - RC (Strain Gauge 1);Tresca - RC (Strain Gauge 1);Poisson ratio -strain max/min (Strain Gauge 1);Poisson ratio -strain min/max (Strain Gauge 1);Max. strain angle (Strain Gauge 1);Max. shear angle (Strain Gauge 1);Vorticity-z (Strain Gauge 1);du/dx (Strain Gauge 1);du/dy (Strain Gauge 1);dv/dx (Strain Gauge 1);dv/dy (Strain Gauge 1);dw/dx (Strain Gauge 1);dw/dy (Strain Gauge 1);Ezz plane stress state (Strain Gauge 1);Stereo reconstruction error (Strain Gauge 1);X-displacement (Strain Gauge 2);Y-displacement (Strain Gauge 2);Z-displacement (Strain Gauge 2);Displacement (Strain Gauge 2);Height (Strain Gauge 2);Exx - RC (Strain Gauge 2);Exy - RC (Strain Gauge 2);Eyy - RC (Strain Gauge 2);Max. principal strain - RC (Strain Gauge 2);Min. principal strain - RC (Strain Gauge 2);Max. shear strain - RC (Strain Gauge 2);Poisson ratio -Exx/Eyy (Strain Gauge 2);Poisson ratio -Eyy/Exx (Strain Gauge 2);Von Mises - RC (Strain Gauge 2);Tresca - RC (Strain Gauge 2);Poisson ratio -strain max/min (Strain Gauge 2);Poisson ratio -strain min/max (Strain Gauge 2);Max. strain angle (Strain Gauge 2);Max. shear angle (Strain Gauge 2);Vorticity-z (Strain Gauge 2);du/dx (Strain Gauge 2);du/dy (Strain Gauge 2);dv/dx (Strain Gauge 2);dv/dy (Strain Gauge 2);dw/dx (Strain Gauge 2);dw/dy (Strain Gauge 2);Ezz plane stress state (Strain Gauge 2);Stereo reconstruction error (Strain Gauge 2);Load ADC 1 channel 1;Position ADC 1 channel 2
ms;;mm;mm;S;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;kN;mm
0.02515;1;25.7531;0;0;-2.28919;25.6499;-0.245109;0;0;0;0;0;0;0;-5.9109;-1.11022e-16;-1.38778e-17;-3.33067e-16;-1.10158e-16;-3.33931e-16;1.11886e-16;;;1.9648e-16;1.49182e-16;;;0;45;0;-1.11022e-16;-2.77556e-17;-5.24253e-30;-3.33067e-16;0;0;0;0;0;0;0;0;-6.12339;-1.11022e-16;-4.16334e-17;-3.33067e-16;-1.03473e-16;-3.40616e-16;1.18572e-16;;;2.0164e-16;1.58096e-16;;;0;45;0;-1.11022e-16;-5.55112e-17;-2.77556e-17;-3.33067e-16;0;0;0;0;-0.0144813;0.213757
1000.03;2;25.7596;0.00652556;0.00025339;-2.29256;25.6563;-0.236637;-0.00336936;0.00633047;0.00847125;-0.000947202;-0.00321364;-0.00280858;0.00437181;-5.9137;-0.000246762;-0.000200836;0.000608734;0.000653535;-0.000291564;0.00047255;0.405369;2.46689;0.000558834;0.000630066;2.24148;0.446133;112.612;157.612;-0.000681257;-0.000246777;-0.000134661;-0.000266954;0.000608745;0.00262578;-0.00465015;0;0.0125414;-0.00111776;-0.00316006;-0.00724736;0.00798496;-6.13355;0.000429173;0.000351154;-0.000189474;0.000587813;-0.000348115;0.000467964;2.26507;0.441487;0.000546234;0.000623952;1.68856;0.59222;167.097;32.0965;-0.0040348;0.000428929;-7.92439e-05;0.000781819;-0.000189416;0.00287696;-0.00223281;0;0.0332734;-0.0143137;0.22111
2000.03;3;25.7605;0.00745949;0.000289655;-2.29227;25.6572;-0.241626;-0.00308455;0.00724711;0.00348302;0.000359511;-0.00571129;-0.00429183;0.00715318;-5.91519;-0.000165201;0.000155508;0.000795149;0.000819702;-0.000189754;0.000504728;0.207761;4.81323;0.000619484;0.000672971;4.31981;0.231492;78.2412;123.241;-0.000334963;-0.000165206;0.000124751;0.000186235;0.000795153;0.00313507;-0.00513492;0;0.0132821;0.000302201;-0.00561574;-0.0110761;0.0124221;-6.13737;0.000630623;0.000304751;-6.56897e-05;0.000745161;-0.000180228;0.000462695;9.60004;0.104166;0.000566489;0.000616926;4.13455;0.241864;172.457;37.457;-0.00162011;0.000630405;-0.000118616;0.000728413;-6.56503e-05;-0.00499628;0.00184417;0;0.0350137;-0.0140697;0.22875
3000.03;4;25.7578;0.0047401;0.00018406;-2.29096;25.6545;-0.252321;-0.00177588;0.00453071;-0.0072127;-0.000882191;-0.0082017;-0.00685167;0.0107234;-5.91775;-0.000162665;-0.000223916;0.000678942;0.000734809;-0.000218531;0.00047667;0.239586;4.17387;0.000576687;0.00063556;3.36249;0.297399;96.4532;141.453;-0.000477511;-0.000162652;-0.000293672;-0.000154219;0.000678924;0.00322956;-0.00703667;0;0.013883;-0.000551412;-0.00748123;-0.0183275;0.0198032;-6.14172;0.000601333;0.000494729;-0.000277087;0.000823683;-0.000499437;0.00066156;2.1702;0.460788;0.000771512;0.00088208;1.64922;0.606346;172.315;37.3146;-0.00352668;0.000601116;0.000165627;0.000824119;-0.000276978;-0.00153988;0.000759286;0;0.0372808;-0.013829;0.235826
4000.03;5;25.7612;0.00810667;0.000314785;-2.29331;25.6577;-0.248116;-0.00411978;0.00774244;-0.00300747;-0.00169972;-0.0101774;-0.0113284;0.0153232;-5.92222;-0.000295842;7.30227e-05;0.000742139;0.000747251;-0.000300954;0.000524103;0.398635;2.50856;0.000623198;0.000698804;2.48294;0.402749;81.5364;126.536;0.000312345;-0.000295845;3.79802e-05;0.000108029;0.000742141;0.000962267;-0.00557378;0;0.0186256;-0.00135388;-0.0100975;-0.0241931;0.0262507;-6.14758;0.000916199;0.000585057;-0.000506703;0.00112586;-0.000716368;0.000921116;1.80816;0.55305;0.00107234;0.00122815;1.57163;0.636283;48.7579;93.7579;-0.00412977;0.000916337;0.000913712;0.000255934;-0.00050695;-0.00353025;0.00138767;0;0.0417298;-0.0136235;0.243263
5000.03;6;25.7619;0.00880448;0.000341881;-2.29435;25.6583;-0.247215;-0.0051641;0.00835841;-0.0021065;-0.0019661;-0.012808;-0.0116699;0.0174384;-5.92257;-0.000339542;7.03841e-05;0.000509022;0.000514821;-0.00034534;0.00043008;0.667047;1.49915;0.000499817;0.000573441;1.49076;0.670797;90.1568;135.157;0.00124808;-0.000339541;8.49262e-05;5.58544e-05;0.000509021;-0.00018538;-0.00453072;0;0.016211;-0.00193924;-0.0117081;-0.0275663;0.0300123;-6.15095;0.000611909;0.000758743;-0.000586367;0.000979548;-0.000954005;0.000966777;1.04356;0.958257;0.00111637;0.00128904;1.02677;0.973924;28.3459;73.3459;-0.00294141;0.00061191;0.000759857;0.000757627;-0.000586368;-0.00660695;-0.000850998;0;0.0423307;-0.0130957;0.249066
6000.03;7;25.7599;0.00683826;0.000265532;-2.2943;25.6562;-0.258094;-0.00511521;0.00628149;-0.0129855;-0.00222728;-0.013643;-0.0155227;0.0207857;-5.92642;-0.00036893;0.000183865;0.00092595;0.000951552;-0.000394531;0.000673041;0.398434;2.50983;0.000799033;0.000897388;2.41185;0.414619;71.952;116.952;0.000342816;-0.000368954;8.10646e-05;0.000286533;0.000925964;0.00162836;-0.00480176;0;0.019588;-0.00208048;-0.0131138;-0.0324931;0.0351013;-6.15588;0.0011231;0.000743349;-0.000659301;0.00139242;-0.000928619;0.00116052;1.70348;0.587035;0.00134894;0.00154736;1.49945;0.666909;45.8227;90.8227;-0.00515856;0.00112328;0.00103805;0.000448119;-0.000659564;0.000588076;0.00227793;0;0.0434149;-0.0128964;0.252579
7000.03;8;25.758;0.00497362;0.000193128;-2.29365;25.6543;-0.264172;-0.00446635;0.00440547;-0.0190639;-0.00215313;-0.0158286;-0.0158299;0.0224893;-5.92673;-0.000382382;3.02454e-05;0.00065614;0.00065702;-0.000383263;0.000520141;0.582776;1.71593;0.0006075;0.000693521;1.71428;0.583335;60.2455;105.246;0.000987316;-0.000382409;-0.000174197;0.000234476;0.000656125;0.000283732;-0.00655937;0;0.0198691;-0.00218544;-0.0140247;-0.0388765;0.0413866;-6.16226;0.00086733;0.00108359;-0.000425138;0.00148275;-0.00104056;0.00126166;2.04011;0.490169;0.00146428;0.00168221;1.42495;0.701777;33.5665;78.5665;-0.00299569;0.000867363;0.00111443;0.00105271;-0.000425172;-0.00698637;-0.000125236;0;0.0438549;-0.0127679;0.258731
8000.03;9;25.7584;0.00530027;0.000205811;-2.2947;25.6545;-0.267578;-0.00551407;0.00460445;-0.0224694;-0.00242086;-0.0180758;-0.0190297;0.0263577;-5.92993;-0.000703147;-5.06224e-05;0.000481798;0.000483957;-0.000705306;0.000594631;1.45942;0.685202;0.000690574;0.000792842;0.686166;1.45737;28.7517;73.7517;0.000924993;-0.00070315;-0.000195539;9.41221e-05;0.00048178;-3.24951e-05;-0.0069686;0;0.0220218;-0.0023645;-0.0166763;-0.0444451;0.0475296;-6.16783;0.00131032;0.000932675;-0.000657484;0.00168213;-0.00102929;0.00135571;1.99293;0.501774;0.00158049;0.00180761;1.63426;0.611899;22.3583;67.3583;-0.00499427;0.00131032;0.00093978;0.000925556;-0.000657491;-0.00104425;0.00282559;0;0.0439387;-0.0124302;0.266042
