Time;Image index (Image index);Distance L(t) (Extensometer 1);Change in distance (Extensometer 1);Strain - RC (Extensometer 1);Distance x L(t) (Extensometer 1);Distance y L(t) (Extensometer 1);Distance z L(t) (Extensometer 1);Change in distance x (Extensometer 1);Change in distance y (Extensometer 1);Change in distance z (Extensometer 1);X-displacement (Strain Gauge 1);Y-displacement (Strain Gauge 1);Z-displacement (Strain Gauge 1);Displacement (Strain Gauge 1);Height (Strain Gauge 1);Exx - RC (Strain Gauge 1);Exy - RC (Strain Gauge 1);Eyy - RC (Strain Gauge 1);Max. principal strain - RC (Strain Gauge 1);Min. principal strain - RC (Strain Gauge 1);Max. shear strain - RC (Strain Gauge 1);Poisson ratio -Exx/Eyy (Strain Gauge 1);Poisson ratio -Eyy/Exx (Strain Gauge 1);Von Mises - RC (Strain Gauge 1);Tresca - RC (Strain Gauge 1);Poisson ratio -strain max/min (Strain Gauge 1);Poisson ratio -strain min/max (Strain Gauge 1);Max. strain angle (Strain Gauge 1);Max. shear angle (Strain Gauge 1);Vorticity-z (Strain Gauge 1);du/dx (Strain Gauge 1);du/dy (Strain Gauge 1);dv/dx (Strain Gauge 1);dv/dy (Strain Gauge 1);dw/dx (Strain Gauge 1);dw/dy (Strain Gauge 1);Ezz plane stress state (Strain Gauge 1);Stereo reconstruction error (Strain Gauge 1);X-displacement (Strain Gauge 2);Y-displacement (Strain Gauge 2);Z-displacement (Strain Gauge 2);Displacement (Strain Gauge 2);Height (Strain Gauge 2);Exx - RC (Strain Gauge 2);Exy - RC (Strain Gauge 2);Eyy - RC (Strain Gauge 2);Max. principal strain - RC (Strain Gauge 2);Min. principal strain - RC (Strain Gauge 2);Max. shear strain - RC (Strain Gauge 2);Poisson ratio -Exx/Eyy (Strain Gauge 2);Poisson ratio -Eyy/Exx (Strain Gauge 2);Von Mises - RC (Strain Gauge 2);Tresca - RC (Strain Gauge 2);Poisson ratio -strain max/min (Strain Gauge 2);Poisson ratio -strain min/max (Strain Gauge 2);Max. strain angle (Strain Gauge 2);Max. shear angle (Strain Gauge 2);Vorticity-z (Strain Gauge 2);du/dx (Strain Gauge 2);du/dy (Strain Gauge 2);dv/dx (Strain Gauge 2);dv/dy (Strain Gauge 2);dw/dx (Strain Gauge 2);dw/dy (Strain Gauge 2);Ezz plane stress state (Strain Gauge 2);Stereo reconstruction error (Strain Gauge 2);Voltage ADC 1 channel 1
ms;;mm;mm;S;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;V
0.02515;1;25.7534;0;0;-2.10848;25.6602;-0.586872;0;0;0;0;0;0;0;-5.47294;-1.11022e-16;-1.73472e-17;2.22045e-16;2.22946e-16;-1.11923e-16;1.67435e-16;;;1.96847e-16;2.23246e-16;;;0;45;0;-1.11022e-16;-7.63278e-17;4.16334e-17;2.22045e-16;0;0;0;0;0;0;0;0;-6.08964;-2.22045e-16;-1.04083e-16;0;4.11595e-17;-2.63204e-16;1.52182e-16;;;1.90676e-16;2.02909e-16;;;0;45;0;-2.22045e-16;-8.32667e-17;-1.249e-16;0;0;0;0;0;0.0142113
1000.03;2;25.7526;-0.000788122;-3.06026e-05;-2.10877;25.6594;-0.589627;-0.0002956;-0.000878431;-0.00275486;-0.00153374;-0.0107831;-0.00151435;0.0109964;-5.47445;-2.8853e-05;-0.000504489;-0.000156447;0.000415857;-0.000601157;0.000508507;-0.184426;-5.42222;0.000590413;0.000678009;0.691761;1.44559;48.2294;93.2294;0.000119284;-2.88536e-05;-0.000503279;-0.000505699;-0.000156446;0.000246452;-0.000582272;0;0.0129214;-0.00106122;-0.0100886;-0.00562531;0.0115996;-6.09527;0.0007473;3.578e-05;0.000226542;0.000749747;0.000224095;0.000262826;-3.29873;-0.303147;0.000444385;0.000350435;-3.34567;-0.298894;3.73759;48.7376;-0.000508733;0.0007473;3.28123e-05;3.87493e-05;0.000226542;0.000198827;0.00205575;0;0.0111111;0.0142524
2000.03;3;25.7501;-0.0033226;-0.000129016;-2.10862;25.6567;-0.594907;-0.000141256;-0.00353132;-0.00803465;-0.00298515;-0.0211887;-0.00620632;0.0222798;-5.47914;2.0242e-05;-0.000228843;-0.000505802;0.00010586;-0.00059142;0.00034864;0.0400196;24.9878;0.000433893;0.000464853;0.178993;5.58682;64.6694;109.669;-0.000496782;2.02317e-05;-0.000187643;-0.000270065;-0.000505793;0.00065658;0.00304248;0;0.0145213;-0.00216072;-0.0205598;-0.010204;0.0230542;-6.09985;0.000921196;1.06344e-05;0.000498066;0.000921463;0.000497799;0.000211832;-1.84954;-0.540674;0.000532581;0.000282443;-1.85107;-0.540227;16.1198;61.1198;-0.00145375;0.00092112;0.000410116;-0.000389016;0.000497982;0.00144103;0.000533265;0;0.0166566;0.0142745
3000.03;4;25.7484;-0.00501338;-0.000194669;-2.10815;25.6549;-0.602651;0.000331842;-0.00537013;-0.0157794;-0.0040512;-0.0328089;-0.00459959;0.0333765;-5.47753;-2.87779e-05;1.74709e-05;-0.000636558;-2.82761e-05;-0.00063706;0.000304392;-0.0452085;-22.1197;0.000415602;0.000405856;-0.0443852;-22.53;83.728;128.728;0.000979829;-2.87807e-05;0.00011176;-7.68757e-05;-0.000636564;-0.00319482;0.00178696;0;0.0123798;-0.00363087;-0.0318835;-0.0122079;0.0343333;-6.10185;0.000800359;0.000297709;0.000302978;0.000939583;0.000163754;0.000387915;-2.64164;-0.378552;0.000579567;0.000517219;-5.73778;-0.174283;46.4135;91.4135;-0.00173922;0.000800381;0.000807058;-0.000211894;0.000302696;-0.000402194;0.00121145;0;0.0126403;0.0142564
4000.03;5;25.7511;-0.00232537;-9.02938e-05;-2.10756;25.6577;-0.598073;0.000917925;-0.00251705;-0.0112011;-0.00551439;-0.0450765;-0.00219981;0.0454658;-5.47514;-0.000151947;-7.35003e-05;0.000110738;0.000129905;-0.000171114;0.000150509;1.37213;0.728793;0.000174335;0.000200679;0.759172;1.31723;48.8307;93.8307;-0.000624387;-0.000151944;-0.000125623;-2.13916e-05;0.000110733;-0.000101815;-0.000408723;0;0.011788;-0.00464401;-0.044529;-0.0132383;0.0466868;-6.10288;0.000354967;-0.000110558;0.000119562;0.000398748;7.57808e-05;0.000161484;-2.96889;-0.336826;0.000244518;0.000215312;-5.26186;-0.190047;179.499;44.4986;-0.000446506;0.00035492;0.000104662;-0.000325829;0.000119563;-0.000303623;0.00131673;0;0.0111573;0.0142233
5000.03;6;25.7506;-0.00281319;-0.000109236;-2.10689;25.6572;-0.603152;0.00158853;-0.00307046;-0.0162802;-0.0065807;-0.0545744;-0.00281293;0.0550417;-5.47575;-0.000378776;-3.44249e-05;-0.000168108;-0.000162626;-0.000384259;0.000110817;-2.25317;-0.44382;0.000222722;0.000147755;-0.423219;-2.36284;173.973;38.9727;-0.000175883;-0.000378794;0.000124387;-0.000193203;-0.000168116;0.000902704;0.000805985;0;0.0122697;-0.00582594;-0.0541292;-0.0165193;0.0568929;-6.10616;0.000457799;-0.000229979;4.24819e-05;0.000559999;-5.97178e-05;0.000309858;-10.7763;-0.0927959;0.000394747;0.000413145;9.37742;0.106639;125.037;170.037;0.000252229;0.000457797;-0.00070079;0.000241029;4.22628e-05;0.000277346;-0.00152662;0;0.0104034;0.0143064
6000.03;7;25.753;-0.000354133;-1.37509e-05;-2.10623;25.6597;-0.600968;0.00224485;-0.000497313;-0.0140957;-0.00630362;-0.0544624;-0.0144398;0.0566957;-5.48738;-6.69066e-05;-0.000307818;-0.000298533;0.000146164;-0.000511603;0.000328883;-0.224118;-4.46194;0.00039882;0.000438511;0.285697;3.50021;73.2107;118.211;-0.00114256;-6.68747e-05;-0.000439568;-0.000176036;-0.000298582;0.00287543;0.00156878;0;0.0131861;-0.00554279;-0.0548865;-0.0239123;0.0601253;-6.11356;0.000427119;-4.60436e-05;0.000215663;0.000436709;0.000206072;0.000115319;-1.98049;-0.504924;0.000252267;0.000153758;-2.11921;-0.471874;143.682;8.68162;0.000621945;0.000427067;-0.00041728;0.000325271;0.000215577;-0.00113344;0.00049385;0;0.0104335;0.0143475
7000.03;8;25.7511;-0.0022703;-8.81552e-05;-2.10797;25.6577;-0.5975;0.000508466;-0.00248207;-0.0106286;-0.00546149;-0.0596569;-0.0209173;0.0634532;-5.49385;7.27975e-05;-0.000697465;-0.000634171;0.000501239;-0.00106261;0.000781926;0.114792;8.71143;0.000922077;0.00104257;0.471705;2.11997;69.5717;114.572;-0.00112851;7.28711e-05;-0.000812318;-0.00058253;-0.000634257;0.00340861;-0.00115373;0;0.0170526;-0.00538066;-0.0594642;-0.0304453;0.0670213;-6.12009;0.000672631;-2.78502e-06;0.00046874;0.000672669;0.000468702;0.000101984;-1.43498;-0.696875;0.000398265;0.000135978;-1.43517;-0.696779;155.64;20.6403;-0.000312679;0.000672443;-0.000618581;0.000613136;0.000468549;0.000441124;-0.00135146;0;0.011158;0.0143518
8000.03;9;25.7504;-0.00303127;-0.000117704;-2.10917;25.6568;-0.600542;-0.000690051;-0.00341532;-0.0136701;-0.00730323;-0.0655306;-0.0208653;0.069159;-5.4938;0.00029125;-6.44391e-05;-0.000194455;0.000299654;-0.000202859;0.000251256;1.49778;0.667657;0.000291914;0.000335008;1.47715;0.676978;146.427;11.4268;0.000626187;0.000291252;-0.000127017;-1.83131e-06;-0.000194461;0.000481554;8.54771e-05;0;0.0137877;-0.00700177;-0.0644071;-0.0316499;0.0721042;-6.12129;0.000764395;-8.19836e-05;0.000701626;0.000820796;0.000645225;8.77855e-05;-1.08946;-0.917884;0.000499076;0.000117047;-1.27211;-0.786097;136.871;1.87134;-0.000472062;0.000764387;-0.000309122;0.00014517;0.000701581;-0.000687566;0.00170807;0;0.012631;0.0143433
