Time;Image index (Image index);Distance L(t) (Extensometer 1);Change in distance (Extensometer 1);Strain - RC (Extensometer 1);Distance x L(t) (Extensometer 1);Distance y L(t) (Extensometer 1);Distance z L(t) (Extensometer 1);Change in distance x (Extensometer 1);Change in distance y (Extensometer 1);Change in distance z (Extensometer 1);X-displacement (Strain Gauge 1);Y-displacement (Strain Gauge 1);Z-displacement (Strain Gauge 1);Displacement (Strain Gauge 1);Height (Strain Gauge 1);Exx - RC (Strain Gauge 1);Exy - RC (Strain Gauge 1);Eyy - RC (Strain Gauge 1);Max. principal strain - RC (Strain Gauge 1);Min. principal strain - RC (Strain Gauge 1);Max. shear strain - RC (Strain Gauge 1);Poisson ratio -Exx/Eyy (Strain Gauge 1);Poisson ratio -Eyy/Exx (Strain Gauge 1);Von Mises - RC (Strain Gauge 1);Tresca - RC (Strain Gauge 1);Poisson ratio -strain max/min (Strain Gauge 1);Poisson ratio -strain min/max (Strain Gauge 1);Max. strain angle (Strain Gauge 1);Max. shear angle (Strain Gauge 1);Vorticity-z (Strain Gauge 1);du/dx (Strain Gauge 1);du/dy (Strain Gauge 1);dv/dx (Strain Gauge 1);dv/dy (Strain Gauge 1);dw/dx (Strain Gauge 1);dw/dy (Strain Gauge 1);Ezz plane stress state (Strain Gauge 1);Stereo reconstruction error (Strain Gauge 1);X-displacement (Strain Gauge 2);Y-displacement (Strain Gauge 2);Z-displacement (Strain Gauge 2);Displacement (Strain Gauge 2);Height (Strain Gauge 2);Exx - RC (Strain Gauge 2);Exy - RC (Strain Gauge 2);Eyy - RC (Strain Gauge 2);Max. principal strain - RC (Strain Gauge 2);Min. principal strain - RC (Strain Gauge 2);Max. shear strain - RC (Strain Gauge 2);Poisson ratio -Exx/Eyy (Strain Gauge 2);Poisson ratio -Eyy/Exx (Strain Gauge 2);Von Mises - RC (Strain Gauge 2);Tresca - RC (Strain Gauge 2);Poisson ratio -strain max/min (Strain Gauge 2);Poisson ratio -strain min/max (Strain Gauge 2);Max. strain angle (Strain Gauge 2);Max. shear angle (Strain Gauge 2);Vorticity-z (Strain Gauge 2);du/dx (Strain Gauge 2);du/dy (Strain Gauge 2);dv/dx (Strain Gauge 2);dv/dy (Strain Gauge 2);dw/dx (Strain Gauge 2);dw/dy (Strain Gauge 2);Ezz plane stress state (Strain Gauge 2);Stereo reconstruction error (Strain Gauge 2);Load ADC 1 channel 1;Position ADC 1 channel 2
ms;;mm;mm;S;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;kN;mm
9000.03;10;25.7532;-0.00171343;-6.65282e-05;-2.19426;25.6596;0.00530057;-0.00522705;-0.00215037;-0.0236077;-0.00326671;-0.0284399;-0.0177942;0.0337065;-6.09597;-0.000386069;-7.04549e-05;0.000208883;0.000217112;-0.000394298;0.000305705;1.84825;0.541051;0.000357905;0.000407607;0.55063;1.8161;43.1775;88.1775;0.00199338;-0.00038609;-0.000360704;0.000219622;0.00020882;0.0010548;0.00179801;0;0.0152322;-0.00311927;-0.0268959;-0.0509327;0.0576824;-6.10353;0.00124516;-0.000212322;0.000999164;0.00136754;0.000876785;0.000245375;-1.2462;-0.80244;0.000799964;0.000327167;-1.55971;-0.641143;147.514;12.5139;0.00113156;0.00124517;-0.000311696;-0.000112924;0.000999138;0.0156823;0.00743337;0;0.0355717;-0.0111772;0.273062
10000;11;25.7536;-0.00133033;-5.16532e-05;-2.19446;25.66;0.0033361;-0.00542227;-0.00178223;-0.0255722;-0.00343558;-0.0303441;-0.0192817;0.0361158;-6.09745;-0.000453659;-2.04533e-05;-5.01843e-06;-4.0879e-06;-0.00045459;0.000225251;;;0.000301706;0.000300335;;;31.016;76.016;0.00156342;-0.000453713;-0.000371122;0.000330058;-5.08708e-06;0.00209776;0.00140347;0;0.0155143;-0.00336185;-0.0281387;-0.0566674;0.0633583;-6.10926;0.00108799;-0.000167068;0.000873381;0.00117924;0.000782125;0.000198559;-1.24572;-0.80275;0.000692825;0.000264745;-1.50774;-0.663244;142.671;7.67144;0.00139597;0.00108799;-0.000474084;0.000140014;0.000873282;0.0143428;0.00751978;0;0.0341317;-0.0112059;0.277789
11000;12;25.7533;-0.00164098;-6.3715e-05;-2.1931;25.6598;-0.00266183;-0.00406892;-0.00197823;-0.0315701;-0.00402149;-0.0306947;-0.0299177;0.0430512;-6.10809;-0.000374173;0.000181551;0.000443341;0.000481846;-0.000412678;0.000447262;0.843985;1.18486;0.000516968;0.000596349;1.16761;0.856452;36.1156;81.1156;0.00168556;-0.000374282;-0.000138464;0.000501305;0.000443348;0.000410377;0.000822002;0;0.0166051;-0.00409191;-0.0298637;-0.0681687;0.0745356;-6.12076;0.0011558;-0.000224844;0.00127131;0.0014457;0.000981412;0.000232143;-0.909139;-1.09994;0.000852288;0.000309524;-1.47308;-0.67885;129.228;174.228;0.00185784;0.00115578;-0.000164095;-0.000285585;0.00127132;0.0115667;0.00731336;0;0.0367121;-0.0108005;0.280984
12000;13;25.7561;0.00111147;4.31557e-05;-2.19498;25.6624;0.00617417;-0.00594437;0.000623305;-0.0227341;-0.00543886;-0.0344802;-0.0248341;0.0428392;-6.10301;-0.000366142;0.000135688;0.000312564;0.000338686;-0.000392264;0.000365475;1.17141;0.853669;0.000422392;0.0004873;0.863414;1.15819;30.8262;75.8262;0.00150278;-0.000366201;-9.73166e-05;0.000368534;0.000312569;0.00100811;0.00239903;0;0.0173637;-0.00564194;-0.0332922;-0.0664184;0.0745091;-6.11901;0.00105222;-4.82817e-05;0.000973019;0.00107506;0.000950175;6.24447e-05;-1.0814;-0.924729;0.00067892;8.32596e-05;-1.13144;-0.883831;148.659;13.6588;0.00247428;0.00105221;-0.000264493;0.000167947;0.000972985;0.00824412;0.00420333;0;0.0324472;-0.0107769;0.287877
13000;14;25.7541;-0.000901714;-3.50113e-05;-2.19311;25.6605;-0.0077495;-0.00407954;-0.00123821;-0.0366577;-0.00427303;-0.0393135;-0.0213238;0.0449279;-6.0995;-0.000466077;0.000311803;0.000507765;0.000599042;-0.000557354;0.000578198;0.917899;1.08944;0.00066779;0.000770931;1.0748;0.930409;35.5878;80.5878;0.00111717;-0.000466107;0.000226944;0.000396579;0.000507788;-8.95673e-05;0.000574268;0;0.0217125;-0.00480916;-0.0384289;-0.0682664;0.078487;-6.12086;0.00107481;3.61592e-05;0.000967888;0.00108589;0.000956807;6.45397e-05;-1.11047;-0.900523;0.000684964;8.60529e-05;-1.13491;-0.88113;13.9701;58.9701;0.00147696;0.0010748;-7.37085e-05;0.000146039;0.000967885;0.00304097;0.00143864;0;0.0348886;-0.0102193;0.294355
14000;15;25.7559;0.000950443;3.69033e-05;-2.19298;25.6624;-0.00445803;-0.00394166;0.000633261;-0.0333663;-0.00386024;-0.0406006;-0.0280488;0.0494979;-6.10622;-0.000345213;0.000340105;0.000352367;0.000490738;-0.000483584;0.000487161;0.979696;1.02072;0.00056253;0.000649548;1.01479;0.985421;23.3741;68.3741;0.00151988;-0.000345301;0.000139145;0.000540925;0.000352415;0.000170938;0.00305794;0;0.0243046;-0.00486972;-0.0394447;-0.0781993;0.0877196;-6.13079;0.0009929;1.33242e-06;0.00108723;0.00108725;0.000992881;4.71842e-05;-0.913238;-1.09501;0.000695514;6.29122e-05;-1.09504;-0.913205;94.1902;139.19;0.00120109;0.000992884;0.0001849;-0.000182218;0.00108721;0.00466824;0.00120608;0;0.0387999;-0.00971334;0.30196
15000;16;25.7596;0.00462246;0.000179479;-2.19202;25.6661;-0.0044119;-0.00298478;0.00440041;-0.0333202;-0.00409022;-0.0408636;-0.032971;0.0526654;-6.11114;-0.000361949;3.40454e-05;0.000697782;0.000698875;-0.000363042;0.000530958;0.518713;1.92785;0.000623234;0.000707945;1.92505;0.519466;78.6693;123.669;0.00112457;-0.000361953;-2.37651e-05;9.17947e-05;0.000697783;0.000720767;0.0031303;0;0.0343643;-0.00501933;-0.042713;-0.0804498;0.0912237;-6.13304;0.000827361;-3.72203e-05;0.00120565;0.00120928;0.000823734;0.000192772;-0.686237;-1.45722;0.000713291;0.000257029;-1.46804;-0.681179;108.458;153.458;0.000927969;0.000827222;0.00045447;-0.000528725;0.00120555;0.00766189;-0.00539881;0;0.0515801;-0.0091162;0.309299
16000;17;25.7577;0.00270474;0.000105018;-2.19636;25.6638;-0.00137109;-0.00732948;0.00210459;-0.0302793;-0.00555209;-0.038362;-0.032774;0.0507602;-6.11095;-0.000342732;0.000297058;0.000505105;0.000598826;-0.000436452;0.000517639;0.678535;1.47376;0.000600164;0.000690185;1.37203;0.728846;52.8446;97.8446;0.00130548;-0.000342753;0.000230595;0.000363465;0.000505123;0.000253311;0.00232781;0;0.0343295;-0.00932485;-0.0388195;-0.0800876;0.089487;-6.13532;0.0011562;-0.00029139;0.000858177;0.00133447;0.000679907;0.000327279;-1.34727;-0.742242;0.0007705;0.000436372;-1.96272;-0.509498;149.783;14.7828;0.000745118;0.00115618;-0.0002477;-0.000335092;0.000858189;0.00338508;0.00524604;0;0.0481563;-0.00909683;0.317295
17000;18;25.755;5.06867e-05;1.96804e-06;-2.19552;25.6613;-0.0124769;-0.0064846;-0.000489862;-0.0413851;-0.0054719;-0.0367745;-0.0335419;0.0500736;-6.11172;-0.000366612;0.000181637;0.000641512;0.000673239;-0.00039834;0.00053579;0.571481;1.74984;0.000625426;0.000714386;1.69011;0.591676;57.9419;102.942;0.00134866;-0.000366646;4.74119e-05;0.000315727;0.000641527;0.000852455;0.0034663;0;0.0239337;-0.01013;-0.0371692;-0.078921;0.087822;-6.13416;0.00109357;-0.000124261;0.000605187;0.00112337;0.000575389;0.000273988;-1.80699;-0.553406;0.00064864;0.000365318;-1.95236;-0.512201;164.432;29.432;0.00023511;0.00109357;-0.000186162;-6.23305e-05;0.000605177;0.00222624;0.00929818;0;0.0451216;-0.00893964;0.323831
18000;19;25.7568;0.00188389;7.31469e-05;-2.19727;25.6629;-0.00063108;-0.00823889;0.00120293;-0.0295393;-0.0053336;-0.0383961;-0.0316546;0.0500472;-6.10983;-0.000378787;-3.30164e-05;0.000137468;0.000139571;-0.00038089;0.00026023;2.75545;0.362917;0.000311068;0.000346974;0.366435;2.729;5.44719;50.4472;0.000211582;-0.000378786;-4.06201e-05;-2.54167e-05;0.000137468;0.00316559;0.00267178;0;0.0320076;-0.0099324;-0.0390392;-0.0768946;0.0868073;-6.13213;0.000995674;-0.0001387;0.000511711;0.00103261;0.000474779;0.000278913;-1.94577;-0.513934;0.000596817;0.000371884;-2.17492;-0.459788;168.622;33.6222;0.000878707;0.000995656;-4.52412e-05;-0.000232203;0.00051172;0.00133608;0.00673143;0;0.0464733;-0.00924506;0.331166
