Time;Image index (Image index);Distance L(t) (Extensometer 1);Change in distance (Extensometer 1);Strain - RC (Extensometer 1);Distance x L(t) (Extensometer 1);Distance y L(t) (Extensometer 1);Distance z L(t) (Extensometer 1);Change in distance x (Extensometer 1);Change in distance y (Extensometer 1);Change in distance z (Extensometer 1);X-displacement (Strain Gauge 1);Y-displacement (Strain Gauge 1);Z-displacement (Strain Gauge 1);Displacement (Strain Gauge 1);Height (Strain Gauge 1);Exx - RC (Strain Gauge 1);Exy - RC (Strain Gauge 1);Eyy - RC (Strain Gauge 1);Max. principal strain - RC (Strain Gauge 1);Min. principal strain - RC (Strain Gauge 1);Max. shear strain - RC (Strain Gauge 1);Poisson ratio -Exx/Eyy (Strain Gauge 1);Poisson ratio -Eyy/Exx (Strain Gauge 1);Von Mises - RC (Strain Gauge 1);Tresca - RC (Strain Gauge 1);Poisson ratio -strain max/min (Strain Gauge 1);Poisson ratio -strain min/max (Strain Gauge 1);Max. strain angle (Strain Gauge 1);Max. shear angle (Strain Gauge 1);Vorticity-z (Strain Gauge 1);du/dx (Strain Gauge 1);du/dy (Strain Gauge 1);dv/dx (Strain Gauge 1);dv/dy (Strain Gauge 1);dw/dx (Strain Gauge 1);dw/dy (Strain Gauge 1);Ezz plane stress state (Strain Gauge 1);Stereo reconstruction error (Strain Gauge 1);X-displacement (Strain Gauge 2);Y-displacement (Strain Gauge 2);Z-displacement (Strain Gauge 2);Displacement (Strain Gauge 2);Height (Strain Gauge 2);Exx - RC (Strain Gauge 2);Exy - RC (Strain Gauge 2);Eyy - RC (Strain Gauge 2);Max. principal strain - RC (Strain Gauge 2);Min. principal strain - RC (Strain Gauge 2);Max. shear strain - RC (Strain Gauge 2);Poisson ratio -Exx/Eyy (Strain Gauge 2);Poisson ratio -Eyy/Exx (Strain Gauge 2);Von Mises - RC (Strain Gauge 2);Tresca - RC (Strain Gauge 2);Poisson ratio -strain max/min (Strain Gauge 2);Poisson ratio -strain min/max (Strain Gauge 2);Max. strain angle (Strain Gauge 2);Max. shear angle (Strain Gauge 2);Vorticity-z (Strain Gauge 2);du/dx (Strain Gauge 2);du/dy (Strain Gauge 2);dv/dx (Strain Gauge 2);dv/dy (Strain Gauge 2);dw/dx (Strain Gauge 2);dw/dy (Strain Gauge 2);Ezz plane stress state (Strain Gauge 2);Stereo reconstruction error (Strain Gauge 2);Load ADC 1 channel 1;Position ADC 1 channel 2
ms;;mm;mm;S;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;kN;mm
0.02515;1;25.7536;0;0;-2.43509;25.6377;0.16493;0;0;0;0;0;0;0;-6.15121;0;4.85723e-17;0;4.85723e-17;-4.85723e-17;4.85723e-17;;;5.60864e-17;6.4763e-17;;;0;45;0;0;8.32667e-17;1.38778e-17;0;0;0;0;0;0;0;0;0;-5.99235;2.22045e-16;6.93889e-18;0;2.22261e-16;-2.16629e-19;1.11239e-16;;;1.48246e-16;1.48319e-16;;;0;45;0;2.22045e-16;-2.77556e-17;4.16334e-17;0;0;0;0;0;-0.0131211;0.214079
1000.03;2;25.7496;-0.00398621;-0.000154783;-2.43584;25.6337;0.153275;-0.000746414;-0.00400281;-0.0116551;-0.00025559;-0.00285822;-0.00312894;0.00424559;-6.15434;-7.75544e-05;0.000214542;-7.42285e-05;0.000138657;-0.00029044;0.000214549;-1.04481;-0.957116;0.000252853;0.000286065;0.477404;2.09466;118.125;163.125;-0.000276537;-7.75446e-05;0.0002661;0.000162984;-7.42409e-05;0.000528375;-0.000885587;0;0.0126622;-0.000522213;-0.00259262;-0.0063556;0.00688389;-5.9987;-0.000191955;0.000184836;0.000160272;0.000239463;-0.000271146;0.000255305;1.19768;0.834946;0.000294989;0.000340406;0.883152;1.13231;16.9824;61.9824;-0.00061546;-0.000191977;9.16896e-05;0.00027795;0.000160285;0.0035108;-0.00324479;0;0.016048;-0.0126296;0.22151
2000.03;3;25.7489;-0.00469676;-0.000182373;-2.43519;25.6331;0.148145;-9.9603e-05;-0.00462495;-0.0167853;-0.00100998;-0.00879304;0.00892456;0.0125692;-6.14229;-7.67861e-05;-9.1502e-05;-0.000528929;-5.89705e-05;-0.000546745;0.000243887;-0.145173;-6.88835;0.000346516;0.000325183;-0.107857;-9.2715;85.7683;130.768;-0.00117824;-7.67821e-05;-0.000164576;-1.83948e-05;-0.000528939;0.00334628;0.000830732;0;0.0174665;-0.000520674;-0.00727769;-0.00145178;0.00743932;-5.9938;-0.000296985;1.66477e-05;8.31608e-05;8.38885e-05;-0.000297713;0.000190801;3.57122;0.280016;0.00023156;0.000254401;0.281776;3.54892;27.4712;72.4712;-0.000242287;-0.000297006;-0.000168128;0.000201353;8.31468e-05;0.00176633;-0.00111657;0;0.0178983;-0.0121991;0.228192
3000.03;4;25.7479;-0.00574943;-0.000223247;-2.43596;25.632;0.143405;-0.00087112;-0.00572873;-0.021525;-0.00166932;-0.0104515;0.00197935;0.0107674;-6.14923;-0.00017034;2.02974e-05;-0.000537847;-0.000169222;-0.000538964;0.000184871;-0.316707;-3.15749;0.000318269;0.000246495;-0.313976;-3.18495;90.4057;135.406;-0.0010188;-0.00017034;5.43235e-05;-1.37412e-05;-0.000537848;0.00193414;-5.42535e-05;0;0.0218763;-0.00140777;-0.00892392;-0.0123735;0.0153206;-6.00472;-0.000280653;9.45952e-05;-3.37595e-05;-1.68338e-06;-0.000312729;0.000155523;-8.3133;-0.120289;0.000207927;0.000207364;;;7.75853;52.7585;1.89137e-05;-0.000280694;-0.000113833;0.000302972;-3.37615e-05;0.00256204;-0.000668289;0;0.027305;-0.0119176;0.236193
4000.03;5;25.7483;-0.0053358;-0.000207186;-2.43423;25.6326;0.136989;0.000865888;-0.00511313;-0.0279407;-0.00210306;-0.0117288;-0.00462411;0.0127816;-6.15584;-0.000264099;3.88063e-05;-0.000359192;-0.000250273;-0.000373018;6.13727e-05;-0.735258;-1.36007;0.000219518;8.18303e-05;-0.67094;-1.49045;103.399;148.399;-0.00143813;-0.000264099;0.000107429;-2.98231e-05;-0.000359197;0.00369416;-0.000290494;0;0.0122759;-0.00222062;-0.0107014;-0.0203258;0.0230779;-6.01267;-0.000304248;-8.39394e-05;-3.81044e-05;-1.38424e-05;-0.00032851;0.000157334;-7.98459;-0.125241;0.000214541;0.000209778;-0.0421369;-23.7322;34.4226;79.4226;-0.000304163;-0.000304245;-0.000211065;4.31529e-05;-3.81231e-05;0.00415163;-0.000739323;0;0.0202011;-0.0115539;0.242494
5000.03;6;25.75;-0.00362902;-0.000140913;-2.43369;25.6344;0.136099;0.0014059;-0.00334263;-0.0288313;-0.00232765;-0.0130571;-0.00979843;0.0164898;-6.16101;4.75916e-05;3.66018e-05;-0.000462114;5.02066e-05;-0.000464729;0.000257468;0.102987;9.70998;0.000327839;0.00034329;0.108034;9.25633;70.1889;115.189;-0.00137708;4.75739e-05;0.000265006;-0.000191919;-0.000462148;0.00218213;-0.00138018;0;0.0226527;-0.00229144;-0.0118623;-0.0286279;0.0310729;-6.02097;-0.000362574;-7.3395e-05;-0.000111464;-9.15855e-05;-0.000382453;0.000145434;-3.25284;-0.307424;0.000230585;0.000193911;-0.239469;-4.17591;25.7855;70.7855;-0.000156482;-0.000362572;-0.000165612;1.87988e-05;-0.000111475;0.00461573;0.000100059;0;0.0243791;-0.0115387;0.245115
6000.03;7;25.7505;-0.0031313;-0.000121587;-2.43498;25.6348;0.133122;0.000111675;-0.00294993;-0.0318079;-0.00226;-0.0146701;-0.0104013;0.0181248;-6.16161;-1.87659e-05;0.000167117;-0.000776139;1.64698e-05;-0.000811375;0.000413922;-0.0241785;-41.359;0.000546489;0.000551896;0.0202986;49.2645;94.1154;139.115;-0.00137431;-1.87535e-05;0.000277861;5.6289e-05;-0.000776164;0.00261797;-0.00106073;0;0.013681;-0.00225435;-0.0136961;-0.0324011;0.035249;-6.02475;-0.000385208;-2.7412e-05;-0.000191205;-0.000187407;-0.000389007;0.0001008;-2.01463;-0.49637;0.000224643;0.0001344;-0.481757;-2.07574;25.5204;70.5204;0.000539305;-0.000385223;-0.000231124;0.000176261;-0.000191232;0.00310355;0.000316339;0;0.0243969;-0.0113534;0.251383
7000.03;8;25.7485;-0.00511029;-0.00019843;-2.43383;25.6329;0.121786;0.00126282;-0.00477217;-0.043144;-0.00245688;-0.0179857;-0.00950163;0.0204891;-6.16071;-5.13919e-05;-5.34979e-05;-0.000377812;-4.28476e-05;-0.000386356;0.000171754;-0.136025;-7.35159;0.000244543;0.000229006;-0.110902;-9.01698;65.3453;110.345;-0.00107411;-5.14073e-05;7.62163e-05;-0.000183254;-0.000377814;0.00242925;-0.000888408;0;0.0164268;-0.00228855;-0.0163621;-0.0359429;0.0395582;-6.02829;-0.000535645;-0.00012221;-0.000101283;-6.92592e-05;-0.000567669;0.000249205;-5.28861;-0.189086;0.000357602;0.000332273;-0.122006;-8.1963;20.7006;65.7006;0.000563368;-0.000535639;-0.000190094;-5.43564e-05;-0.000101293;0.0032292;-0.000382344;0;0.0250402;-0.0113187;0.259301
8000.03;9;25.7503;-0.00330663;-0.000128395;-2.43304;25.6348;0.12456;0.00205562;-0.00289845;-0.0403701;-0.00219387;-0.0190746;-0.0106066;0.0219353;-6.16182;3.62156e-05;0.000231911;-0.000351353;0.000144648;-0.000459786;0.000302217;0.103074;9.70173;0.000364438;0.000402956;0.314599;3.17865;95.3322;140.332;-0.000917696;3.62372e-05;0.000361533;0.000102238;-0.000351392;0.00153767;-0.000118101;0;0.0194243;-0.00222066;-0.0172127;-0.0417637;0.0452262;-6.03411;-0.000521989;-0.000129554;3.73912e-07;3.07399e-05;-0.000552355;0.000291547;;;0.000378899;0.00038873;0.0556525;17.9686;16.1011;61.1011;0.000620207;-0.000521986;-0.000156134;-0.000102987;3.70115e-07;0.00317862;0.00133689;0;0.0250052;-0.0113059;0.266289
