Time;Image index (Image index);Distance L(t) (Extensometer 1);Change in distance (Extensometer 1);Strain - RC (Extensometer 1);Distance x L(t) (Extensometer 1);Distance y L(t) (Extensometer 1);Distance z L(t) (Extensometer 1);Change in distance x (Extensometer 1);Change in distance y (Extensometer 1);Change in distance z (Extensometer 1);X-displacement (Strain Gauge 1);Y-displacement (Strain Gauge 1);Z-displacement (Strain Gauge 1);Displacement (Strain Gauge 1);Height (Strain Gauge 1);Exx - RC (Strain Gauge 1);Exy - RC (Strain Gauge 1);Eyy - RC (Strain Gauge 1);Max. principal strain - RC (Strain Gauge 1);Min. principal strain - RC (Strain Gauge 1);Max. shear strain - RC (Strain Gauge 1);Poisson ratio -Exx/Eyy (Strain Gauge 1);Poisson ratio -Eyy/Exx (Strain Gauge 1);Von Mises - RC (Strain Gauge 1);Tresca - RC (Strain Gauge 1);Poisson ratio -strain max/min (Strain Gauge 1);Poisson ratio -strain min/max (Strain Gauge 1);Max. strain angle (Strain Gauge 1);Max. shear angle (Strain Gauge 1);Vorticity-z (Strain Gauge 1);du/dx (Strain Gauge 1);du/dy (Strain Gauge 1);dv/dx (Strain Gauge 1);dv/dy (Strain Gauge 1);dw/dx (Strain Gauge 1);dw/dy (Strain Gauge 1);Ezz plane stress state (Strain Gauge 1);Stereo reconstruction error (Strain Gauge 1);X-displacement (Strain Gauge 2);Y-displacement (Strain Gauge 2);Z-displacement (Strain Gauge 2);Displacement (Strain Gauge 2);Height (Strain Gauge 2);Exx - RC (Strain Gauge 2);Exy - RC (Strain Gauge 2);Eyy - RC (Strain Gauge 2);Max. principal strain - RC (Strain Gauge 2);Min. principal strain - RC (Strain Gauge 2);Max. shear strain - RC (Strain Gauge 2);Poisson ratio -Exx/Eyy (Strain Gauge 2);Poisson ratio -Eyy/Exx (Strain Gauge 2);Von Mises - RC (Strain Gauge 2);Tresca - RC (Strain Gauge 2);Poisson ratio -strain max/min (Strain Gauge 2);Poisson ratio -strain min/max (Strain Gauge 2);Max. strain angle (Strain Gauge 2);Max. shear angle (Strain Gauge 2);Vorticity-z (Strain Gauge 2);du/dx (Strain Gauge 2);du/dy (Strain Gauge 2);dv/dx (Strain Gauge 2);dv/dy (Strain Gauge 2);dw/dx (Strain Gauge 2);dw/dy (Strain Gauge 2);Ezz plane stress state (Strain Gauge 2);Stereo reconstruction error (Strain Gauge 2);Load ADC 1 channel 1;Position ADC 1 channel 2
ms;;mm;mm;S;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;kN;mm
0.02515;1;25.756;0;0;-2.04079;25.6605;0.861919;0;0;0;0;0;0;0;-7.06303;0;1.17961e-16;0;1.17961e-16;-1.17961e-16;1.17961e-16;;;1.3621e-16;1.57282e-16;;;0;45;0;0;1.249e-16;1.11022e-16;0;0;0;0;0;0;0;0;0;-6.18049;-2.22045e-16;-1.249e-16;0;5.60884e-17;-2.78133e-16;1.67111e-16;;;2.06671e-16;2.22814e-16;;;0;45;0;-2.22045e-16;-1.80411e-16;-6.93889e-17;0;0;0;0;0;-0.0143303;2.19036
1000.03;2;25.756;-1.01018e-05;-3.92211e-07;-2.04208;25.6603;0.864091;-0.0012867;-0.000185538;0.00217158;0.000431132;-0.00446232;0.00191895;0.00487653;-7.06111;-0.000205454;-2.82116e-05;7.34586e-05;7.62835e-05;-0.000208279;0.000142281;2.79686;0.357543;0.000170081;0.000189708;0.366257;2.73032;28.1762;73.1762;0.000795198;-0.000205454;-9.40185e-05;3.75768e-05;7.34545e-05;-8.43748e-05;-0.000168666;0;0.0123095;-9.01288e-06;-0.00450765;-0.000955225;0.00460776;-6.18145;-0.000218932;-2.75276e-06;0.000254219;0.000254235;-0.000218948;0.000236592;0.861195;1.16118;0.000273445;0.000315455;1.16117;0.861203;53.7076;98.7076;-0.000336953;-0.000218934;-6.14013e-05;5.58681e-05;0.000254217;0.00295579;-0.00197405;0;0.0163559;-0.0142682;2.19714
2000.03;3;25.7549;-0.00105019;-4.07748e-05;-2.04025;25.6595;0.863087;0.000537174;-0.00105062;0.00116737;-0.000309591;-0.00936241;0.00557994;0.0109035;-7.05745;2.33159e-05;0.000291551;5.52648e-05;0.000331279;-0.000252698;0.000291989;-0.421894;-2.37027;0.000338175;0.000389318;1.31097;0.762796;18.0269;63.0269;0.000790047;2.32963e-05;0.000230853;0.000352248;5.52807e-05;0.00041497;0.000284461;0;0.0152587;-0.000715507;-0.00790735;-0.00213118;0.00822071;-6.18262;-0.000201603;2.3514e-05;0.00025903;0.000260227;-0.0002028;0.000231513;0.778298;1.28485;0.000268013;0.000308685;1.28317;0.779318;49.2636;94.2636;-0.000320539;-0.000201611;-8.87243e-05;0.000135701;0.000259026;0.00186237;-0.00285632;0;0.0209457;-0.0138469;2.20406
3000.03;4;25.754;-0.00192243;-7.464e-05;-2.04063;25.6588;0.8548;0.00016258;-0.00167849;-0.00711915;-0.00116481;-0.0106792;-0.000709835;0.010766;-7.06373;-0.000147275;0.00010716;-0.000167315;-4.9668e-05;-0.000264923;0.000107627;-0.880226;-1.13607;0.000162608;0.000143503;-0.187481;-5.33387;153.62;18.6198;0.000862756;-0.000147301;-3.7353e-05;0.000251676;-0.00016731;0.000365173;0.001016;0;0.0101001;-0.00178957;-0.00990443;-0.0114352;0.0152337;-6.18809;-0.000242244;9.28034e-05;-0.000121338;-7.10344e-05;-0.000292548;0.000110757;-1.99644;-0.500891;0.000176193;0.000147676;-0.242813;-4.1184;130.75;175.75;-9.2296e-06;-0.000242242;0.00025406;-6.8434e-05;-0.000121366;0.000663533;-0.000947579;0;0.0185425;-0.0138363;2.21159
4000.03;5;25.7543;-0.00165305;-6.41811e-05;-2.04091;25.6591;0.855842;-0.000116977;-0.00146508;-0.00607703;-0.00234616;-0.0107232;-0.00886515;0.0141097;-7.07189;1.35919e-06;0.000213909;5.94853e-06;0.000217576;-0.000210268;0.000213922;;;0.000247028;0.000285229;1.03475;0.966413;0.781839;45.7818;0.000421715;1.28703e-06;-8.1445e-06;0.000435962;5.97138e-06;0.00102565;0.00100933;0;0.0134571;-0.00273734;-0.0102984;-0.0209544;0.0235082;-6.19761;-0.000318987;6.53602e-05;2.46746e-05;3.66855e-05;-0.000330998;0.000183842;12.9278;0.0773529;0.000233855;0.000245122;0.110833;9.02259;151.253;16.253;0.000327034;-0.000318986;0.000174919;-4.4161e-05;2.46614e-05;0.000464012;-0.00195952;0;0.02374;-0.0131898;2.21886
5000.03;6;25.7525;-0.00342883;-0.000133128;-2.0405;25.6576;0.847123;0.000286232;-0.00292603;-0.0147962;-0.00196036;-0.0120782;-0.0143237;0.0188386;-7.07735;-0.000185346;0.000282101;6.38985e-05;0.000247678;-0.000369125;0.000308402;2.90063;0.344753;0.000358405;0.000411202;0.670986;1.49034;174.843;39.8428;0.000986586;-0.000185375;0.000192576;0.000371604;6.39197e-05;0.00025729;0.00143817;0;0.0132547;-0.00254658;-0.0117161;-0.0292207;0.0315848;-6.20588;-0.000332744;5.44957e-05;-0.000101653;-8.9447e-05;-0.00034495;0.000127752;-3.27332;-0.3055;0.000206706;0.000170336;-0.259304;-3.85648;148.087;13.0871;0.000519256;-0.000332749;0.0002277;-0.000118669;-0.000101678;-0.000446493;-0.000246914;0;0.0248547;-0.0132267;2.22594
6000.03;7;25.7532;-0.00272418;-0.000105769;-2.03988;25.6584;0.846491;0.000911492;-0.00214819;-0.0154283;-0.00252721;-0.0131663;-0.0165465;0.0212961;-7.07957;-4.59271e-05;0.000314626;0.000572838;0.000704712;-0.0001778;0.000441256;0.0801746;12.4728;0.000538941;0.000588341;3.9635;0.252302;46.5089;91.5089;0.000891061;-4.60276e-05;8.13751e-05;0.000547732;0.000572884;0.000880718;0.000851199;0;0.0110546;-0.00308348;-0.0131722;-0.0330594;0.0357203;-6.20972;-0.000293949;0.000103114;-2.84536e-05;6.88933e-06;-0.000329292;0.000168091;-10.3308;-0.0967977;0.00022186;0.000224121;;;129.67;174.67;0.00106499;-0.000293966;0.000416954;-0.000210643;-2.85352e-05;0.000255683;-0.00237538;0;0.0225917;-0.012721;2.22804
7000.03;8;25.7524;-0.00357376;-0.000138755;-2.03981;25.6577;0.841728;0.000979539;-0.00283881;-0.0201913;-0.00336986;-0.0162755;-0.0172035;0.0239209;-7.08023;-4.53266e-05;0.000222214;2.78557e-05;0.000216471;-0.000233942;0.000225207;1.62719;0.614555;0.000260112;0.000300276;0.92532;1.08071;2.93087;47.9309;0.000709323;-4.53686e-05;7.91038e-05;0.000365315;2.78773e-05;0.00104605;0.00187518;0;0.0137339;-0.00353171;-0.01523;-0.0388135;0.0418439;-6.21547;-0.000339301;0.000106288;-5.51519e-05;-1.9794e-05;-0.000374659;0.000177432;-6.15212;-0.162546;0.000243443;0.000236577;-0.052832;-18.9279;131.387;176.387;0.000467776;-0.000339324;0.000453712;-0.000241037;-5.52492e-05;0.000237983;-8.75711e-05;0;0.0232763;-0.0124992;2.23522
8000.03;9;25.752;-0.00395448;-0.000153537;-2.03985;25.6574;0.838053;0.000939942;-0.00310379;-0.0238663;-0.00465573;-0.016083;-0.0219127;0.0275772;-7.08494;-0.000127626;0.000180367;-0.000281349;-8.42679e-06;-0.000400549;0.000196061;-0.453621;-2.20448;0.000264268;0.000261415;;;153.953;18.9526;0.000804534;-0.00012776;-0.000188102;0.000548892;-0.000281351;0.000673297;0.00136482;0;0.0127375;-0.00486199;-0.0158419;-0.0436808;0.0467185;-6.22417;-0.000112922;-6.80199e-05;0.00021016;0.000223897;-0.000126659;0.000175278;0.537317;1.8611;0.000204972;0.000233704;1.76771;0.565703;143.337;8.33746;0.000756142;-0.000113055;0.000383529;-0.000519423;0.000210089;-1.88881e-05;-0.00361089;0;0.0218995;-0.0123623;2.24188
