Time;Image index (Image index);Distance L(t) (Extensometer 1);Change in distance (Extensometer 1);Strain - RC (Extensometer 1);Distance x L(t) (Extensometer 1);Distance y L(t) (Extensometer 1);Distance z L(t) (Extensometer 1);Change in distance x (Extensometer 1);Change in distance y (Extensometer 1);Change in distance z (Extensometer 1);X-displacement (Strain Gauge 1);Y-displacement (Strain Gauge 1);Z-displacement (Strain Gauge 1);Displacement (Strain Gauge 1);Height (Strain Gauge 1);Exx - RC (Strain Gauge 1);Exy - RC (Strain Gauge 1);Eyy - RC (Strain Gauge 1);Max. principal strain - RC (Strain Gauge 1);Min. principal strain - RC (Strain Gauge 1);Max. shear strain - RC (Strain Gauge 1);Poisson ratio -Exx/Eyy (Strain Gauge 1);Poisson ratio -Eyy/Exx (Strain Gauge 1);Von Mises - RC (Strain Gauge 1);Tresca - RC (Strain Gauge 1);Poisson ratio -strain max/min (Strain Gauge 1);Poisson ratio -strain min/max (Strain Gauge 1);Max. strain angle (Strain Gauge 1);Max. shear angle (Strain Gauge 1);Vorticity-z (Strain Gauge 1);du/dx (Strain Gauge 1);du/dy (Strain Gauge 1);dv/dx (Strain Gauge 1);dv/dy (Strain Gauge 1);dw/dx (Strain Gauge 1);dw/dy (Strain Gauge 1);Ezz plane stress state (Strain Gauge 1);Stereo reconstruction error (Strain Gauge 1);X-displacement (Strain Gauge 2);Y-displacement (Strain Gauge 2);Z-displacement (Strain Gauge 2);Displacement (Strain Gauge 2);Height (Strain Gauge 2);Exx - RC (Strain Gauge 2);Exy - RC (Strain Gauge 2);Eyy - RC (Strain Gauge 2);Max. principal strain - RC (Strain Gauge 2);Min. principal strain - RC (Strain Gauge 2);Max. shear strain - RC (Strain Gauge 2);Poisson ratio -Exx/Eyy (Strain Gauge 2);Poisson ratio -Eyy/Exx (Strain Gauge 2);Von Mises - RC (Strain Gauge 2);Tresca - RC (Strain Gauge 2);Poisson ratio -strain max/min (Strain Gauge 2);Poisson ratio -strain min/max (Strain Gauge 2);Max. strain angle (Strain Gauge 2);Max. shear angle (Strain Gauge 2);Vorticity-z (Strain Gauge 2);du/dx (Strain Gauge 2);du/dy (Strain Gauge 2);dv/dx (Strain Gauge 2);dv/dy (Strain Gauge 2);dw/dx (Strain Gauge 2);dw/dy (Strain Gauge 2);Ezz plane stress state (Strain Gauge 2);Stereo reconstruction error (Strain Gauge 2);Load ADC 1 channel 1;Position ADC 1 channel 2
ms;;mm;mm;S;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;kN;mm
0.02515;1;25.7581;0;0;-2.0924;25.6594;0.83637;0;0;0;0;0;0;0;-7.20698;2.22045e-16;-3.46945e-17;-1.11022e-16;2.2562e-16;-1.14598e-16;1.70109e-16;;;1.99881e-16;2.26812e-16;;;0;45;0;2.22045e-16;-5.55112e-17;-1.38778e-17;-1.11022e-16;0;0;0;0;0;0;0;0;-6.40996;0;5.20417e-17;-1.11022e-16;2.05798e-17;-1.31602e-16;7.60909e-17;;;9.53379e-17;1.01455e-16;;;0;45;0;0;2.08167e-17;8.32667e-17;-1.11022e-16;0;0;0;0;-0.00971334;2.18912
1000.03;2;25.7558;-0.0023139;-8.98316e-05;-2.08845;25.6577;0.82834;0.00395156;-0.00174037;-0.00802922;-0.00456244;-0.00593114;0.00562815;0.00936325;-7.20135;-1.47187e-05;0.000334004;-0.000403312;0.000177391;-0.000595422;0.000386407;-0.0364946;-27.4013;0.000467437;0.000515209;0.297925;3.35655;120.59;165.59;0.00104507;-1.47204e-05;0.000329017;0.000338994;-0.00040331;-0.00397868;6.46142e-05;0;0.00958663;-0.00446241;-0.00559146;0.00318547;0.00783101;-6.40677;0.000195847;-5.41577e-05;0.000176841;0.000241329;0.000131359;5.4985e-05;-1.10747;-0.902956;0.000139514;7.33134e-05;-1.83717;-0.544315;177.562;42.5617;-0.000278259;0.00019556;0.000650759;-0.000759088;0.000176631;-0.00348332;0.000223932;0;0.0144135;-0.00922459;2.19584
2000.03;3;25.7562;-0.0019226;-7.46406e-05;-2.08936;25.658;0.827966;0.00304056;-0.00140967;-0.00840363;-0.00545025;-0.00742532;0.0060531;0.0110218;-7.20093;0.000202572;0.000104621;0.000662251;0.000684942;0.000179881;0.000252531;-0.305884;-3.26922;0.000410038;0.000336707;-3.80776;-0.262622;77.6553;122.655;0.000556407;0.000202572;0.000102998;0.000106243;0.000662251;-0.00288538;-0.00102535;0;0.0135239;-0.00556146;-0.00644108;-7.49923e-05;0.00851017;-6.41003;9.47113e-05;6.19334e-06;0.000157575;0.000158179;9.41069e-05;3.20362e-05;-0.601055;-1.66374;9.1872e-05;4.27149e-05;-1.68085;-0.594938;121.051;166.051;0.000186535;9.46259e-05;0.000425668;-0.000413255;0.000157484;-0.00192714;0.0012473;0;0.0168282;-0.00904967;2.20296
3000.03;4;25.7593;0.00112512;4.36804e-05;-2.08764;25.6608;0.839168;0.00476635;0.00142631;0.00279814;-0.00539535;-0.00941916;0.0098847;0.0146812;-7.1971;3.89891e-05;-7.03663e-05;0.000326951;0.000343226;2.27143e-05;0.000160256;-0.119251;-8.3857;0.000221634;0.000213675;-15.1106;-0.0661788;82.3388;127.339;0.00071844;3.89875e-05;-0.000231559;9.07803e-05;0.000326927;-0.00226997;-0.00124396;0;0.0115378;-0.00502392;-0.010587;0.0110641;0.0161164;-6.39889;0.00010675;5.34114e-06;2.89846e-05;0.000107115;2.86195e-05;3.92476e-05;-3.68297;-0.27152;6.40384e-05;5.23302e-05;-3.74272;-0.267185;44.8233;89.8233;0.000400242;0.00010664;0.000478564;-0.000467918;2.88701e-05;-0.00174428;0.000525346;0;0.0150119;-0.00909811;2.21032
4000.03;5;25.7559;-0.00223554;-8.67895e-05;-2.08782;25.6578;0.828245;0.00458138;-0.00160739;-0.00812408;-0.00686913;-0.0100566;0.00789384;0.0145132;-7.19909;0.000252966;0.00021618;0.000523493;0.000643239;0.00013322;0.000255009;-0.483227;-2.06942;0.000392038;0.000340013;-4.8284;-0.207108;55.1324;100.132;0.000546677;0.000252945;0.000135248;0.00029709;0.000523507;-0.00284857;-0.002065;0;0.0127525;-0.00660019;-0.00895815;0.000263902;0.0111302;-6.40969;0.000154032;-0.000113384;5.8038e-05;0.00022916;-1.70892e-05;0.000123124;-2.65399;-0.376791;0.000158776;0.000164166;13.4096;0.0745736;4.17135;49.1714;0.000520473;0.000153903;0.000294004;-0.000520811;5.80012e-05;-0.00207744;0.0015913;0;0.016065;-0.00914526;2.2181
5000.03;6;25.7556;-0.00258526;-0.000100367;-2.08713;25.6575;0.829269;0.00526842;-0.00193561;-0.00710086;-0.00686833;-0.0105603;0.00639267;0.0141266;-7.20059;0.000183716;0.000387552;0.000542533;0.000790189;-6.39394e-05;0.000427064;-0.338626;-2.95311;0.000549347;0.000569419;12.3584;0.0809166;46.0742;91.0742;0.00092042;0.000183646;0.000235623;0.000539425;0.000542581;-0.00350504;3.93762e-05;0;0.0167223;-0.00644893;-0.00952426;-0.00183053;0.0116469;-6.41179;0.000169576;-1.57876e-05;7.64294e-05;0.000172179;7.38263e-05;4.91766e-05;-2.21873;-0.450708;9.97435e-05;6.55688e-05;-2.33222;-0.428775;27.5122;72.5122;0.0003145;0.00016948;0.000406559;-0.000438174;7.63469e-05;-0.00101103;0.00180044;0;0.0178463;-0.00937099;2.22542
6000.03;7;25.7579;-0.000273634;-1.06232e-05;-2.08819;25.6596;0.832359;0.00421271;0.000198918;-0.00401096;-0.00683357;-0.0101008;0.00224746;0.0124006;-7.20473;0.000220832;-4.58768e-05;0.000809232;0.000812788;0.000217277;0.000297755;-0.272891;-3.66446;0.000485905;0.000397007;-3.74079;-0.267323;92.0665;137.066;0.000198929;0.000220834;-8.85282e-05;-3.25046e-06;0.000809229;-0.00279655;-0.00197945;0;0.021356;-0.00626848;-0.00956248;-0.00591942;0.0128753;-6.41588;0.000145021;-3.07514e-05;8.96308e-05;0.000158711;7.59416e-05;4.13845e-05;-1.61799;-0.618052;9.16599e-05;5.51794e-05;-2.0899;-0.478491;15.449;60.449;0.000348042;0.000144824;0.00056774;-0.000629276;8.94701e-05;-0.00145128;0.00164439;0;0.0196957;-0.00913265;2.23291
7000.03;8;25.7561;-0.00203047;-7.88282e-05;-2.08756;25.658;0.828951;0.0048466;-0.00140273;-0.00741896;-0.00696408;-0.013526;0.00720935;0.0168353;-7.19977;3.94753e-06;7.91299e-05;-5.58585e-05;5.8636e-05;-0.000110547;8.45915e-05;;;9.91987e-05;0.000112789;0.530417;1.88531;122.146;167.146;0.000338106;3.94771e-06;8.14031e-05;7.68565e-05;-5.58587e-05;-0.00282745;-0.00105549;0;0.0165139;-0.00597221;-0.0123151;-0.00169137;0.0137909;-6.41165;0.000286269;-6.39741e-05;6.05522e-05;0.00030314;4.36813e-05;0.000129729;-4.72763;-0.211522;0.000189221;0.000172972;-6.93981;-0.144096;18.8687;63.8687;0.000810378;0.000286156;0.000350489;-0.000478531;6.04929e-05;-0.00144205;0.00186072;0;0.0186075;-0.00897199;2.23778
8000.03;9;25.7565;-0.00164995;-6.40556e-05;-2.08657;25.6585;0.827803;0.00583023;-0.000903712;-0.00856629;-0.00553581;-0.0134099;0.00775668;0.0164511;-7.19922;3.42908e-05;0.000384307;0.000459987;0.000686452;-0.000192175;0.000439313;-0.0745475;-13.4143;0.000533361;0.000585751;3.57202;0.279953;58.1355;103.135;0.000678858;3.42863e-05;0.000372609;0.000396;0.000459991;-0.00271554;-0.000700441;0;0.0126603;-0.00442295;-0.0121428;-0.00247743;0.0131586;-6.41243;0.000139072;-1.83458e-06;7.92704e-05;0.000139128;7.92142e-05;2.99569e-05;-1.7544;-0.569997;8.05828e-05;3.99425e-05;-1.75635;-0.569362;37.8177;82.8177;0.000328482;0.000138908;0.000568462;-0.000572165;7.91089e-05;0.000260894;0.00175278;0;0.0165635;-0.00938927;2.24653
