Time;Image index (Image index);Distance L(t) (Extensometer 1);Change in distance (Extensometer 1);Strain - RC (Extensometer 1);Distance x L(t) (Extensometer 1);Distance y L(t) (Extensometer 1);Distance z L(t) (Extensometer 1);Change in distance x (Extensometer 1);Change in distance y (Extensometer 1);Change in distance z (Extensometer 1);X-displacement (Strain Gauge 1);Y-displacement (Strain Gauge 1);Z-displacement (Strain Gauge 1);Displacement (Strain Gauge 1);Height (Strain Gauge 1);Exx - RC (Strain Gauge 1);Exy - RC (Strain Gauge 1);Eyy - RC (Strain Gauge 1);Max. principal strain - RC (Strain Gauge 1);Min. principal strain - RC (Strain Gauge 1);Max. shear strain - RC (Strain Gauge 1);Poisson ratio -Exx/Eyy (Strain Gauge 1);Poisson ratio -Eyy/Exx (Strain Gauge 1);Von Mises - RC (Strain Gauge 1);Tresca - RC (Strain Gauge 1);Poisson ratio -strain max/min (Strain Gauge 1);Poisson ratio -strain min/max (Strain Gauge 1);Max. strain angle (Strain Gauge 1);Max. shear angle (Strain Gauge 1);Vorticity-z (Strain Gauge 1);du/dx (Strain Gauge 1);du/dy (Strain Gauge 1);dv/dx (Strain Gauge 1);dv/dy (Strain Gauge 1);dw/dx (Strain Gauge 1);dw/dy (Strain Gauge 1);Ezz plane stress state (Strain Gauge 1);Stereo reconstruction error (Strain Gauge 1);X-displacement (Strain Gauge 2);Y-displacement (Strain Gauge 2);Z-displacement (Strain Gauge 2);Displacement (Strain Gauge 2);Height (Strain Gauge 2);Exx - RC (Strain Gauge 2);Exy - RC (Strain Gauge 2);Eyy - RC (Strain Gauge 2);Max. principal strain - RC (Strain Gauge 2);Min. principal strain - RC (Strain Gauge 2);Max. shear strain - RC (Strain Gauge 2);Poisson ratio -Exx/Eyy (Strain Gauge 2);Poisson ratio -Eyy/Exx (Strain Gauge 2);Von Mises - RC (Strain Gauge 2);Tresca - RC (Strain Gauge 2);Poisson ratio -strain max/min (Strain Gauge 2);Poisson ratio -strain min/max (Strain Gauge 2);Max. strain angle (Strain Gauge 2);Max. shear angle (Strain Gauge 2);Vorticity-z (Strain Gauge 2);du/dx (Strain Gauge 2);du/dy (Strain Gauge 2);dv/dx (Strain Gauge 2);dv/dy (Strain Gauge 2);dw/dx (Strain Gauge 2);dw/dy (Strain Gauge 2);Ezz plane stress state (Strain Gauge 2);Stereo reconstruction error (Strain Gauge 2);Load ADC 1 channel 1;Position ADC 1 channel 2
ms;;mm;mm;S;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;kN;mm
0.02515;1;25.7682;0;0;-1.81929;24.8715;6.48823;0;0;0;0;0;0;0;-11.5626;2.22045e-16;-9.71445e-17;-1.11022e-16;2.48308e-16;-1.37285e-16;1.92796e-16;;;2.25677e-16;2.57062e-16;;;0;45;0;2.22045e-16;-1.249e-16;-6.93889e-17;-1.11022e-16;0;0;0;0;0;0;0;0;-4.99121;0;-2.08167e-17;0;2.08167e-17;-2.08167e-17;2.08167e-17;;;2.4037e-17;2.77556e-17;;;0;45;0;0;-2.77556e-17;-1.38778e-17;0;0;0;0;0;-0.0144312;2.18945
1000.03;2;25.7618;-0.00635258;-0.000246528;-1.81853;24.8683;6.47556;0.00076087;-0.00322212;-0.0126748;0.00181296;-0.00372536;-0.00139518;0.00437169;-11.564;5.55438e-05;0.000121043;-0.000471491;8.2014e-05;-0.000497961;0.000289988;0.117805;8.48863;0.000362419;0.00038665;0.1647;6.07166;110.279;155.279;0.00180723;5.55349e-05;6.18781e-05;0.000180239;-0.000471485;-0.00720047;0.00126784;0;0.0175084;0.00161092;-0.00406603;-0.00771187;0.0088657;-4.99893;0.000157257;-0.0001936;-0.000132172;0.000254251;-0.000229167;0.000241709;1.18978;0.840488;0.000279226;0.000322278;1.10946;0.901341;14.3627;59.3627;0.0010779;0.000157236;-0.000104931;-0.000282293;-0.000132159;0.000296227;-0.00214397;0;0.019553;-0.014385;2.19613
2000.03;3;25.7632;-0.00501774;-0.000194726;-1.82163;24.8698;6.47446;-0.00233635;-0.00177911;-0.0137766;0.00228345;-0.00352641;-0.00523419;0.00671167;-11.5678;0.000152549;-0.000335133;-0.000269859;0.000337478;-0.000454788;0.000396133;0.565293;1.76899;0.000459084;0.000528178;0.742057;1.34761;96.9657;141.966;0.000638691;0.000152593;-0.000512516;-0.000157675;-0.000269934;-0.00396895;0.000247033;0;0.0194222;0.00213298;-0.00471605;-0.0130652;0.0140531;-5.00428;0.000216694;-9.46093e-05;-0.000147989;0.000239778;-0.000171073;0.000205425;1.46426;0.682941;0.000238307;0.0002739;1.40161;0.713464;174.471;39.4708;0.000917434;0.000216693;-8.45235e-05;-0.000104699;-0.000147988;8.16546e-05;-0.000569065;0;0.0199636;-0.0145109;2.2037
3000.03;4;25.7591;-0.00913767;-0.000354611;-1.82186;24.8676;6.46631;-0.00256786;-0.00394354;-0.021926;0.00191225;-0.00615564;-0.00427507;0.00773465;-11.5669;-0.000149653;6.67552e-05;-0.000660714;-0.000141078;-0.00066929;0.000264106;-0.226502;-4.41496;0.000407393;0.000352142;-0.210787;-4.74412;94.2549;139.255;0.00110746;-0.000149651;0.00011025;2.32378e-05;-0.000660718;-0.0050414;0.000338322;0;0.0172922;0.00193137;-0.00810851;-0.0147609;0.0169518;-5.00598;0.000143504;-9.44037e-05;0.000122065;0.000227795;3.77738e-05;9.50104e-05;-1.17563;-0.850605;0.000140969;0.00012668;-6.03049;-0.165824;167.291;32.2913;0.000460127;0.000143461;0.000119023;-0.000307835;0.000122062;0.000826777;-0.00327163;0;0.0258055;-0.0143672;2.21057
4000.03;5;25.7573;-0.0109256;-0.000423996;-1.82128;24.8674;6.45989;-0.00198656;-0.00408422;-0.0283466;0.00219969;-0.0101643;0.00221473;0.0106328;-11.5604;2.06832e-05;0.000428692;0.000384531;0.000668303;-0.000263089;0.000465696;-0.0537881;-18.5915;0.000554444;0.000620928;2.54022;0.393667;24.8425;69.8425;0.00242148;2.04291e-05;2.53607e-05;0.000831876;0.000384622;-0.00500994;0.000650114;0;0.0245081;0.00217848;-0.0116752;-0.0138592;0.018252;-5.00507;0.000201461;-0.000164525;0.000333799;0.000444963;9.02975e-05;0.000177333;-0.603541;-1.65689;0.000271593;0.000236443;-4.92774;-0.202933;142.809;7.80936;0.00084456;0.000201406;4.11256e-05;-0.000370149;0.000333811;-0.000185134;-0.00364449;0;0.0283545;-0.0143413;2.21856
5000.03;6;25.7638;-0.00437496;-0.000169781;-1.82218;24.8709;6.47259;-0.00288536;-0.00066589;-0.0156498;0.00266817;-0.011074;-0.0053038;0.0125651;-11.5679;-0.000433694;-2.02112e-06;0.000656716;0.00065672;-0.000433698;0.000545209;0.660398;1.51424;0.000633927;0.000726946;1.51423;0.6604;59.5524;104.552;0.00170458;-0.000433714;-0.000204256;0.000199993;0.000656696;-0.00385826;-0.00183039;0;0.0207422;0.00260537;-0.0138701;-0.0195616;0.0241211;-5.01078;0.000223005;-0.000254874;0.000542599;0.000683627;8.19768e-05;0.000300825;-0.410994;-2.43313;0.000431032;0.0004011;-8.33926;-0.119915;134.084;179.084;-3.14561e-05;0.000222923;-3.14581e-05;-0.000478218;0.000542631;0.00335641;-0.00187669;0;0.0306992;-0.0138878;2.22583
6000.03;7;25.7528;-0.0154068;-0.0005979;-1.82007;24.8613;6.46585;-0.000781633;-0.0101883;-0.022381;0.00193682;-0.0120583;-0.000815919;0.0122401;-11.5634;-0.000214181;0.000689477;-0.000644186;0.000293038;-0.00115141;0.000722222;-0.332483;-3.00767;0.000881668;0.000962962;0.254505;3.9292;142.348;7.34776;0.00166136;-0.000214402;0.000421335;0.000957735;-0.000644037;-0.00457805;-0.00111674;0;0.0199704;0.002332;-0.0148932;-0.0202708;0.0252616;-5.01148;7.35263e-05;-0.000167862;0.00032859;0.000411871;-9.75465e-06;0.000210813;-0.223763;-4.46901;0.000277889;0.000281084;;;136.492;1.49181;-8.57719e-05;7.34833e-05;2.16793e-06;-0.000337849;0.000328604;0.00353391;-0.00554981;0;0.0260311;-0.013835;2.23138
7000.03;8;25.7666;-0.00158542;-6.15261e-05;-1.82945;24.869;6.48861;-0.0101563;-0.00248672;0.000379825;0.00263407;-0.0157442;-0.00152698;0.0160359;-11.5641;-0.00031975;-4.03123e-05;0.000554739;0.000556594;-0.000321604;0.000439099;0.576397;1.73491;0.000513043;0.000585465;1.73068;0.577808;57.0087;102.009;0.00213765;-0.000319796;-0.000386813;0.000305886;0.000554665;-0.00395928;-0.0015727;0;0.0178936;0.0026303;-0.018796;-0.023334;0.030078;-5.01455;0.000237793;-0.000275963;0.000844228;0.000951006;0.000131015;0.000409995;-0.281669;-3.55027;0.000595159;0.000546661;-7.25876;-0.137765;119.111;164.111;-1.54514e-05;0.000237738;-0.00012155;-0.000430282;0.000844259;0.00341638;-0.00594674;0;0.0289786;-0.0136756;2.24009
8000.03;9;25.766;-0.00221206;-8.58445e-05;-1.8216;24.8747;6.46645;-0.00230738;0.00321329;-0.0217872;0.00344796;-0.0139512;-0.0138274;0.019943;-11.5764;-0.000205043;1.10435e-05;0.000707539;0.000707672;-0.000205177;0.000456425;0.289798;3.45068;0.00055301;0.000608566;3.44908;0.289932;64.7785;109.778;0.00243205;-0.000205089;-0.000278814;0.000300637;0.0007075;-0.00451231;-0.00347548;0;0.017909;0.00400549;-0.018718;-0.0362335;0.0409789;-5.02745;0.000110273;-0.000316468;0.000537875;0.000705994;-5.78457e-05;0.00038192;-0.205017;-4.87765;0.000491082;0.000509227;12.2048;0.0819352;134.295;179.295;-0.000757455;0.000110186;-0.000108833;-0.000524015;0.000537919;0.00703311;-0.00765848;0;0.0297142;-0.0131803;2.24744
9000.03;10;25.7595;-0.00865138;-0.000335738;-1.82211;24.8708;6.45599;-0.00282052;-0.000777265;-0.0322455;0.00421613;-0.0133344;-0.0165722;0.0216846;-11.5792;-0.000359386;0.000375666;0.000493735;0.000635575;-0.000501225;0.0005684;0.727892;1.37383;0.000657858;0.000757867;1.26804;0.788618;29.8639;74.8639;0.00222646;-0.000359573;3.27331e-05;0.000718306;0.000493805;-0.00465626;-0.0028089;0;0.0201175;0.00428406;-0.0186748;-0.0428347;0.0469246;-5.03405;0.000144363;-0.000278423;0.000574189;0.000710996;7.5558e-06;0.00035172;-0.25142;-3.97741;0.000471499;0.00046896;;;120.704;165.704;0.0001976;0.000144345;-0.000221025;-0.000335796;0.000574203;0.0028962;-0.00727471;0;0.0279256;-0.0129569;2.24992
